"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,34663.8509416449,0.487367663383222,16894.0400372937
1991,1,1,239.192337058883,0.604192386181817,144.518188884012
1992,1,1,239.192337058883,0.604192386181817,144.518188884012
1993,1,1,239.192337058883,0.604192386181817,144.518188884012
1994,1,1,239.192337058883,0.604192386181817,144.518188884012
1995,1,1,239.192337058883,0.604192386181817,144.518188884012
1996,1,1,239.192337058883,0.604192386181817,144.518188884012
1997,1,1,239.192337058883,0.604192386181817,144.518188884012
1998,1,1,239.192337058883,0.604192386181817,144.518188884012
1999,1,1,239.192337058883,0.604192386181817,144.518188884012
2000,1,1,239.192337058883,0.604192386181817,144.518188884012
2001,1,1,239.192337058883,0.604192386181817,144.518188884012
2002,1,1,239.192337058883,0.604192386181817,144.518188884012
2003,1,1,239.192337058883,0.604192386181817,144.518188884012
2004,1,1,239.192337058883,0.604192386181817,144.518188884012
2005,1,1,239.192337058883,0.604192386181817,144.518188884012
2006,1,1,239.192337058883,0.604192386181817,144.518188884012
2007,1,1,239.192337058883,0.604192386181817,144.518188884012
2008,1,1,239.192337058883,0.604192386181817,144.518188884012
2009,1,1,239.192337058883,0.604192386181817,144.518188884012
2010,1,1,239.192337058883,0.604192386181817,144.518188884012
2011,1,1,239.192337058883,0.604192386181817,144.518188884012
2012,1,1,10773.7683905664,0.164781069710949,1775.31308021553
