SourceID,Organization,SourceDescription,SourceLink,ContactName,Phone,Email,Address,City,State,ZipCode,Citation,SourceFile
1,Battelle,Methylmercury analysis in tissue samples collected for ANIMIDA III in 2014,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Methylmercury analysis in tissue samples collected for ANIMIDA III in 2014.",3471 ANIMIDA_MeHgTissues.xls
2,Battelle,Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2014,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2014.",S14-0507FID-Master_202-Final.xls
3,Battelle,"PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2014",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2014.",S14-0507MS-Forensic_157-Final.xls
4,Battelle,Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2014,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in sediment samples collected for ANIMIDA III in 2014.",S14-0508FID-Master_202-Final.xls
5,Battelle,"PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2014",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in sediment samples collected for ANIMIDA III in 2014.",S14-0508MS-Forensic_157-Final.xls
6,Battelle,Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2014,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2014.",T14-0420FID-Master_202-Final.xls
7,Battelle,"PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2014",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2014.",T14-0420MS-Forensic_157-Final.xls
8,Battelle,Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2014,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Saturated hydrocarbon analysis in tissue samples collected for ANIMIDA III in 2014.",T14-0421FID-Master_202-Final.xls
9,Battelle,"PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2014",http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, PAH, alkylated PAH and Biomarkers in tissue samples collected for ANIMIDA III in 2014.",T14-0421MS-Forensic_157-Final.xls
10,Battelle,Methylmercury analysis in tissue samples collected for ANIMIDA III in 2015,http://www.battelle.org/,Scott Libby and Greg Durell,1-781-681-5400,libby@battelle.org,"141 Longwater Drive, Suite 202",Norwell,MA,02061-1632,"Durell, G., and S. Libby, Methylmercury analysis in tissue samples collected for ANIMIDA III in 2015.",3471ANIMIDA MeHg Tissues Set 2.xlsx
