LabMethodID,LabName,LabOrganization,LabMethodName,LabMethodDescription,LabMethodLink
0,Unknown,Unknown,Unknown,Unknown,
1,"Battelle, Sequim, WA",Battelle,Methyl Hg,"Reference: EPA 1630 M.  All samples were freeze-dried and ball-milled upon receipt.  The samples were collected between 7/31/14 and 8/7/14.  The samples were analyzed on 11/18/14, which is within the EPA holding time of 1 year.  All samples were analyzed on a dry weight basis and are reported on both a dry weight basis and a wet weight basis calculated from the % moisture values determined for the samples.",
5,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 1630,"Analyzed from dry weight of sample using ethylation, isothermal GC separation and detection using a cold vapor atomic absorption spectrometer.",
6,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 6020A,Analyzed from dry weight of sample using a Varian Model 820-MS inductively coupled plasma - mass spectrometer.,
7,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7471A,Analyzed from dry weight of sample using a Laboratory Data Control Model 1235 Mercury Monitor and converted to a dry weight value.,
8,Marine and Environmental Chemistry,Florida Institute of Technology,EPS 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.,
9,Marine and Environmental Chemistry,Florida Institute of Technology,Freeze drying,Calculated from weight difference after freeze-drying in Labconco FreeZone6 freeze-dryer.,
14,"Battelle, Norwell, MA",Battelle,5-202,"Reference: Modified EPA Method 8015C.  The sediment samples were extracted following a modified EPA Method 3510C.  Samples were prepared for analysis by weighing approximately 30 grams of sample material into a pre-cleaned extraction vessel and dried using sodium sulfate.  Each sample was spiked with PAH, Biomarker and SHC surrogates and extracted 3 times using methylene chloride by shaker table.  The combined extracts were dried over sodium sulfate and concentrated by Kuderna-Danish (KD) and nitrogen evaporation techniques.  Sample clean-up was performed on the extracts using alumina columns. Extracts were further cleaned up and fractionated using silica gel columns. The F1 fraction was collected and split for TPH/SHC and biomarker analyses. The F2 fraction was collected for PAH and alkyated PAH analysis. The extracts were concentrated and spiked with IS for analysis.  TPH/SHC was measured by gas chromatography with flame ionization detection (GC/FID). An initial calibration consisting of target analytes was completed prior to analysis to demonstrate the linear range of analysis. Calibration verification was performed at the beginning and end of each 24 hour period (or 10 samples) in which samples were analyzed. Concentrations of TPH/SHC were calculated by the internal standard method. Normal alkanes were quantified using the average RF generated from the initial calibration. TPH concentrations were quantified using the average RF of nC9 through nC40.  All data are reported as surrogate corrected versus dry wt.  The NSC and CO are reported as not surrogate corrected versus oil weight.",
15,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7000B,Analyzed from dry weight of sample using a Perkin-Elmer Model 4000 atomic absorption spectrometer.,
16,Marine and Environmental Chemistry,Florida Institute of Technology,EPA 7471A,Analyzed from wet weight of sample using a Laboratory Data Control Model 1235 Mercury Monitor and converted to a dry weight value.,
