"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
1-Aug-2015,8:45,QAH-201,,Amphipod,152W0,1,X,,,,,,,,
1-Aug-2015,12:20,QAH-202,,Amphipod,152W1,1,X,,,,,,,,
3-Aug-2015,7:19,QAH-203,,Amphipod,143W-1,1,X,,,,,,,,
4-Aug-2015,18:03,QAH-204,,Amphipod,70-143,1,X,,,,,,,,
5-Aug-2015,3:30,QAH-205,,Amphipod,70-145,1,X,,,,,,,,
5-Aug-2015,3:35,QAH-206,,Amphipod,70-145,1,X,,,,,,,,
6-Aug-2015,8:40,QAH-122,,Amphipod,71-149,1,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,7,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
