SAMPLE LOGIN,,,,,,
Project Manager:  ,Lasorsa,,,,,Marine Sciences Laboratory
Date Received:  ,9/24/2014,,,,,1529 West Sequim Bay Road
Batch:  ,1,,,,,"Sequim, Washington  98382"
Login Designee:  ,McGahan,,,,,PH:  (360) 681-4565
Project:  ,Animida III,,,,,
Sample ID,Battelle ID,Battelle Code,Matrix,Storage Location,Requested Parameters,Collection Date
PAL-535A,M5853,3471-1,crab,Freezer in Hg Lab,MeHg,08/06/14
PAL-538B,M5855,3471-2,crab,Freezer in Hg Lab,MeHg,08/06/14
PAL-531,M5864,3471-3,arctic cod,Freezer in Hg Lab,MeHg,08/05/14
PAL-533,M5865,3471-4,arctic cod,Freezer in Hg Lab,MeHg,08/06/14
PAL-534A,M5866,3471-5,arctic cod,Freezer in Hg Lab,MeHg,08/06/14
PAL-535 ,M5867,3471-6,arctic cod,Freezer in Hg Lab,MeHg,08/06/14
PAL-538 ,M5868,3471-7,arctic cod,Freezer in Hg Lab,MeHg,08/06/14
PAL-303,M5871,3471-8,clam,Freezer in Hg Lab,MeHg,07/31/14
PAL-316,M5872,3471-9,clam,Freezer in Hg Lab,MeHg,08/02/14
PAL-318,M5875,3471-10,clam,Freezer in Hg Lab,MeHg,08/02/14
PAL-320,M5876,3471-11,clam,Freezer in Hg Lab,MeHg,08/03/14
PAL-321,M5877,3471-12,clam,Freezer in Hg Lab,MeHg,08/03/14
PAL-201,M5881,3471-13,amphipod,Freezer in Hg Lab,MeHg,07/31/14
PAL-203,M5882,3471-14,amphipod,Freezer in Hg Lab,MeHg,07/31/14
PAL-207,M5886,3471-15,amphipod,Freezer in Hg Lab,MeHg,08/01/14
PAL-212,M5887,3471-16,amphipod,Freezer in Hg Lab,MeHg,08/02/14
PAL-216,M5889,3471-17,amphipod,Freezer in Hg Lab,MeHg,08/02/14
PAL-221,M5895,3471-18,amphipod,Freezer in Hg Lab,MeHg,08/03/14
PAL-235,M5901,3471-19,amphipod,Freezer in Hg Lab,MeHg,08/06/14
PAL-240,M5903,3471-20,amphipod,Freezer in Hg Lab,MeHg,08/07/14
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
