,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,,,,
,,,,,,,,,
Battelle ID,,CG913PB-P,,CG985PB-P,,,,,
Sample Type,,PB,,PB,,,,,
Collection Date,,08/27/15,,8/27/2015,,,,,
Extraction Date,,08/27/15,,8/27/2015,,,,,
Analysis Date,,09/05/15,,9/5/2015,,,,,
Analytical Instrument,,FID,,FID,,,,,
% Moisture,,82.19, ,82.19,,,,,
% Lipid,,NA,,NA,,,,,
Matrix,,TISSUE,,TISSUE,,,,,
Sample Size,,3.57,,3.57,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,,,,
,,,,,,,,,
n-Nonane,,0.022,J,0.022,J,,,,
n-Decane,,0.138,J,0.079,J,,,,
n-Undecane,,0.005,J,0.005,J,,,,
n-Dodecane,,0.003,J,0.002,J,,,,
n-Tridecane,,0.002,J,0.002,J,,,,
Isoprenoid RRT 1380,,0.020,U,0.020,U,,,,
n-Tetradecane,,0.002,J,0.002,J,,,,
Isoprenoid RRT 1470,,0.028,U,0.028,U,,,,
n-Pentadecane,,0.002,J,0.001,J,,,,
n-Hexadecane,,0.002,J,0.001,J,,,,
Norpristane (1650),,0.028,U,0.028,U,,,,
n-Heptadecane,,0.002,J,0.001,J,,,,
Pristane,,0.001,J,0.090,U,,,,
n-Octadecane,,0.032,J,0.049,J,,,,
Phytane,,0.002,J,0.002,J,,,,
n-Nonadecane,,0.002,J,0.001,J,,,,
n-Eicosane,,0.003,J,0.003,J,,,,
n-Heneicosane,,0.005,J,0.003,J,,,,
n-Docosane,,0.007,J,0.006,J,,,,
n-Tricosane,,0.013,J,0.010,J,,,,
n-Tetracosane,,0.010,J,0.007,J,,,,
n-Pentacosane,,0.011,J,0.007,J,,,,
n-Hexacosane,,0.014,J,0.010,J,,,,
n-Heptacosane,,0.029,J,0.015,J,,,,
n-Octacosane,,0.014,J,0.012,J,,,,
n-Nonacosane,,0.016,J,0.022,J,,,,
n-Triacontane,,0.011,J,0.008,J,,,,
n-Hentriacontane,,0.043,J,0.009,J,,,,
n-Dotriacontane,,0.007,J,0.005,J,,,,
n-Tritriacontane,,0.005,J,0.004,J,,,,
n-Tetratriacontane,,0.004,J,0.002,J,,,,
n-Pentatriacontane,,0.004,J,0.002,J,,,,
n-Hexatriacontane,,0.078,J,0.001,J,,,,
n-Heptatriacontane,,0.004,J,0.001,J,,,,
n-Octatriacontane,,0.004,J,0.001,J,,,,
n-Nonatriacontane,,0.004,J,0.050,U,,,,
n-Tetracontane,,0.004,J,0.057,U,,,,
Sum SHC (C9-C40),,0.505,,0.295,,,,,
SHC Total (C9-C40),,1.053,,252.381,U,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,92,,90,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
