,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CH135CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,09/09/15,,,,,,,
Extraction Date,,09/09/15,,,,,,,
Analysis Date,,09/12/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,11647.026,,,,,,,
n-Decane,,11744.520,,,,,,,
n-Undecane,,10814.683,,,,,,,
n-Dodecane,,9942.902,,,,,,,
n-Tridecane,,9625.657,,,,,,,
Isoprenoid RRT 1380,,1936.784,,,,,,,
n-Tetradecane,,8863.377,,,,,,,
Isoprenoid RRT 1470,,3252.648,,,,,,,
n-Pentadecane,,8246.470,,,,,,,
n-Hexadecane,,7416.943,,,,,,,
Norpristane (1650),,2371.693,,,,,,,
n-Heptadecane,,6346.852,,,,,,,
Pristane,,4059.389,,,,,,,
n-Octadecane,,5742.314,,,,,,,
Phytane,,2412.964,,,,,,,
n-Nonadecane,,4482.862,,,,,,,
n-Eicosane,,4017.714,,,,,,,
n-Heneicosane,,3407.168,,,,,,,
n-Docosane,,2996.115,,,,,,,
n-Tricosane,,2737.211,,,,,,,
n-Tetracosane,,2517.257,,,,,,,
n-Pentacosane,,2132.997,,,,,,,
n-Hexacosane,,1831.233,,,,,,,
n-Heptacosane,,1570.765,,,,,,,
n-Octacosane,,1332.689,,,,,,,
n-Nonacosane,,1176.017,,,,,,,
n-Triacontane,,967.640,,,,,,,
n-Hentriacontane,,863.817,,,,,,,
n-Dotriacontane,,562.420,,,,,,,
n-Tritriacontane,,501.680,,,,,,,
n-Tetratriacontane,,385.637,,,,,,,
n-Pentatriacontane,,322.330,,,,,,,
n-Hexatriacontane,,179.403,J,,,,,,
n-Heptatriacontane,,176.377,J,,,,,,
n-Octatriacontane,,174.259,J,,,,,,
n-Nonatriacontane,,111.791,J,,,,,,
n-Tetracontane,,75.236,J,,,,,,
Sum SHC (C9-C40),,136946.840,,,,,,,
SHC Total (C9-C40),,521158.978,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,104,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
