,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,PAL-102,,PAL-102,,,,,PAL-102,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,M5906-P,,M5906MS-P,,,,,M5906MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,07/31/14,,7/31/2014,,,,,7/31/2014,,,,,,
Extraction Date,,10/16/14,,10/16/2014,,,,,10/16/2014,,,,,,
Analysis Date,,11/06/14,,11/6/2014,,,,,11/6/2014,,,,,,
Analytical Instrument,,FID,,FID,,,,,FID,,,,,,
% Moisture,,24.62,,26.01,,,,,25.12,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.46,,11.21,,,,,11.55,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,Target,% Recovery,Qualifier,UG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
n-Nonane,,0.004,J,0.823,,1.12,73,,0.811,,1.08,74,,1.4,
n-Decane,,0.017,J,1.026,,1.12,90,,1.021,,1.09,92,,2.2,
n-Undecane,,0.006,J,1.073,,1.12,95,,1.065,,1.08,98,,3.1,
n-Dodecane,,0.006,J,1.079,,1.12,96,,1.076,,1.09,99,,3.1,
n-Tridecane,,0.006,J,1.101,,1.12,98,,1.097,,1.09,101,,3.0,
Isoprenoid RRT 1380,,0.003,J,0.011,U,,,,0.011,U,,,,,
n-Tetradecane,,0.008,J,1.112,,1.12,99,,1.111,,1.08,102,,3.0,
Isoprenoid RRT 1470,,0.004,J,0.008,U,,,,0.008,U,,,,,
n-Pentadecane,,0.009,J,1.13,,1.12,100,,1.129,,1.08,103,,3.0,
n-Hexadecane,,0.012,J,1.163,,1.12,103,,1.158,,1.08,106,,2.9,
Norpristane (1650),,0.003,J,0.019,U,,,,0.019,U,,,,,
n-Heptadecane,,0.009,J,1.15,,1.12,102,,1.143,,1.08,105,,2.9,
Pristane,,0.008,J,1.139,,1.12,101,,1.131,,1.08,104,,2.9,
n-Octadecane,,0.008,J,1.183,,1.12,105,,1.174,,1.08,108,,2.8,
Phytane,,0.004,J,1.197,,1.12,107,,1.185,,1.09,109,,1.9,
n-Nonadecane,,0.01,J,1.192,,1.12,106,,1.182,,1.08,108,,1.9,
n-Eicosane,,0.009,J,1.2,,1.12,107,,1.188,,1.08,109,,1.9,
n-Heneicosane,,0.015,J,1.22,,1.12,108,,1.21,,1.08,110,,1.8,
n-Docosane,,0.013,J,1.204,,1.12,107,,1.192,,1.08,109,,1.9,
n-Tricosane,,0.03,J,1.218,,1.12,106,,1.208,,1.08,109,,2.8,
n-Tetracosane,,0.013,J,1.203,,1.12,107,,1.191,,1.08,109,,1.9,
n-Pentacosane,,0.032,J,1.227,,1.12,107,,1.21,,1.08,109,,1.9,
n-Hexacosane,,0.01,J,1.191,,1.12,106,,1.177,,1.08,108,,1.9,
n-Heptacosane,,0.039,J,1.229,,1.12,107,,1.215,,1.08,108,,0.9,
n-Octacosane,,0.007,J,1.172,,1.12,104,,1.156,,1.08,106,,1.9,
n-Nonacosane,,0.027,J,1.212,,1.12,106,,1.193,,1.08,108,,1.9,
n-Triacontane,,0.005,J,1.198,,1.12,107,,1.174,,1.08,108,,0.9,
n-Hentriacontane,,0.028,J,1.239,,1.12,108,,1.211,,1.09,109,,0.9,
n-Dotriacontane,,0.002,J,1.214,,1.12,108,,1.178,,1.09,108,,0.0,
n-Tritriacontane,,0.009,J,1.14,,1.12,101,,1.098,,1.08,100,,1.0,
n-Tetratriacontane,,0.001,J,1.159,,1.12,103,,1.11,,1.09,102,,1.0,
n-Pentatriacontane,,0.002,J,1.101,,1.06,103,,1.049,,1.03,101,,2.0,
n-Hexatriacontane,,0.003,U,1.167,,1.12,104,,1.105,,1.09,102,,1.9,
n-Heptatriacontane,,0.006,U,1.207,,1.12,108,,1.139,,1.08,105,,2.8,
n-Octatriacontane,,0.004,U,1.208,,1.12,108,,1.136,,1.09,105,,2.8,
n-Nonatriacontane,,0.007,U,1.26,,1.12,113,,1.183,,1.08,109,,3.6,
n-Tetracontane,,0.007,U,1.343,,1.12,120,,1.258,,1.08,116,,3.4,
Sum SHC (C9-C40),,0.359,,39.68,,,,,38.864,,,,,,
SHC Total (C9-C40),,0.494,U,1.035,U,,,,1.004,U,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
n-Tetracosane-d50,,59,,77,,,,,73,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
