,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IM85: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CH066NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,09/03/15,,,,,,,
Extraction Date,,09/03/15,,,,,,,
Analysis Date,,09/05/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.04,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,3772.853,,4597.33,17.9,,,,
n-Decane,,4343.821,,4593.10,5.4,,,,
n-Undecane,,3941.896,,4593.71,14.2,,,,
n-Dodecane,,3784.184,,4479.95,15.5,,,,
n-Tridecane,,3587.782,,4406.04,18.6,,,,
Isoprenoid RRT 1380,,962.834,,910.08,5.8,,,,
n-Tetradecane,,3662.436,,3876.02,5.5,,,,
Isoprenoid RRT 1470,,1255.700,,1459.21,13.9,,,,
n-Pentadecane,,4087.815,,3966.33,3.1,,,,
n-Hexadecane,,3240.583,,3647.07,11.1,,,,
Norpristane (1650),,958.718,,1176.36,18.5,,,,
n-Heptadecane,,2779.937,,3233.24,14.0,,,,
Pristane,,2100.624,,2219.78,5.4,,,,
n-Octadecane,,2702.302,,2958.53,8.7,,,,
Phytane,,1278.342,,1412.15,9.5,,,,
n-Nonadecane,,2488.266,,2547.86,2.3,,,,
n-Eicosane,,2406.988,,2556.19,5.8,,,,
n-Heneicosane,,2148.741,,2345.96,8.4,,,,
n-Docosane,,2094.782,,2203.73,4.9,,,,
n-Tricosane,,1881.516,,2022.90,7.0,,,,
n-Tetracosane,,1894.312,,1913.32,1.0,,,,
n-Pentacosane,,1721.502,,1679.52,2.5,,,,
n-Hexacosane,,1561.569,,1563.99,0.2,,,,
n-Heptacosane,,1166.728,,1170.32,0.3,,,,
n-Octacosane,,895.973,,975.81,8.2,,,,
n-Nonacosane,,818.397,,770.97,6.2,,,,
n-Triacontane,,638.387,,670.41,4.8,,,,
n-Hentriacontane,,714.839,,639.83,11.7,,,,
n-Dotriacontane,,434.090,,431.96,0.5,,,,
n-Tritriacontane,,369.523,,453.91,18.6,,,,
n-Tetratriacontane,,325.654,,356.39,8.6,,,,
n-Pentatriacontane,,390.494,,371.72,5.1,,,,
n-Hexatriacontane,,277.700,J,231.42,20.0,,,,
n-Heptatriacontane,,221.564,J,214.71,3.2,,,,
n-Octatriacontane,,211.830,J,210.57,0.6,,,,
n-Nonatriacontane,,177.492,J,168.91,5.1,,,,
n-Tetracontane,,197.591,J,178.74,10.5,,,,
Sum SHC (C9-C40),,65497.765,,,,,,,
SHC Total (C9-C40),,518898.206,,566423.77,8.4,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,107,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
