Percent Dry Weight Calculations,,,,,,,
,,,,,,,
,,,,,,,
Project:  ,ANIMIDA,,,,Date:,8-25-2015,
Central File #:  ,3471,,,,Balance:,5,
Analyst:  ,Lasorsa,,,,Matrix:,Tissue,
,,,,,,,
,,,,,,,
Battelle Sample ID,Tare Weight (g),Tare+Wet Weight (g),Tare+Dry Weight (g),Wet Weight (g),Dry Weight (g),% Dry Weight,% Wet Weight
,,,,,,,
3471-21,15.536,22.090,17.141,6.554,1.605,24.49,75.5
3471-22,15.796,22.456,17.352,6.660,1.556,23.36,76.6
3471-23,15.798,22.494,17.490,6.696,1.692,25.27,74.7
3471-24,15.802,21.788,17.251,5.986,1.449,24.21,75.8
3471-25,15.795,21.202,16.439,5.407,0.644,11.91,88.1
3471-26,15.796,25.271,17.058,9.475,1.262,13.32,86.7
3471-27,15.796,26.664,17.296,10.868,1.500,13.80,86.2
3471-28,15.798,22.454,16.516,6.656,0.718,10.79,89.2
3471-29,15.792,24.767,16.585,8.975,0.793,8.84,91.2
,,,,,,,
