,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IC44: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CD813NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,11/04/14,,,,,,,
Extraction Date,,11/04/14,,,,,,,
Analysis Date,,11/05/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.05,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,4120.283,,4597.33,10.4,,,,
n-Decane,,4317.491,,4593.10,6.0,,,,
n-Undecane,,4285.712,,4593.71,6.7,,,,
n-Dodecane,,3989.286,,4479.95,11.0,,,,
n-Tridecane,,3715.746,,4406.04,15.7,,,,
Isoprenoid RRT 1380,,897.643,,910.08,1.4,,,,
n-Tetradecane,,3479.45,,3876.02,10.2,,,,
Isoprenoid RRT 1470,,1089.426,,1459.21,25.3,,,,
n-Pentadecane,,4113.157,,3966.33,3.7,,,,
n-Hexadecane,,3222.048,,3647.07,11.7,,,,
Norpristane (1650),,976.331,,1176.36,17.0,,,,
n-Heptadecane,,2694.67,,3233.24,16.7,,,,
Pristane,,2093.153,,2219.78,5.7,,,,
n-Octadecane,,2737.35,,2958.53,7.5,,,,
Phytane,,1277.959,,1412.15,9.5,,,,
n-Nonadecane,,2385.826,,2547.86,6.4,,,,
n-Eicosane,,2367.836,,2556.19,7.4,,,,
n-Heneicosane,,2102.662,,2345.96,10.4,,,,
n-Docosane,,2050.785,,2203.73,6.9,,,,
n-Tricosane,,1793.93,,2022.90,11.3,,,,
n-Tetracosane,,1694.395,,1913.32,11.4,,,,
n-Pentacosane,,1630.283,,1679.52,2.9,,,,
n-Hexacosane,,1450.966,,1563.99,7.2,,,,
n-Heptacosane,,1080.963,,1170.32,7.6,,,,
n-Octacosane,,799.46,,975.81,18.1,,,,
n-Nonacosane,,706.117,,770.97,8.4,,,,
n-Triacontane,,587.947,,670.41,12.3,,,,
n-Hentriacontane,,654.321,,639.83,2.3,,,,
n-Dotriacontane,,410.668,,431.96,4.9,,,,
n-Tritriacontane,,361.092,,453.91,20.4,,,,
n-Tetratriacontane,,301.201,,356.39,15.5,,,,
n-Pentatriacontane,,325.174,,371.72,12.5,,,,
n-Hexatriacontane,,210.5,J,231.42,9.0,,,,
n-Heptatriacontane,,199.587,J,214.71,7.0,,,,
n-Octatriacontane,,218.743,J,210.57,3.9,,,,
n-Nonatriacontane,,171.896,J,168.91,1.8,,,,
n-Tetracontane,,180.52,J,178.74,1.0,,,,
Sum SHC (C9-C40),,64694.577,,,,,,,
SHC Total (C9-C40),,507555.261,,566423.77,10.4,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,90,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
