,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,PAL-102,,PAL-102,,,,,PAL-102,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,M5906-P,,M5906MS-P,,,,,M5906MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,07/31/14,,7/31/2014,,,,,7/31/2014,,,,,,
Extraction Date,,10/16/14,,10/16/2014,,,,,10/16/2014,,,,,,
Analysis Date,,11/08/14,,11/8/2014,,,,,11/8/2014,,,,,,
Analytical Instrument,,MS,,MS,,,,,MS,,,,,,
% Moisture,,24.62,,26.01,,,,,25.12,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.46,,11.21,,,,,11.55,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
Naphthalene,,1.815,,195.457,,178.91,108,,187.167,,173.65,107,,0.9,
C1-Naphthalenes,,4.208,,0.394,U,,,,0.383,U,,,,,
C2-Naphthalenes,,5.539,,0.394,U,,,,0.383,U,,,,,
C3-Naphthalenes,,3.664,,0.394,U,,,,0.383,U,,,,,
C4-Naphthalenes,,1.804,,0.394,U,,,,0.383,U,,,,,
Biphenyl,,0.795,,190.744,,178.88,106,,183.768,,173.61,105,,0.9,
Acenaphthylene,,0.066,U,208.827,,178.98,117,,200.474,,173.71,115,,1.7,
Acenaphthene,,0.053,U,207.679,,178.89,116,,199.542,,173.63,115,,0.9,
Dibenzofuran,,0.607,,194.779,,178.86,109,,188.038,,173.59,108,,0.9,
Fluorene,,0.628,,200.689,,179.04,112,,192.995,,173.77,111,,0.9,
C1-Fluorenes,,0.895,,0.103,U,,,,0.1,U,,,,,
C2-Fluorenes,,1.031,,0.103,U,,,,0.1,U,,,,,
C3-Fluorenes,,0.049,U,0.103,U,,,,0.1,U,,,,,
Anthracene,,0.08,U,214.169,,178.86,120,,208.212,,173.59,120,,0.0,
Phenanthrene,,3.104,,200.395,,178.80,110,,192.388,,173.54,109,,0.9,
C1-Phenanthrenes/Anthracenes,,4.414,,0.182,U,,,,0.177,U,,,,,
C2-Phenanthrenes/Anthracenes,,3.68,,0.182,U,,,,0.177,U,,,,,
C3-Phenanthrenes/Anthracenes,,1.918,,0.182,U,,,,0.177,U,,,,,
C4-Phenanthrenes/Anthracenes,,0.087,U,0.182,U,,,,0.177,U,,,,,
Retene,,2.389,,0.259,U,,,,0.251,U,,,,,
Dibenzothiophene,,0.45,,182.825,,179.00,102,,175.78,,173.73,101,,1.0,
C1-Dibenzothiophenes,,0.722,,0.107,U,,,,0.104,U,,,,,
C2-Dibenzothiophenes,,1.061,,0.107,U,,,,0.104,U,,,,,
