,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,Laboratory Control Sample,,,,
,,,,,,,,,,,
Battelle ID,,CD641LCS-P,,,,,CD642LCS-P,,,,
Sample Type,,LCS,,,,,LCS,,,,
Collection Date,,10/27/14,,,,,10/27/2014,,,,
Extraction Date,,10/27/14,,,,,10/27/2014,,,,
Analysis Date,,11/10/14,,,,,11/10/2014,,,,
Analytical Instrument,,MS,,,,,MS,,,,
% Moisture,,49.7,,,,,49.7,,,,
% Lipid,,NA,,,,,NA,,,,
Matrix,,SEDIMENT,,,,,SEDIMENT,,,,
Sample Size,,15.07,,,,,15.11,,,,
Size Unit-Basis,,G_DRY,,,,,G_DRY,,,,
Units,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier
,,,,,,,,,,,
Naphthalene,,135.171,,133.09,102,,138.204,,132.73,104,
C1-Naphthalenes,,0.293,U,,,,0.293,U,,,
C2-Naphthalenes,,0.293,U,,,,0.293,U,,,
C3-Naphthalenes,,0.293,U,,,,0.293,U,,,
C4-Naphthalenes,,0.293,U,,,,0.293,U,,,
Biphenyl,,117.599,,133.06,88,,122.023,,132.71,92,
Acenaphthylene,,135.959,,133.14,102,,140.895,,132.79,106,
Acenaphthene,,136.153,,133.07,102,,140.509,,132.72,106,
Dibenzofuran,,125.214,,133.05,94,,128.233,,132.69,97,
Fluorene,,144.756,,133.18,109,,147.837,,132.83,111,
C1-Fluorenes,,0.076,U,,,,0.076,U,,,
C2-Fluorenes,,0.076,U,,,,0.076,U,,,
C3-Fluorenes,,0.076,U,,,,0.076,U,,,
Anthracene,,143.395,,133.05,108,,147.218,,132.69,111,
Phenanthrene,,133.995,,133.01,101,,136.557,,132.65,103,
C1-Phenanthrenes/Anthracenes,,0.135,U,,,,0.135,U,,,
C2-Phenanthrenes/Anthracenes,,0.135,U,,,,0.135,U,,,
C3-Phenanthrenes/Anthracenes,,0.135,U,,,,0.135,U,,,
C4-Phenanthrenes/Anthracenes,,0.135,U,,,,0.135,U,,,
Retene,,0.192,U,,,,0.192,U,,,
Dibenzothiophene,,111.232,,133.15,84,,117.891,,132.80,89,
C1-Dibenzothiophenes,,0.08,U,,,,0.079,U,,,
C2-Dibenzothiophenes,,0.08,U,,,,0.079,U,,,
C3-Dibenzothiophenes,,0.08,U,,,,0.079,U,,,
C4-Dibenzothiophenes,,0.08,U,,,,0.079,U,,,
Fluoranthene,,149.9,,133.14,113,,154.018,,132.79,116,
Pyrene,,147.307,,133.07,111,,150.446,,132.72,113,
C1-Fluoranthenes/Pyrenes,,0.296,U,,,,0.295,U,,,
C2-Fluoranthenes/Pyrenes,,0.296,U,,,,0.295,U,,,
C3-Fluoranthenes/Pyrenes,,0.296,U,,,,0.295,U,,,
Benzo(a)anthracene,,147.562,,133.11,111,,148.107,,132.76,112,
Chrysene,,140.387,,133.01,106,,140.908,,132.65,106,
C1-Chrysenes,,0.184,U,,,,0.183,U,,,
C2-Chrysenes,,0.184,U,,,,0.183,U,,,
