,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,PAL-318,,PAL-318,,,,,
,,,,,,,,,
Battelle ID,,M5875-P,,M5875DUP-P,,,,,
Sample Type,,SA,,QADU,,,,,
Collection Date,,08/02/14,,8/2/2014,,,,,
Extraction Date,,10/17/14,,10/17/2014,,,,,
Analysis Date,,11/06/14,,11/6/2014,,,,,
Analytical Instrument,,FID,,FID,,,,,
% Moisture,,80.48,,84.77,,,,,
% Lipid,,2.32,,2.44,,,,,
Matrix,,CLAM,,CLAM,,,,,
Sample Size,,3.91,,3.06,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,RPD,Qualifier,,
,,,,,,,,,
n-Nonane,,0.017,J,0.024,J,NA,,,
n-Decane,,0.076,J,0.07,J,NA,,,
n-Undecane,,0.019,J,0.025,J,NA,,,
n-Dodecane,,0.023,J,0.037,J,NA,,,
n-Tridecane,,0.012,J,0.021,J,NA,,,
Isoprenoid RRT 1380,,0.014,J,0.021,J,NA,,,
n-Tetradecane,,0.03,J,0.045,J,NA,,,
Isoprenoid RRT 1470,,0.022,J,0.031,J,NA,,,
n-Pentadecane,,0.045,J,0.064,J,NA,,,
n-Hexadecane,,0.017,J,0.027,J,NA,,,
Norpristane (1650),,0.027,U,0.034,U,NA,,,
n-Heptadecane,,0.075,J,0.098,J,NA,,,
Pristane,,0.984,,1.329,,29.8,,,
n-Octadecane,,0.012,J,0.019,J,NA,,,
Phytane,,0.022,U,0.028,U,NA,,,
n-Nonadecane,,0.018,J,0.025,J,NA,,,
n-Eicosane,,0.007,J,0.011,J,NA,,,
n-Heneicosane,,0.015,J,0.018,J,NA,,,
n-Docosane,,0.011,J,0.014,J,NA,,,
n-Tricosane,,0.023,J,0.027,J,NA,,,
n-Tetracosane,,0.011,J,0.014,J,NA,,,
n-Pentacosane,,0.09,J,0.125,J,NA,,,
n-Hexacosane,,0.009,J,0.012,J,NA,,,
n-Heptacosane,,0.034,J,0.043,J,NA,,,
n-Octacosane,,0.009,J,0.01,J,NA,,,
n-Nonacosane,,0.028,J,0.036,J,NA,,,
n-Triacontane,,0.011,J,0.013,J,NA,,,
n-Hentriacontane,,0.028,J,0.035,J,NA,,,
n-Dotriacontane,,0.005,J,0.004,J,NA,,,
n-Tritriacontane,,0.015,J,0.016,J,NA,,,
n-Tetratriacontane,,0.004,J,0.004,J,NA,,,
n-Pentatriacontane,,0.016,J,0.019,J,NA,,,
n-Hexatriacontane,,0.003,J,0.003,J,NA,,,
n-Heptatriacontane,,0.004,J,0.002,J,NA,,,
n-Octatriacontane,,0.003,J,0.003,J,NA,,,
n-Nonatriacontane,,0.013,J,0.022,J,NA,,,
n-Tetracontane,,0.053,U,0.068,U,NA,,,
Sum SHC (C9-C40),,1.703,,2.267,,28.4,,,
SHC Total (C9-C40),,236.426,U,302.1,U,NA,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,88,,85,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
