,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,QAH-206,,QAH-206,,,,,
,,,,,,,,,
Battelle ID,,L4814-P,,L4814DUP-P,,,,,
Sample Type,,SA,,QADU,,,,,
Collection Date,,08/05/15,,8/5/2015,,,,,
Extraction Date,,08/27/15,,8/27/2015,,,,,
Analysis Date,,09/05/15,,9/5/2015,,,,,
Analytical Instrument,,MS,,MS,,,,,
% Moisture,,76.8,,76.6,,,,,
% Lipid,,4.69,,5.01,,,,,
Matrix,,AMPHIPOD,,AMPHIPOD,,,,,
Sample Size,,4.63,,4.68,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,RPD,Qualifier,,
,,,,,,,,,
Naphthalene,,9.683,B,10.389,B,7.0,,,
C1-Naphthalenes,,2.574,,2.910,,12.3,,,
C2-Naphthalenes,,2.312,U,2.288,U,NA,,,
C3-Naphthalenes,,2.312,U,2.288,U,NA,,,
C4-Naphthalenes,,2.312,U,2.288,U,NA,,,
Biphenyl,,0.600,J,0.739,J,NA,,,
Acenaphthylene,,0.306,J,0.798,U,NA,,,
Acenaphthene,,0.824,U,0.815,U,NA,,,
Dibenzofuran,,2.272,,1.624,,33.3,n,,
Fluorene,,1.348,,1.085,,21.6,,,
C1-Fluorenes,,2.330,U,2.305,U,NA,,,
C2-Fluorenes,,2.330,U,2.305,U,NA,,,
C3-Fluorenes,,2.330,U,2.305,U,NA,,,
Anthracene,,0.563,U,0.557,U,NA,,,
Phenanthrene,,1.776,B,1.987,B,11.2,,,
C1-Phenanthrenes/Anthracenes,,2.029,U,2.007,U,NA,,,
C2-Phenanthrenes/Anthracenes,,2.029,U,2.007,U,NA,,,
C3-Phenanthrenes/Anthracenes,,2.029,U,2.007,U,NA,,,
C4-Phenanthrenes/Anthracenes,,2.029,U,2.007,U,NA,,,
Retene,,1.045,U,1.034,U,NA,,,
Dibenzothiophene,,0.988,U,0.977,U,NA,,,
C1-Dibenzothiophenes,,0.988,U,0.977,U,NA,,,
C2-Dibenzothiophenes,,0.988,U,0.977,U,NA,,,
C3-Dibenzothiophenes,,0.988,U,0.977,U,NA,,,
C4-Dibenzothiophenes,,0.988,U,0.977,U,NA,,,
Fluoranthene,,0.731,U,0.723,U,NA,,,
Pyrene,,0.731,J,0.882,J,NA,,,
C1-Fluoranthenes/Pyrenes,,0.656,U,0.649,U,NA,,,
C2-Fluoranthenes/Pyrenes,,0.656,U,0.649,U,NA,,,
C3-Fluoranthenes/Pyrenes,,0.656,U,0.649,U,NA,,,
Benzo(a)anthracene,,0.580,U,0.574,U,NA,,,
Chrysene,,1.171,,0.990,J,16.8,,,
C1-Chrysenes,,1.500,,0.465,U,105.3,n,,
C2-Chrysenes,,0.470,U,0.465,U,NA,,,
C3-Chrysenes,,0.470,U,0.465,U,NA,,,
C4-Chrysenes,,0.470,U,0.465,U,NA,,,
Benzo(b)fluoranthene,,1.524,,0.552,U,93.6,n,,
Benzo(k)fluoranthene,,0.514,U,0.508,U,NA,,,
Benzo(e)pyrene,,0.496,U,0.491,U,NA,,,
Benzo(a)pyrene,,0.363,U,0.359,U,NA,,,
Perylene,,0.474,U,0.469,U,NA,,,
"Indeno(1,2,3-cd)pyrene",,0.419,U,0.415,U,NA,,,
"Dibenz(a,h)anthracene",,0.216,U,0.213,U,NA,,,
"Benzo(g,h,i)perylene",,0.322,U,0.318,U,NA,,,
Total PAH,,23.485,,20.606,,13.1,,,
"14a(H),17a(H)-20R-Cholestane",,0.350,U,0.346,U,NA,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.350,U,0.346,U,NA,,,
"13b(H),17a(H)-20R-Diacholestane",,0.350,U,0.346,U,NA,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.350,U,0.346,U,NA,,,
"14a(H),17a(H)-20S-Cholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20R-Cholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20S-Cholestane",,0.350,U,0.346,U,NA,,,
"14a(H),17a(H)-20S-methylcholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.350,U,0.346,U,NA,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.350,U,0.346,U,NA,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.350,U,0.346,U,NA,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.350,U,0.346,U,NA,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.350,U,0.346,U,NA,,,
C23 Tricyclic Terpane,,1.208,U,1.195,U,NA,,,
C24 Tricyclic Terpane ,,1.208,U,1.195,U,NA,,,
C25 Tricyclic Terpane,,1.208,U,1.195,U,NA,,,
C24 Tetracyclic Terpane,,1.208,U,1.195,U,NA,,,
C26 Tricyclic Terpane-22S,,1.208,U,1.195,U,NA,,,
C26 Tricyclic Terpane-22R,,1.208,U,1.195,U,NA,,,
C28 Tricyclic Terpane-22S,,1.208,U,1.195,U,NA,,,
C28 Tricyclic Terpane-22R,,1.208,U,1.195,U,NA,,,
C29 Tricyclic Terpane-22S,,1.208,U,1.195,U,NA,,,
C29 Tricyclic Terpane-22R,,1.208,U,1.195,U,NA,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.208,U,1.195,U,NA,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.208,U,1.195,U,NA,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.208,U,1.195,U,NA,,,
"17a(H),21b(H)-25-Norhopane",,1.208,U,1.195,U,NA,,,
30-Norhopane,,1.208,U,1.195,U,NA,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.208,U,1.195,U,NA,,,
17a(H)-Diahopane,,1.208,U,1.195,U,NA,,,
30-Normoretane,,1.208,U,1.195,U,NA,,,
18a(H) & 18b(H)-Oleananes,,1.208,U,1.195,U,NA,,,
"17a(H),21b(H)-hopane",,1.208,U,1.195,U,NA,,,
"17b(H),21a(H)-hopane (moretane)",,1.208,U,1.195,U,NA,,,
30-Homohopane-22S,,1.208,U,1.195,U,NA,,,
30-Homohopane-22R,,1.208,U,1.195,U,NA,,,
"30,31-Bishomohopane-22S",,1.208,U,1.195,U,NA,,,
"30,31-Bishomohopane-22R",,1.208,U,1.195,U,NA,,,
"30,31,32-Trishomohopane-22S",,1.208,U,1.195,U,NA,,,
"30,31,32-Trishomohopane-22R",,1.208,U,1.195,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22S",,1.208,U,1.195,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22R",,1.208,U,1.195,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22S",,1.208,U,1.195,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22R",,1.208,U,1.195,U,NA,,,
Priority Pollutant PAH,,16.539,,15.333,,7.6,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,87,,53,,,,,
Acenaphthene-d10,,96,,55,,,,,
Phenanthrene-d10,,106,,46,,,,,
Benzo(a)pyrene-d12,,112,,37,N,,,,
5b(H)-Cholane,,98,,100,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
