,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CH070CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,09/03/15,,,,,,,
Extraction Date,,09/03/15,,,,,,,
Analysis Date,,09/05/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,11712.471,,,,,,,
n-Decane,,12592.894,,,,,,,
n-Undecane,,10869.996,,,,,,,
n-Dodecane,,9763.722,,,,,,,
n-Tridecane,,8882.000,,,,,,,
Isoprenoid RRT 1380,,2090.729,,,,,,,
n-Tetradecane,,8619.423,,,,,,,
Isoprenoid RRT 1470,,3059.184,,,,,,,
n-Pentadecane,,8999.426,,,,,,,
n-Hexadecane,,7155.649,,,,,,,
Norpristane (1650),,2246.357,,,,,,,
n-Heptadecane,,6157.297,,,,,,,
Pristane,,4126.745,,,,,,,
n-Octadecane,,5554.248,,,,,,,
Phytane,,2421.954,,,,,,,
n-Nonadecane,,4703.882,,,,,,,
n-Eicosane,,4178.851,,,,,,,
n-Heneicosane,,3606.466,,,,,,,
n-Docosane,,3268.113,,,,,,,
n-Tricosane,,2892.236,,,,,,,
n-Tetracosane,,2717.404,,,,,,,
n-Pentacosane,,2522.650,,,,,,,
n-Hexacosane,,2099.223,,,,,,,
n-Heptacosane,,1851.317,,,,,,,
n-Octacosane,,1386.325,,,,,,,
n-Nonacosane,,1392.102,,,,,,,
n-Triacontane,,1153.147,,,,,,,
n-Hentriacontane,,1060.755,,,,,,,
n-Dotriacontane,,658.475,,,,,,,
n-Tritriacontane,,573.627,,,,,,,
n-Tetratriacontane,,432.269,,,,,,,
n-Pentatriacontane,,399.227,,,,,,,
n-Hexatriacontane,,288.625,J,,,,,,
n-Heptatriacontane,,239.563,J,,,,,,
n-Octatriacontane,,217.576,J,,,,,,
n-Nonatriacontane,,136.242,J,,,,,,
n-Tetracontane,,104.078,J,,,,,,
Sum SHC (C9-C40),,140134.248,,,,,,,
SHC Total (C9-C40),,527614.765,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,108,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
