,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,,,,
,,,,,,,,,
Battelle ID,,CD634PB-P,,CD635PB-P,,,,,
Sample Type,,PB,,PB,,,,,
Collection Date,,10/16/14,,10/16/2014,,,,,
Extraction Date,,10/16/14,,10/16/2014,,,,,
Analysis Date,,11/08/14,,11/8/2014,,,,,
Analytical Instrument,,MS,,MS,,,,,
% Moisture,,42.76, ,42.76,,,,,
% Lipid,,NA,,NA,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,
Sample Size,,17.20,,17.23,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,,,,
,,,,,,,,,
Naphthalene,,0.104,J,0.13,J,,,,
C1-Naphthalenes,,0.257,U,0.257,U,,,,
C2-Naphthalenes,,0.257,U,0.257,U,,,,
C3-Naphthalenes,,0.257,U,0.257,U,,,,
C4-Naphthalenes,,0.257,U,0.257,U,,,,
Biphenyl,,0.078,U,0.078,U,,,,
Acenaphthylene,,0.09,U,0.089,U,,,,
Acenaphthene,,0.073,U,0.331,J,,,,
Dibenzofuran,,0.097,U,0.097,U,,,,
Fluorene,,0.067,U,0.067,U,,,,
C1-Fluorenes,,0.067,U,0.067,U,,,,
C2-Fluorenes,,0.067,U,0.067,U,,,,
C3-Fluorenes,,0.067,U,0.067,U,,,,
Anthracene,,0.109,U,0.109,U,,,,
Phenanthrene,,0.119,U,0.118,U,,,,
C1-Phenanthrenes/Anthracenes,,0.119,U,0.118,U,,,,
C2-Phenanthrenes/Anthracenes,,0.119,U,0.118,U,,,,
C3-Phenanthrenes/Anthracenes,,0.119,U,0.118,U,,,,
C4-Phenanthrenes/Anthracenes,,0.119,U,0.118,U,,,,
Retene,,0.169,U,0.168,U,,,,
Dibenzothiophene,,0.07,U,0.07,U,,,,
C1-Dibenzothiophenes,,0.07,U,0.07,U,,,,
C2-Dibenzothiophenes,,0.07,U,0.07,U,,,,
