,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,Procedural Blank,,Procedural Blank,,,
,,,,,,,,,
Battelle ID,,CD639PB-P,,CD640PB-P,,CD808PB-P,,,
Sample Type,,PB,,PB,,PB,,,
Collection Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Extraction Date,,10/27/14,,10/27/2014,,11/3/2014,,,
Analysis Date,,11/07/14,,11/7/2014,,11/7/2014,,,
Analytical Instrument,,FID,,FID,,FID,,,
% Moisture,,49.69, ,49.69,,49.7,,,
% Lipid,,NA,,NA,,NA,,,
Matrix,,SEDIMENT,,SEDIMENT,,SEDIMENT,,,
Sample Size,,15.08,,15.12,,15.11,,,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,,
Units,,UG/G_DRY,,UG/G_DRY,,UG/G_DRY,,,
,,,,,,,,,
n-Nonane,,0.008,U,0.008,U,0.008,U,,
n-Decane,,0.006,U,0.006,U,0.006,U,,
n-Undecane,,0.007,U,0.007,U,0.007,U,,
n-Dodecane,,0.007,U,0.007,U,0.007,U,,
n-Tridecane,,0.008,U,0.008,U,0.008,U,,
Isoprenoid RRT 1380,,0.008,U,0.008,U,0.008,U,,
n-Tetradecane,,0.006,U,0.006,U,0.006,U,,
Isoprenoid RRT 1470,,0.006,U,0.006,U,0.006,U,,
n-Pentadecane,,0.006,U,0.006,U,0.006,U,,
n-Hexadecane,,0.014,U,0.014,U,0.014,U,,
Norpristane (1650),,0.014,U,0.014,U,0.014,U,,
n-Heptadecane,,0.006,U,0.006,U,0.006,U,,
Pristane,,0.028,U,0.028,U,0.028,U,,
n-Octadecane,,0.009,U,0.009,U,0.009,U,,
Phytane,,0.01,U,0.01,U,0.01,U,,
n-Nonadecane,,0.005,U,0.005,U,0.005,U,,
n-Eicosane,,0.011,U,0.011,U,0.011,U,,
n-Heneicosane,,0.003,U,0.003,U,0.003,U,,
n-Docosane,,0.019,U,0.019,U,0.019,U,,
n-Tricosane,,0.008,U,0.008,U,0.008,U,,
n-Tetracosane,,0.019,U,0.019,U,0.019,U,,
n-Pentacosane,,0.017,U,0.017,U,0.017,U,,
n-Hexacosane,,0.011,U,0.011,U,0.011,U,,
n-Heptacosane,,0.01,U,0.01,U,0.01,U,,
n-Octacosane,,0.011,U,0.011,U,0.011,U,,
n-Nonacosane,,0.007,U,0.007,U,0.007,U,,
n-Triacontane,,0.008,U,0.008,U,0.008,U,,
n-Hentriacontane,,0.004,U,0.004,U,0.004,U,,
n-Dotriacontane,,0.006,U,0.006,U,0.006,U,,
n-Tritriacontane,,0.003,U,0.003,U,0.003,U,,
n-Tetratriacontane,,0.006,U,0.005,U,0.005,U,,
n-Pentatriacontane,,0.006,U,0.006,U,0.006,U,,
n-Hexatriacontane,,0.005,U,0.005,U,0.005,U,,
n-Heptatriacontane,,0.01,U,0.01,U,0.01,U,,
n-Octatriacontane,,0.006,U,0.006,U,0.006,U,,
n-Nonatriacontane,,0.01,U,0.01,U,0.01,U,,
n-Tetracontane,,0.011,U,0.011,U,0.011,U,,
Sum SHC (C9-C40),,,U,,U,,U,,
SHC Total (C9-C40),,0.769,U,0.767,U,0.768,U,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,67,,80,,83,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
