,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,QAH-107,,QAH-107,,,,,QAH-107,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,L4785-P,,L4785MS-P,,,,,L4785MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/01/15,,8/1/2015,,,,,8/1/2015,,,,,,
Extraction Date,,08/25/15,,8/25/2015,,,,,8/25/2015,,,,,,
Analysis Date,,09/04/15,,9/4/2015,,,,,9/4/2015,,,,,,
Analytical Instrument,,FID,,FID,,,,,FID,,,,,,
% Moisture,,19.89,,21.48,,,,,20.8,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.99,,11.83,,,,,11.85,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,Target,% Recovery,Qualifier,UG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
n-Nonane,,0.006,J,0.654,,1.06,61,N,0.700,,1.06,66,N,7.9,
n-Decane,,0.026,J,0.861,,1.06,79,,0.882,,1.06,81,,2.5,
n-Undecane,,0.006,J,0.853,,1.06,80,,0.863,,1.06,81,,1.2,
n-Dodecane,,0.005,J,0.892,,1.06,84,,0.889,,1.06,84,,0.0,
n-Tridecane,,0.008,J,0.900,,1.06,84,,0.900,,1.06,84,,0.0,
Isoprenoid RRT 1380,,0.003,J,0.011,U,,,,0.011,U,,,,,
n-Tetradecane,,0.009,J,0.962,,1.06,90,,0.959,,1.06,90,,0.0,
Isoprenoid RRT 1470,,0.006,J,0.008,U,,,,0.008,U,,,,,
n-Pentadecane,,0.013,J,0.982,,1.06,92,,0.977,,1.06,91,,1.1,
n-Hexadecane,,0.013,J,0.977,,1.06,91,,0.981,,1.06,92,,1.1,
Norpristane (1650),,0.005,J,0.018,U,,,,0.018,U,,,,,
n-Heptadecane,,0.012,J,1.000,,1.06,93,,0.998,,1.06,93,,0.0,
Pristane,,0.015,J,0.974,,1.06,91,,0.970,,1.06,90,,1.1,
n-Octadecane,,0.012,J,1.090,,1.06,102,,1.085,,1.06,101,,1.0,
Phytane,,0.007,J,1.053,,1.06,99,,1.044,,1.06,98,,1.0,
n-Nonadecane,,0.013,J,1.015,,1.06,95,,1.008,,1.06,94,,1.1,
n-Eicosane,,0.012,J,1.016,,1.06,95,,1.009,,1.06,94,,1.1,
n-Heneicosane,,0.017,J,1.024,,1.06,95,,1.022,,1.06,95,,0.0,
n-Docosane,,0.017,J,1.033,,1.06,96,,1.023,,1.06,95,,1.0,
n-Tricosane,,0.025,J,1.020,,1.06,94,,1.016,,1.06,94,,0.0,
n-Tetracosane,,0.015,J,1.089,,1.06,102,,1.076,,1.06,100,,2.0,
n-Pentacosane,,0.033,J,1.042,,1.06,95,,1.028,,1.06,94,,1.1,
n-Hexacosane,,0.011,J,1.010,,1.06,94,,1.006,,1.06,94,,0.0,
n-Heptacosane,,0.033,J,1.032,,1.06,94,,1.028,,1.06,94,,0.0,
n-Octacosane,,0.008,J,1.007,,1.06,94,,0.999,,1.06,94,,0.0,
n-Nonacosane,,0.029,J,1.108,,1.06,102,,1.102,,1.06,102,,0.0,
n-Triacontane,,0.005,J,1.018,,1.06,96,,1.015,,1.06,96,,0.0,
n-Hentriacontane,,0.021,J,1.042,,1.06,96,,1.044,,1.06,97,,1.0,
n-Dotriacontane,,0.004,J,1.002,,1.06,94,,1.017,,1.06,96,,2.1,
n-Tritriacontane,,0.009,J,0.965,,1.06,90,,0.988,,1.06,93,,3.3,
n-Tetratriacontane,,0.002,J,0.968,,1.06,91,,1.018,,1.06,96,,5.3,
n-Pentatriacontane,,0.002,J,0.899,,1.01,89,,0.967,,1.01,96,,7.6,
n-Hexatriacontane,,0.001,J,0.918,,1.06,86,,1.016,,1.06,96,,11.0,
n-Heptatriacontane,,0.001,J,0.965,,1.06,91,,1.101,,1.06,104,,13.3,
n-Octatriacontane,,0.001,J,0.922,,1.06,87,,1.090,,1.06,103,,16.8,
n-Nonatriacontane,,0.006,U,0.941,,1.06,89,,1.147,,1.06,108,,19.3,
n-Tetracontane,,0.007,U,0.978,,1.06,92,,1.225,,1.06,116,,23.1,
Sum SHC (C9-C40),,0.405,,33.212,,,,,34.193,,,,,,
SHC Total (C9-C40),,0.484,U,0.981,U,,,,0.979,U,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
n-Tetracosane-d50,,73,,90,,,,,93,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
