,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CG922PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,08/31/15,,,,,,,
Extraction Date,,08/31/15,,,,,,,
Analysis Date,,09/12/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,39.28, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,18.20,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,,,,,,
,,,,,,,,,
n-Nonane,,0.003,J,,,,,,
n-Decane,,0.024,J,,,,,,
n-Undecane,,0.001,J,,,,,,
n-Dodecane,,0.006,U,,,,,,
n-Tridecane,,0.007,U,,,,,,
Isoprenoid RRT 1380,,0.007,U,,,,,,
n-Tetradecane,,0.005,U,,,,,,
Isoprenoid RRT 1470,,0.005,U,,,,,,
n-Pentadecane,,0.005,U,,,,,,
n-Hexadecane,,0.012,U,,,,,,
Norpristane (1650),,0.012,U,,,,,,
n-Heptadecane,,0.005,U,,,,,,
Pristane,,0.023,U,,,,,,
n-Octadecane,,0.007,U,,,,,,
Phytane,,0.008,U,,,,,,
n-Nonadecane,,0.004,U,,,,,,
n-Eicosane,,0.009,U,,,,,,
n-Heneicosane,,0.002,U,,,,,,
n-Docosane,,0.016,U,,,,,,
n-Tricosane,,0.002,J,,,,,,
n-Tetracosane,,0.001,J,,,,,,
n-Pentacosane,,0.002,J,,,,,,
n-Hexacosane,,0.001,J,,,,,,
n-Heptacosane,,0.003,J,,,,,,
n-Octacosane,,0.001,J,,,,,,
n-Nonacosane,,0.001,J,,,,,,
n-Triacontane,,0.001,J,,,,,,
n-Hentriacontane,,0.004,U,,,,,,
n-Dotriacontane,,0.005,U,,,,,,
n-Tritriacontane,,0.003,U,,,,,,
n-Tetratriacontane,,0.005,U,,,,,,
n-Pentatriacontane,,0.005,U,,,,,,
n-Hexatriacontane,,0.004,U,,,,,,
n-Heptatriacontane,,0.008,U,,,,,,
n-Octatriacontane,,0.005,U,,,,,,
n-Nonatriacontane,,0.008,U,,,,,,
n-Tetracontane,,0.009,U,,,,,,
Sum SHC (C9-C40),,0.040,,,,,,,
SHC Total (C9-C40),,0.637,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,85,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
