,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD845CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,11/05/14,,,,,,,
Extraction Date,,11/05/14,,,,,,,
Analysis Date,,11/09/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,672.779,,,,,,,
C1-Naphthalenes,,1761.069,,,,,,,
C2-Naphthalenes,,2521.492,,,,,,,
C3-Naphthalenes,,1938.947,,,,,,,
C4-Naphthalenes,,958.594,,,,,,,
Biphenyl,,307.491,,,,,,,
Acenaphthylene,,9.714,,,,,,,
Acenaphthene,,15.918,,,,,,,
Dibenzofuran,,64.695,,,,,,,
Fluorene,,177.823,,,,,,,
C1-Fluorenes,,333.509,,,,,,,
C2-Fluorenes,,405.383,,,,,,,
C3-Fluorenes,,350.282,,,,,,,
Anthracene,,2.665,U,,,,,,
Phenanthrene,,351.092,,,,,,,
C1-Phenanthrenes/Anthracenes,,757.586,,,,,,,
C2-Phenanthrenes/Anthracenes,,840.312,,,,,,,
C3-Phenanthrenes/Anthracenes,,556.92,,,,,,,
C4-Phenanthrenes/Anthracenes,,207.982,,,,,,,
Retene,,2.6,U,,,,,,
Dibenzothiophene,,88.409,,,,,,,
C1-Dibenzothiophenes,,186.137,,,,,,,
C2-Dibenzothiophenes,,216.618,,,,,,,
C3-Dibenzothiophenes,,134.626,,,,,,,
C4-Dibenzothiophenes,,61.695,,,,,,,
Fluoranthene,,6.924,,,,,,,
Pyrene,,19.811,,,,,,,
C1-Fluoranthenes/Pyrenes,,111.415,,,,,,,
C2-Fluoranthenes/Pyrenes,,152.416,,,,,,,
C3-Fluoranthenes/Pyrenes,,158.642,,,,,,,
Benzo(a)anthracene,,2.299,J,,,,,,
Chrysene,,46.434,,,,,,,
C1-Chrysenes,,85.293,,,,,,,
C2-Chrysenes,,111.558,,,,,,,
C3-Chrysenes,,86.257,,,,,,,
C4-Chrysenes,,59.346,,,,,,,
Benzo(b)fluoranthene,,5.197,,,,,,,
Benzo(k)fluoranthene,,5.21,U,,,,,,
Benzo(e)pyrene,,11.688,,,,,,,
Benzo(a)pyrene,,2.602,U,,,,,,
Perylene,,2.608,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.621,U,,,,,,
"Dibenz(a,h)anthracene",,2.605,U,,,,,,
"Benzo(g,h,i)perylene",,1.566,J,,,,,,
Total PAH,,13777.919,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,68.369,,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,53.2,,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,29.662,,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,19.902,,,,,,,
