,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD847CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,11/05/14,,,,,,,
Extraction Date,,11/05/14,,,,,,,
Analysis Date,,11/07/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,11903.29,,,,,,,
n-Decane,,12124.275,,,,,,,
n-Undecane,,11126.612,,,,,,,
n-Dodecane,,9976.703,,,,,,,
n-Tridecane,,9162.513,,,,,,,
Isoprenoid RRT 1380,,1975.096,,,,,,,
n-Tetradecane,,8359.82,,,,,,,
Isoprenoid RRT 1470,,3108.541,,,,,,,
n-Pentadecane,,9047.166,,,,,,,
n-Hexadecane,,7563.508,,,,,,,
Norpristane (1650),,2224.083,,,,,,,
n-Heptadecane,,6112.948,,,,,,,
Pristane,,4115.999,,,,,,,
n-Octadecane,,5168.118,,,,,,,
Phytane,,2318.324,,,,,,,
n-Nonadecane,,4498.203,,,,,,,
n-Eicosane,,4016.361,,,,,,,
n-Heneicosane,,3379.957,,,,,,,
n-Docosane,,3080.59,,,,,,,
n-Tricosane,,2705.141,,,,,,,
n-Tetracosane,,2334.558,,,,,,,
n-Pentacosane,,2283.346,,,,,,,
n-Hexacosane,,1881.863,,,,,,,
n-Heptacosane,,1659.603,,,,,,,
n-Octacosane,,1273.583,,,,,,,
n-Nonacosane,,1164.194,,,,,,,
n-Triacontane,,997.49,,,,,,,
n-Hentriacontane,,953.956,,,,,,,
n-Dotriacontane,,622.022,,,,,,,
n-Tritriacontane,,507.837,,,,,,,
n-Tetratriacontane,,361.025,,,,,,,
n-Pentatriacontane,,347.551,,,,,,,
n-Hexatriacontane,,218.978,J,,,,,,
n-Heptatriacontane,,203.375,J,,,,,,
n-Octatriacontane,,178.12,J,,,,,,
n-Nonatriacontane,,107.325,J,,,,,,
n-Tetracontane,,80.355,J,,,,,,
Sum SHC (C9-C40),,137142.429,,,,,,,
SHC Total (C9-C40),,542530.857,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,95,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
