2015 Tissue MDLs,
,
Units,MDL(ng/g)
,
n-Octane,9.91
n-Nonane,3.64
n-Decane,4.52
n-Undecane,4.34
n-Dodecane,4.57
n-Tridecane,4.81
n-Tetradecane,5.21
n-Pentadecane,10.4
n-Hexadecane,6.15
n-Heptadecane,9.06
Pristane,5.76
n-Octadecane,5.68
Phytane,4.93
n-Nonadecane,12.4
n-Eicosane,20.4
n-Heneicosane,25.8
n-Docosane,7.81
n-Tricosane,11.4
n-Tetracosane,11.1
n-Pentacosane,7.32
n-Hexacosane,8.9
n-Heptacosane,7.06
n-Octacosane,7.21
n-Nonacosane,16.2
n-Triacontane,7.27
n-Hentriacontane,16.2
n-Dotriacontane,5.39
n-Tritriacontane,4.75
n-Tetratriacontane,6.53
n-Pentatriacontane,4.8
n-Hexatriacontane,6.49
n-Heptatriacontane,4.9
n-Octatriacontane,8.1
n-Nonatriacontane,5.71
n-Tetracontane,15.2
