,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD796CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,10/29/14,,,,,,,
Extraction Date,,10/29/14,,,,,,,
Analysis Date,,11/05/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,12152.241,,,,,,,
n-Decane,,11981.8,,,,,,,
n-Undecane,,10769.805,,,,,,,
n-Dodecane,,9572.78,,,,,,,
n-Tridecane,,8835.28,,,,,,,
Isoprenoid RRT 1380,,1926.104,,,,,,,
n-Tetradecane,,8126.015,,,,,,,
Isoprenoid RRT 1470,,3005.748,,,,,,,
n-Pentadecane,,8773.351,,,,,,,
n-Hexadecane,,7065.324,,,,,,,
Norpristane (1650),,2138.518,,,,,,,
n-Heptadecane,,5964.337,,,,,,,
Pristane,,4014.276,,,,,,,
n-Octadecane,,4962.243,,,,,,,
Phytane,,2341.463,,,,,,,
n-Nonadecane,,4397.276,,,,,,,
n-Eicosane,,3912.158,,,,,,,
n-Heneicosane,,3352.052,,,,,,,
n-Docosane,,3056.755,,,,,,,
n-Tricosane,,2654.252,,,,,,,
n-Tetracosane,,2377.856,,,,,,,
n-Pentacosane,,2295.476,,,,,,,
n-Hexacosane,,1858.237,,,,,,,
n-Heptacosane,,1638.535,,,,,,,
n-Octacosane,,1264.08,,,,,,,
n-Nonacosane,,1167.619,,,,,,,
n-Triacontane,,1044.439,,,,,,,
n-Hentriacontane,,951.971,,,,,,,
n-Dotriacontane,,660.369,,,,,,,
n-Tritriacontane,,544.311,,,,,,,
n-Tetratriacontane,,392.07,,,,,,,
n-Pentatriacontane,,383.685,,,,,,,
n-Hexatriacontane,,245.315,J,,,,,,
n-Heptatriacontane,,201.272,J,,,,,,
n-Octatriacontane,,186.026,J,,,,,,
n-Nonatriacontane,,124.071,J,,,,,,
n-Tetracontane,,85.706,J,,,,,,
Sum SHC (C9-C40),,134422.816,,,,,,,
SHC Total (C9-C40),,488808.53,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,90,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
