,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-501,,PAL-507,,PAL-512,,PAL-516,,PAL-526,,PAL-527,,PAL-531,,PAL-533,,PAL-534A,,PAL-535,,PAL-539,,PAL-301,,PAL-303,,PAL-316,,PAL-318,,PAL-320,,PAL-321,,PAL-341,,PAL-240,,PAL-241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battelle ID,,M5856-P,,M5857-P,,M5859-P,,M5860-P,,M5862-P,,M5863-P,,M5864-P,,M5865-P,,M5866-P,,M5867-P,,M5869-P,,M5870-P,,M5871-P,,M5872-P,,M5875-P,,M5876-P,,M5877-P,,M5880-P,,M5903-P,,M5904-P,
Sample Type,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,
Collection Date,,07/31/14,,08/01/14,,08/02/14,,08/02/14,,08/04/14,,08/05/14,,08/05/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,07/31/14,,07/31/14,,08/02/14,,08/02/14,,08/03/14,,08/03/14,,08/07/14,,08/07/14,,08/07/14,
Extraction Date,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,,10/17/14,
Analysis Date,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,
Analytical Instrument,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,
% Moisture,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,82.88,,81.36,,81.36,,81.36,,81.36,,81.36,,81.36,,80.44,,80.48,,82.84,,80.18,,81.36,,81.36,,81.36,
% Lipid,,2.88,,4.47,,2.34,,4.31,,4.63,,3.98,,3.75,,2.71,,2,,4.8,,1.51,,3.5,,2.58,,2.78,,2.32,,1.83,,2.73,,4,,7.99,,4.5,
