,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,QAH-107,,QAH-107,,,,,QAH-107,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,L4785-P,,L4785MS-P,,,,,L4785MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/01/15,,8/1/2015,,,,,8/1/2015,,,,,,
Extraction Date,,08/25/15,,8/25/2015,,,,,8/25/2015,,,,,,
Analysis Date,,09/04/15,,9/4/2015,,,,,9/4/2015,,,,,,
Analytical Instrument,,MS,,MS,,,,,MS,,,,,,
% Moisture,,19.89,,21.48,,,,,20.8,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,23.99,,11.83,,,,,11.85,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
Naphthalene,,1.882,,158.910,,169.54,93,,164.389,,169.25,96,,3.2,
C1-Naphthalenes,,4.868,,0.374,U,,,,0.373,U,,,,,
C2-Naphthalenes,,5.857,,0.374,U,,,,0.373,U,,,,,
C3-Naphthalenes,,4.415,,0.374,U,,,,0.373,U,,,,,
C4-Naphthalenes,,2.950,,0.374,U,,,,0.373,U,,,,,
Biphenyl,,0.926,,159.050,,169.50,93,,150.989,,169.22,89,,4.4,
Acenaphthylene,,0.067,J,176.051,,169.60,104,,170.517,,169.32,101,,2.9,
Acenaphthene,,0.133,J,169.260,,169.52,100,,171.492,,169.23,101,,1.0,
Dibenzofuran,,0.780,,169.039,,169.48,99,,155.839,,169.20,92,,7.3,
Fluorene,,0.676,,186.799,,169.65,110,,172.547,,169.37,101,,8.5,
C1-Fluorenes,,1.148,,0.097,U,,,,0.097,U,,,,,
C2-Fluorenes,,1.490,,0.097,U,,,,0.097,U,,,,,
C3-Fluorenes,,1.618,,0.097,U,,,,0.097,U,,,,,
Anthracene,,0.184,J,171.677,,169.48,101,,172.452,,169.20,102,,1.0,
Phenanthrene,,3.874,,170.914,,169.43,99,,167.990,,169.15,97,,2.0,
C1-Phenanthrenes/Anthracenes,,6.382,,0.172,U,,,,0.172,U,,,,,
C2-Phenanthrenes/Anthracenes,,6.233,,0.172,U,,,,0.172,U,,,,,
C3-Phenanthrenes/Anthracenes,,4.249,,0.172,U,,,,0.172,U,,,,,
C4-Phenanthrenes/Anthracenes,,2.805,,0.172,U,,,,0.172,U,,,,,
Retene,,5.066,,0.245,U,,,,0.245,U,,,,,
Dibenzothiophene,,0.630,,148.799,,169.62,87,,150.379,,169.33,88,,1.1,
C1-Dibenzothiophenes,,1.302,,0.101,U,,,,0.101,U,,,,,
C2-Dibenzothiophenes,,2.221,,0.101,U,,,,0.101,U,,,,,
