,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CH136CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,09/09/15,,,,,,,
Extraction Date,,09/09/15,,,,,,,
Analysis Date,,09/14/15,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,936.635,,,,,,,
C1-Naphthalenes,,2403.635,,,,,,,
C2-Naphthalenes,,3090.347,,,,,,,
C3-Naphthalenes,,2187.310,,,,,,,
C4-Naphthalenes,,1079.815,,,,,,,
Biphenyl,,337.552,,,,,,,
Acenaphthylene,,10.689,,,,,,,
Acenaphthene,,24.423,,,,,,,
Dibenzofuran,,64.888,,,,,,,
Fluorene,,176.744,,,,,,,
C1-Fluorenes,,341.946,,,,,,,
C2-Fluorenes,,397.480,,,,,,,
C3-Fluorenes,,302.966,,,,,,,
Anthracene,,2.602,U,,,,,,
Phenanthrene,,367.136,,,,,,,
C1-Phenanthrenes/Anthracenes,,727.580,,,,,,,
C2-Phenanthrenes/Anthracenes,,748.456,,,,,,,
C3-Phenanthrenes/Anthracenes,,508.897,,,,,,,
C4-Phenanthrenes/Anthracenes,,191.010,,,,,,,
Retene,,2.626,U,,,,,,
Dibenzothiophene,,86.569,,,,,,,
C1-Dibenzothiophenes,,182.063,,,,,,,
C2-Dibenzothiophenes,,193.019,,,,,,,
C3-Dibenzothiophenes,,121.939,,,,,,,
C4-Dibenzothiophenes,,57.738,,,,,,,
Fluoranthene,,6.204,,,,,,,
Pyrene,,19.138,,,,,,,
C1-Fluoranthenes/Pyrenes,,101.138,,,,,,,
C2-Fluoranthenes/Pyrenes,,138.394,,,,,,,
C3-Fluoranthenes/Pyrenes,,147.387,,,,,,,
Benzo(a)anthracene,,3.287,,,,,,,
Chrysene,,46.305,,,,,,,
C1-Chrysenes,,84.119,,,,,,,
C2-Chrysenes,,115.733,,,,,,,
C3-Chrysenes,,97.978,,,,,,,
C4-Chrysenes,,67.426,,,,,,,
Benzo(b)fluoranthene,,5.107,,,,,,,
Benzo(k)fluoranthene,,5.171,U,,,,,,
Benzo(e)pyrene,,13.183,,,,,,,
Benzo(a)pyrene,,2.597,U,,,,,,
Perylene,,2.608,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.600,U,,,,,,
"Dibenz(a,h)anthracene",,2.579,U,,,,,,
"Benzo(g,h,i)perylene",,1.018,J,,,,,,
Total PAH,,15385.254,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,56.467,,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,46.759,,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,27.374,,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,15.374,,,,,,,
