2013 Tissue MDLs,
,
Units,MDL(ng/g)
,
n-Octane,3.93
n-Nonane,4.86
n-Decane,15.2
n-Undecane,6
n-Dodecane,5.16
n-Tridecane,3.67
n-Tetradecane,4.89
n-Pentadecane,9.52
n-Hexadecane,5.09
n-Heptadecane,8.2
Pristane,16
n-Octadecane,4.15
Phytane,4.2
n-Nonadecane,4.52
n-Eicosane,5.14
n-Heneicosane,4.95
n-Docosane,6.11
n-Tricosane,4.28
n-Tetracosane,4.29
n-Pentacosane,2.77
n-Hexacosane,2.65
n-Heptacosane,4.4
n-Octacosane,3.35
n-Nonacosane,4.03
n-Triacontane,3.53
n-Hentriacontane,6.82
n-Dotriacontane,4.31
n-Tritriacontane,4.1
n-Tetratriacontane,5.19
n-Pentatriacontane,4.55
n-Hexatriacontane,5.15
n-Heptatriacontane,6.76
n-Octatriacontane,7.54
n-Nonatriacontane,8.86
n-Tetracontane,10.2
