,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,QAH-401,,QAH-431,,QAH-103,,QAH-105,,QAH-107,,QAH-108,,QAH-109,,QAH-111,,QAH-112,,PAL-437-1,,PAL-437-2,,PAL-437-3,,PAL-437-4,,PAL-437-5,,PAL-437-6,,PAL-437-7,,PAL-437-11,,PAL-437-21,,PAL-437-29,,PAL-437-35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battelle ID,,L4729-P,,L4759-P,,L4781-P,,L4783-P,,L4785-P,,L4786-P,,L4787-P,,L4789-P,,L4790-P,,M6087-P,,M6088-P,,M6089-P,,M6090-P,,M6091-P,,M6092-P,,M6093-P,,M6097-P,,M6107-P,,M6115-P,,M6121-P,
Sample Type,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,
Collection Date,,08/03/15,,08/05/15,,07/27/15,,08/01/15,,08/01/15,,08/02/15,,08/02/15,,08/02/15,,08/03/15,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,
Extraction Date,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,,08/25/15,
Analysis Date,,09/03/15,,09/03/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/04/15,,09/05/15,,09/05/15,,09/05/15,,09/05/15,
Analytical Instrument,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,,FID,
% Moisture,,61.54,,61.33,,28.67,,58.04,,19.89,,38.75,,44.21,,38.89,,31.46,,53.54,,50,,50,,50,,50.45,,48.48,,47.72,,48.35,,47.95,,45.77,,49.44,
% Lipid,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
