"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
7/31/2014,22:31,PAL-501,,Arctic Cod,6D,1,X,,,,,,,,
8/1/2014,12:59,PAL-507,,Arctic Cod,5(5),3,X,,,,,,,,
8/1/2014,20:08,PAL-508,,Arctic Cod,L250-5,1,X,,,,,,,,
8/2/2014,2:04,PAL-512,,Arctic Cod,T-3,1,X,,,,,,,,
8/2/2014,12:59,PAL-516,,Arctic Cod,20,1,X,,,,,,,,
8/3/2014,9:50,PAL-521,,Arctic Cod,25,1,X,,,,,,,,
8/4/2014,20:28,PAL-526,,Arctic Cod,15,1,X,,,,,,,,
8/5/2014,0:34,PAL-527,,Arctic Cod,12,1,X,,,,,,,,
8/5/2014,13:50,PAL-531,,Arctic Cod,9,1,X,,,,,,,,
8/6/2014,1:55,PAL-533,,Arctic Cod,7C,1,X,,,,,,,,
8/6/2014,4:56,PAL-534A,,Arctic Cod,5,1,X,,,,,,,,
8/6/2014,10:04,PAL-535,,Arctic Cod,6,1,X,,,,,,,,
8/6/2014,16:59,PAL-538,,Arctic Cod,1,1,X,,,,,,,,
8/6/2014,21:03,PAL-539,,Arctic Cod,1.05,1,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
