"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship From: 
Battelle
141 Longwater Dr.
Norwell, MA 02061",,,"Ship From: 
Battelle
141 Longwater Dr.
Norwell, MA 02061",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
1-Aug-2015,11:51,QAH-301,,Clam (A. borealis),152W1,1,X,,,,,,,,
2-Aug-2015,17:05,QAH-302,,Clam (A. borealis),3A,1,X,,,,,,,,
2-Aug-2015,17:05,QAH-302-REP,,Clam (A. borealis),3A,1,X,,,,,,,,
3-Aug-2015,7:30,QAH-303,,Clam (A. borealis),143W-1,1,X,,,,,,,,
3-Aug-2015,7:30,QAH-306,,Clam (A. crenata),143W-1,1,x,,,,,,,,
4-Aug-2015,14:51,QAH-304,,Clam (A. crenata),70-142,1,X,,,,,,,,
5-Aug-2015,8:30,QAH-305,,Clam (A. crenata),71-145,1,X,,,,,,,,
6-Aug-2015,1:50,QAH-307,,Clam (A. crenata),71-147,1,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,8,,,,,,,,,
