,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,Laboratory Control Sample,,,,
,,,,,,,,,,,
Battelle ID,,CD636LCS-P,,,,,CD637LCS-P,,,,
Sample Type,,LCS,,,,,LCS,,,,
Collection Date,,10/16/14,,,,,10/16/2014,,,,
Extraction Date,,10/16/14,,,,,10/16/2014,,,,
Analysis Date,,11/08/14,,,,,11/8/2014,,,,
Analytical Instrument,,MS,,,,,MS,,,,
% Moisture,,42.76,,,,,42.76,,,,
% Lipid,,NA,,,,,NA,,,,
Matrix,,SEDIMENT,,,,,SEDIMENT,,,,
Sample Size,,17.21,,,,,17.26,,,,
Size Unit-Basis,,G_DRY,,,,,G_DRY,,,,
Units,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier
,,,,,,,,,,,
Naphthalene,,116.115,,116.54,100,,111.262,,116.20,96,
C1-Naphthalenes,,0.257,U,,,,0.256,U,,,
C2-Naphthalenes,,0.257,U,,,,0.256,U,,,
C3-Naphthalenes,,0.257,U,,,,0.256,U,,,
C4-Naphthalenes,,0.257,U,,,,0.256,U,,,
Biphenyl,,117.961,,116.51,101,,108.752,,116.18,94,
Acenaphthylene,,130.686,,116.58,112,,119.967,,116.25,103,
Acenaphthene,,125.53,,116.53,108,,119.337,,116.19,103,
Dibenzofuran,,119.474,,116.50,103,,112.482,,116.16,97,
Fluorene,,123.938,,116.62,106,,117.381,,116.28,101,
C1-Fluorenes,,0.067,U,,,,0.067,U,,,
C2-Fluorenes,,0.067,U,,,,0.067,U,,,
C3-Fluorenes,,0.067,U,,,,0.067,U,,,
Anthracene,,132.23,,116.50,114,,125.869,,116.16,108,
Phenanthrene,,120.314,,116.47,103,,112.111,,116.13,97,
C1-Phenanthrenes/Anthracenes,,0.119,U,,,,0.118,U,,,
C2-Phenanthrenes/Anthracenes,,0.119,U,,,,0.118,U,,,
C3-Phenanthrenes/Anthracenes,,0.119,U,,,,0.118,U,,,
C4-Phenanthrenes/Anthracenes,,0.119,U,,,,0.118,U,,,
Retene,,0.169,U,,,,0.168,U,,,
Dibenzothiophene,,111.413,,116.60,96,,102.53,,116.26,88,
C1-Dibenzothiophenes,,0.07,U,,,,0.07,U,,,
C2-Dibenzothiophenes,,0.07,U,,,,0.07,U,,,
C3-Dibenzothiophenes,,0.07,U,,,,0.07,U,,,
C4-Dibenzothiophenes,,0.07,U,,,,0.07,U,,,
Fluoranthene,,125.325,,116.58,108,,115.835,,116.25,100,
Pyrene,,123.138,,116.53,106,,112.859,,116.19,97,
C1-Fluoranthenes/Pyrenes,,0.259,U,,,,0.258,U,,,
C2-Fluoranthenes/Pyrenes,,0.259,U,,,,0.258,U,,,
C3-Fluoranthenes/Pyrenes,,0.259,U,,,,0.258,U,,,
Benzo(a)anthracene,,129.116,,116.56,111,,119.274,,116.22,103,
Chrysene,,120.363,,116.47,103,,113.511,,116.13,98,
C1-Chrysenes,,0.161,U,,,,0.16,U,,,
C2-Chrysenes,,0.161,U,,,,0.16,U,,,
