"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship From: 
Battelle 
141 Longwater Dr. 
Norwell, MA 02061",,,"Ship From: 
Battelle 
141 Longwater Dr. 
Norwell, MA 02061",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
3-Aug-2015,23:15,QAH-501,,Arctic Cod,143W-5,1,X,,,,,,,,
4-Aug-2015,5:15,QAH-502,,Arctic Cod,143W-4,1,X,,,,,,,,
5-Aug-2015,2:30,QAH-503,,Arctic Cod,70-145,1,X,,,,,,,,
5-Aug-2015,15:15,QAH-504,,Arctic Cod,71-146,1,X,,,,,,,,
6-Aug-2015,3:00,QAH-505,,Arctic Cod,71-147,1,X,,,,,,,,
6-Aug-2015,18:00,QAH-506,,Arctic Cod,149-200,1,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,6,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
