"Chain of Custody
",,,,,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,
"Ship to: 
Woods Hole Oceanographic Institution
Redfield Building 332
Woods Hole, MA 02543",,,"Ship From: 
Battelle 
141 Longwater Dr. 
Norwell, Ma 02061",,,,,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,
Date,Time,Field ID,Lat (degree),Lat (minute),Lat (degree),Lat (minute),Matrix,station,Analyses (Record No. of containers / Preservative),,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Alexandrium,ambient,4° C,,
1-Aug-2015,7:05,152W0,71,0.206,152,23.011,sediment,152W0,1,X,,,
1-Aug-2015,11:10,152W1,71,0.656,152,14.706,sediment,152W1,1,X,,,
1-Aug-2015,18:35,71-150,70,56.414,151,1.57,sediment,71-150,1,X,,,
2-Aug-2015,9:21,5A,70,29.761,148,46.061,sediment,5A,1,X,,,
2-Aug-2015,10:45,N06,70,29.561,148,43.304,sediment,N06,1,X,,,
2-Aug-2015,11:05,N03,70,29.95,148,41.535,sediment,N03,1,X,,,
2-Aug-2015,16:15,3A,70,16.949,147,5.436,sediment,3A,1,X,,,
3-Aug-2015,5:50,143W-1,70,15.582,143,36.054,sediment,143W-1,1,X,,,
3-Aug-2015,10:00,143W-2,70,26.415,143,36.155,sediment,143W-2,1,X,,,
3-Aug-2015,23:40,143W-5,70,37.59,143,35.334,sediment,143W-5,1,X,,,
4-Aug-2015,3:30,143W-4,70,34.056,143,35.625,sediment,143W-4,1,X,,,
4-Aug-2015,17:17,70-143,70,21.546,142,50.942,sediment,70-143,1,X,,,
4-Aug-2015,13:51,70-142,70,27.861,142,23.371,sediment,70-142,1,X,,,
5-Aug-2015,1:50,70-145,70,29.614,144,57.602,sediment,70-145,1,X,,,
5-Aug-2015,7:08,71-145,70,40.545,144,54.967,sediment,71-145,1,X,,,
5-Aug-2015,13:26,71-146,70,57.412,145,48.049,sediment,71-146,1,X,,,
6-Aug-2015,1:50,71-147,70,58.351,147,23.26,sediment,71-147,1,X,,,
6-Aug-2015,8:40,71-149,71,9.159,148,24.889,sediment,71-149,1,X,,,
6-Aug-2015,13:30,149-350,71,13.435,149,19.68,sediment,149-350,1,X,,,
6-Aug-2015,15:55,149-200,71,12.738,149,20.59,sediment,149-200,1,X,,,
,,,,,,,,,,,,,
,,,,,,,,,20,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
