,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,PAL-318,,PAL-318,,,,,
,,,,,,,,,
Battelle ID,,M5875-P,,M5875DUP-P,,,,,
Sample Type,,SA,,QADU,,,,,
Collection Date,,08/02/14,,8/2/2014,,,,,
Extraction Date,,10/17/14,,10/17/2014,,,,,
Analysis Date,,11/08/14,,11/9/2014,,,,,
Analytical Instrument,,MS,,MS,,,,,
% Moisture,,80.48,,84.77,,,,,
% Lipid,,2.32,,2.44,,,,,
Matrix,,CLAM,,CLAM,,,,,
Sample Size,,3.91,,3.06,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,NG/G_DRY,,NG/G_DRY,,RPD,Qualifier,,
,,,,,,,,,
Naphthalene,,15.904,B,20.015,B,22.9,,,
C1-Naphthalenes,,4.816,B,6.119,B,23.8,,,
C2-Naphthalenes,,2.024,B,2.319,B,13.6,,,
C3-Naphthalenes,,1.163,J,1.359,J,NA,,,
C4-Naphthalenes,,0.939,J,1.186,J,NA,,,
Biphenyl,,0.529,J,0.659,J,NA,,,
Acenaphthylene,,0.066,J,0.086,J,NA,,,
Acenaphthene,,0.379,J,0.431,J,NA,,,
Dibenzofuran,,0.453,J,0.603,J,NA,,,
Fluorene,,0.45,J,0.562,J,NA,,,
C1-Fluorenes,,0.515,J,0.664,J,NA,,,
C2-Fluorenes,,0.673,J,0.982,J,NA,,,
C3-Fluorenes,,2.759,U,1.398,J,NA,,,
Anthracene,,0.042,J,0.049,J,NA,,,
Phenanthrene,,1.261,J,1.554,J,NA,,,
C1-Phenanthrenes/Anthracenes,,1.354,B,1.698,,22.5,,,
C2-Phenanthrenes/Anthracenes,,1.792,,2.402,,29.1,,,
C3-Phenanthrenes/Anthracenes,,1.831,,2.224,,19.4,,,
C4-Phenanthrenes/Anthracenes,,1.435,,1.891,,27.4,,,
Retene,,0.988,J,1.285,J,NA,,,
Dibenzothiophene,,0.127,J,0.159,J,NA,,,
C1-Dibenzothiophenes,,0.283,J,0.382,J,NA,,,
C2-Dibenzothiophenes,,0.577,J,0.678,J,NA,,,
C3-Dibenzothiophenes,,0.612,J,0.865,J,NA,,,
C4-Dibenzothiophenes,,0.712,J,0.864,J,NA,,,
Fluoranthene,,0.516,J,0.646,J,NA,,,
Pyrene,,0.673,J,0.828,J,NA,,,
C1-Fluoranthenes/Pyrenes,,1.139,J,1.39,J,NA,,,
C2-Fluoranthenes/Pyrenes,,1.408,,1.905,,30.0,,,
C3-Fluoranthenes/Pyrenes,,1.594,,1.951,,20.1,,,
Benzo(a)anthracene,,0.108,J,0.148,J,NA,,,
Chrysene,,2.114,,2.79,,27.6,,,
C1-Chrysenes,,1.483,,1.869,,23.0,,,
C2-Chrysenes,,1.403,,1.797,,24.6,,,
C3-Chrysenes,,0.556,U,0.71,U,NA,,,
C4-Chrysenes,,0.556,U,0.71,U,NA,,,
Benzo(b)fluoranthene,,0.896,J,1.11,J,NA,,,
Benzo(k)fluoranthene,,0.263,J,0.331,J,NA,,,
Benzo(e)pyrene,,1.241,J,1.56,J,NA,,,
Benzo(a)pyrene,,0.169,J,0.198,J,NA,,,
Perylene,,3.953,,5.147,,26.2,,,
"Indeno(1,2,3-cd)pyrene",,0.092,J,0.154,J,NA,,,
"Dibenz(a,h)anthracene",,0.061,J,0.326,U,NA,,,
"Benzo(g,h,i)perylene",,0.584,J,0.791,J,NA,,,
Total PAH,,55.634,,71.764,,25.3,,,
"14a(H),17a(H)-20R-Cholestane",,0.538,J,0.668,J,NA,,,
"13b(H),17a(H)-20S-Diacholestane ",,0.264,J,0.352,J,NA,,,
"13b(H),17a(H)-20R-Diacholestane",,0.152,J,0.194,J,NA,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,0.112,J,0.143,J,NA,,,
"14a(H),17a(H)-20S-Cholestane",,0.376,J,0.433,J,NA,,,
"14b(H),17b(H)-20R-Cholestane",,0.132,J,0.133,J,NA,,,
"14b(H),17b(H)-20S-Cholestane",,0.168,J,0.181,J,NA,,,
"14a(H),17a(H)-20S-methylcholestane",,0.415,U,0.53,U,NA,,,
"14b(H),17b(H)-20R-Methylcholestane",,0.415,U,0.53,U,NA,,,
"14b(H),17b(H)-20S-Methylcholestane",,0.415,U,0.53,U,NA,,,
"14a(H),17a(H)-20R-methylcholestane ",,0.288,J,0.314,J,NA,,,
"14a(H),17a(H)-20S-Ethylcholestane",,0.415,U,0.53,U,NA,,,
"14b(H),17b(H)-20R-Ethylcholestane",,0.171,J,0.255,J,NA,,,
"14b(H),17b(H)-20S-Ethylcholestane",,0.171,J,0.212,J,NA,,,
"14a(H),17a(H)-20R-Ethylcholestane",,0.345,J,0.342,J,NA,,,
C23 Tricyclic Terpane,,0.445,J,0.517,J,NA,,,
C24 Tricyclic Terpane ,,1.43,U,1.827,U,NA,,,
C25 Tricyclic Terpane,,1.43,U,1.827,U,NA,,,
C24 Tetracyclic Terpane,,1.43,U,1.827,U,NA,,,
C26 Tricyclic Terpane-22S,,1.43,U,1.827,U,NA,,,
C26 Tricyclic Terpane-22R,,1.43,U,1.827,U,NA,,,
C28 Tricyclic Terpane-22S,,1.43,U,1.827,U,NA,,,
C28 Tricyclic Terpane-22R,,1.43,U,1.827,U,NA,,,
C29 Tricyclic Terpane-22S,,1.43,U,1.827,U,NA,,,
C29 Tricyclic Terpane-22R,,1.43,U,1.827,U,NA,,,
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,1.43,U,1.827,U,NA,,,
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,0.412,J,0.573,J,NA,,,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.43,U,1.827,U,NA,,,
"17a(H),21b(H)-25-Norhopane",,1.43,U,1.827,U,NA,,,
30-Norhopane,,0.935,J,1.015,J,NA,,,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.43,U,1.827,U,NA,,,
17a(H)-Diahopane,,1.43,U,1.827,U,NA,,,
30-Normoretane,,0.457,J,0.574,J,NA,,,
18a(H) & 18b(H)-Oleananes,,1.43,U,1.827,U,NA,,,
"17a(H),21b(H)-hopane",,0.923,J,1.365,J,NA,,,
"17b(H),21a(H)-hopane (moretane)",,1.435,J,1.973,J,NA,,,
30-Homohopane-22S,,1.43,U,1.827,U,NA,,,
30-Homohopane-22R,,1.43,U,1.827,U,NA,,,
"30,31-Bishomohopane-22S",,1.43,U,1.827,U,NA,,,
"30,31-Bishomohopane-22R",,1.43,U,1.827,U,NA,,,
"30,31,32-Trishomohopane-22S",,1.268,J,1.337,J,NA,,,
"30,31,32-Trishomohopane-22R",,1.43,U,1.827,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22S",,1.43,U,1.827,U,NA,,,
"30,31,32,33-Tetrakishomohopane-22R",,1.43,U,1.827,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22S",,1.43,U,1.827,U,NA,,,
"30,31,32,33,34-Pentakishomohopane-22R",,1.43,U,1.827,U,NA,,,
Priority Pollutant PAH,,23.578,,29.693,,23.0,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
Naphthalene-d8,,76,,77,,,,,
Acenaphthene-d10,,89,,90,,,,,
Phenanthrene-d10,,95,,98,,,,,
Benzo(a)pyrene-d12,,79,,84,,,,,
5b(H)-Cholane,,104,,103,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
