,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,IM85: North Slope Crude,,,,,IE89: North Star reference oil,,,,
,,,,,,,,,,,
Battelle ID,,CH047CO-P,,,,,CH051CO-P,,,,
Sample Type,,CO,,,,,CO,,,,
Collection Date,,09/02/15,,,,,9/2/2015,,,,
Extraction Date,,09/02/15,,,,,9/2/2015,,,,
Analysis Date,,09/03/15,,,,,9/3/2015,,,,
Analytical Instrument,,FID,,,,,FID,,,,
% Moisture,,NA,,,,,NA,,,,
% Lipid,,NA,,,,,NA,,,,
Matrix,,OIL,,,,,OIL,,,,
Sample Size,,5.04,,,,,5.0005,,,,
Size Unit-Basis,,MG_OIL,,,,,MG_OIL,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,MG/KG_OIL,,Target,% Difference,Qualifier
,,,,,,,,,,,
n-Nonane,,4453.663,,4597.33,3.1,,12190.916,,,,
n-Decane,,4376.528,,4593.10,4.7,,12564.811,,,,
n-Undecane,,4317.171,,4593.71,6.0,,11536.956,,,,
n-Dodecane,,4025.178,,4479.95,10.2,,10558.816,,,,
n-Tridecane,,4090.596,,4406.04,7.2,,10098.677,,,,
Isoprenoid RRT 1380,,888.808,,910.08,2.3,,2064.742,,,,
n-Tetradecane,,3807.469,,3876.02,1.8,,9220.196,,,,
Isoprenoid RRT 1470,,1333.246,,1459.21,8.6,,3351.965,,,,
n-Pentadecane,,3683.825,,3966.33,7.1,,8651.328,,,,
n-Hexadecane,,3271.918,,3647.07,10.3,,7595.962,,,,
Norpristane (1650),,1078.067,,1176.36,8.4,,2456.389,,,,
n-Heptadecane,,3013.195,,3233.24,6.8,,6457.803,,,,
Pristane,,2065.260,,2219.78,7.0,,4156.919,,,,
n-Octadecane,,2994.806,,2958.53,1.2,,5978.936,,,,
Phytane,,1356.771,,1412.15,3.9,,2495.373,,,,
n-Nonadecane,,2367.806,,2547.86,7.1,,4617.635,,,,
n-Eicosane,,2343.889,,2556.19,8.3,,4179.368,,,,
n-Heneicosane,,2136.648,,2345.96,8.9,,3566.664,,,,
n-Docosane,,1974.481,,2203.73,10.4,,3173.065,,,,
n-Tricosane,,1870.241,,2022.90,7.5,,2817.810,,,,
n-Tetracosane,,1848.312,,1913.32,3.4,,2642.128,,,,
n-Pentacosane,,1544.474,,1679.52,8.0,,2265.211,,,,
n-Hexacosane,,1419.723,,1563.99,9.2,,1933.655,,,,
n-Heptacosane,,1070.531,,1170.32,8.5,,1683.209,,,,
n-Octacosane,,944.843,,975.81,3.2,,1408.683,,,,
n-Nonacosane,,777.489,,770.97,0.8,,1271.981,,,,
n-Triacontane,,613.386,,670.41,8.5,,1049.114,,,,
n-Hentriacontane,,547.087,,639.83,14.5,,930.116,,,,
n-Dotriacontane,,385.290,,431.96,10.8,,639.616,,,,
n-Tritriacontane,,415.410,,453.91,8.5,,547.799,,,,
n-Tetratriacontane,,310.077,,356.39,13.0,,411.238,,,,
n-Pentatriacontane,,339.858,,371.72,8.6,,362.551,,,,
n-Hexatriacontane,,228.852,J,231.42,1.1,,208.403,J,,,
n-Heptatriacontane,,206.367,J,214.71,3.9,,211.332,J,,,
n-Octatriacontane,,209.238,J,210.57,0.6,,194.594,J,,,
n-Nonatriacontane,,172.359,J,168.91,2.0,,125.821,J,,,
n-Tetracontane,,183.798,J,178.74,2.8,,104.886,J,,,
Sum SHC (C9-C40),,66666.660,,,,,143724.668,,,,
SHC Total (C9-C40),,516540.621,,566423.77,8.8,,533918.259,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,
,,,,,,,,,,,
n-Tetracosane-d50,,104,,,,,106,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
