,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,140624-01: Tilapia,,,,,,,
,,,,,,,,,
Battelle ID,,CD305LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,10/08/14,,,,,,,
Extraction Date,,10/08/14,,,,,,,
Analysis Date,,10/16/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,81.91,,,,,,,
% Lipid,,2.08,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.65,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
n-Nonane,,0.683,,1.37,50,N,,,
n-Decane,,1.015,,1.37,74,,,,
n-Undecane,,1.122,,1.37,82,,,,
n-Dodecane,,1.175,,1.37,86,,,,
n-Tridecane,,1.207,,1.37,88,,,,
Isoprenoid RRT 1380,,0.02,U,,,,,,
n-Tetradecane,,1.254,,1.37,91,,,,
Isoprenoid RRT 1470,,0.028,U,,,,,,
n-Pentadecane,,1.342,,1.37,98,,,,
n-Hexadecane,,1.313,,1.37,96,,,,
Norpristane (1650),,0.028,U,,,,,,
n-Heptadecane,,1.492,,1.37,109,,,,
Pristane,,1.324,,1.37,96,,,,
n-Octadecane,,1.347,,1.37,98,,,,
Phytane,,1.367,,1.38,99,,,,
n-Nonadecane,,1.359,,1.37,99,,,,
n-Eicosane,,1.379,,1.37,101,,,,
n-Heneicosane,,1.396,,1.37,102,,,,
n-Docosane,,1.395,,1.37,102,,,,
n-Tricosane,,1.399,,1.37,102,,,,
n-Tetracosane,,1.41,,1.37,103,,,,
n-Pentacosane,,1.417,,1.37,103,,,,
n-Hexacosane,,1.407,,1.37,102,,,,
n-Heptacosane,,1.422,,1.37,104,,,,
n-Octacosane,,1.382,,1.37,101,,,,
n-Nonacosane,,1.433,,1.37,104,,,,
n-Triacontane,,1.399,,1.37,102,,,,
n-Hentriacontane,,1.435,,1.37,104,,,,
n-Dotriacontane,,1.418,,1.37,103,,,,
n-Tritriacontane,,1.3,,1.37,95,,,,
n-Tetratriacontane,,1.337,,1.37,97,,,,
n-Pentatriacontane,,1.263,,1.31,97,,,,
n-Hexatriacontane,,1.337,,1.37,97,,,,
n-Heptatriacontane,,1.374,,1.37,100,,,,
n-Octatriacontane,,1.36,,1.37,99,,,,
n-Nonatriacontane,,1.392,,1.37,101,,,,
n-Tetracontane,,1.465,,1.37,107,,,,
Sum SHC (C9-C40),,45.12,,,,,,,
SHC Total (C9-C40),,253.267,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,94,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
