,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IC44: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CD846NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,11/05/14,,,,,,,
Extraction Date,,11/05/14,,,,,,,
Analysis Date,,11/07/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.05,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,4289.986,,4597.33,6.7,,,,
n-Decane,,4404.723,,4593.10,4.1,,,,
n-Undecane,,4242.582,,4593.71,7.6,,,,
n-Dodecane,,4124.536,,4479.95,7.9,,,,
n-Tridecane,,3771.863,,4406.04,14.4,,,,
Isoprenoid RRT 1380,,950.848,,910.08,4.5,,,,
n-Tetradecane,,3603.093,,3876.02,7.0,,,,
Isoprenoid RRT 1470,,1191.529,,1459.21,18.3,,,,
n-Pentadecane,,4249.078,,3966.33,7.1,,,,
n-Hexadecane,,3356.555,,3647.07,8.0,,,,
Norpristane (1650),,1011.923,,1176.36,14.0,,,,
n-Heptadecane,,2976.724,,3233.24,7.9,,,,
Pristane,,2389.179,,2219.78,7.6,,,,
n-Octadecane,,2887.065,,2958.53,2.4,,,,
Phytane,,1376.999,,1412.15,2.5,,,,
n-Nonadecane,,2532.488,,2547.86,0.6,,,,
n-Eicosane,,2600.905,,2556.19,1.7,,,,
n-Heneicosane,,2193.189,,2345.96,6.5,,,,
n-Docosane,,2128.648,,2203.73,3.4,,,,
n-Tricosane,,1873.186,,2022.90,7.4,,,,
n-Tetracosane,,1791.39,,1913.32,6.4,,,,
n-Pentacosane,,1705.598,,1679.52,1.6,,,,
n-Hexacosane,,1545.547,,1563.99,1.2,,,,
n-Heptacosane,,1106.977,,1170.32,5.4,,,,
n-Octacosane,,889.218,,975.81,8.9,,,,
n-Nonacosane,,733.168,,770.97,4.9,,,,
n-Triacontane,,625.126,,670.41,6.8,,,,
n-Hentriacontane,,668.165,,639.83,4.4,,,,
n-Dotriacontane,,392.848,,431.96,9.1,,,,
n-Tritriacontane,,369.481,,453.91,18.6,,,,
n-Tetratriacontane,,311.669,,356.39,12.5,,,,
n-Pentatriacontane,,343.874,,371.72,7.5,,,,
n-Hexatriacontane,,221.146,J,231.42,4.4,,,,
n-Heptatriacontane,,211,J,214.71,1.7,,,,
n-Octatriacontane,,199.351,J,210.57,5.3,,,,
n-Nonatriacontane,,164.843,J,168.91,2.4,,,,
n-Tetracontane,,183.527,J,178.74,2.7,,,,
Sum SHC (C9-C40),,67618.027,,,,,,,
SHC Total (C9-C40),,541416.606,,566423.77,4.4,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,99,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
