,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-201,,PAL-203,,PAL-204,,PAL-205,,PAL-207,,PAL-212,,PAL-212-REP,,PAL-216,,PAL-217,,PAL-218,,PAL-219,,PAL-220,,PAL-221,,PAL-225,,PAL-226,,PAL-227,,PAL-233,,PAL-234,,PAL-235,,PAL-239,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battelle ID,,M5881-P,,M5882-P,,M5883-P,,M5885-P,,M5886-P,,M5887-P,,M5888-P,,M5889-P,,M5890-P,,M5891-P,,M5892-P,,M5894-P,,M5895-P,,M5896-P,,M5897-P,,M5898-P,,M5899-P,,M5900-P,,M5901-P,,M5902-P,
Sample Type,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,,SA,
Collection Date,,07/31/14,,07/31/14,,07/31/14,,08/01/14,,08/01/14,,08/02/14,,08/02/14,,08/02/14,,08/02/14,,08/02/14,,08/03/14,,08/03/14,,08/03/14,,08/04/14,,08/04/14,,08/05/14,,08/06/14,,08/06/14,,08/06/14,,08/06/14,
Extraction Date,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,,10/08/14,
Analysis Date,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/06/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/05/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,,11/06/14,
Analytical Instrument,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,,MS,
% Moisture,,75.92,,76,,79.4,,78.49,,81.66,,76.26,,77.86,,76.49,,77.51,,77.97,,77.51,,78.5,,76.46,,78.53,,78.21,,81.22,,73.8,,77.86,,77.68,,76.29,
% Lipid,,6.07,,7.34,,4.46,,4.63,,2.69,,7.71,,5.36,,6.52,,5.89,,7.05,,5.77,,5.65,,3.91,,3.72,,5.16,,3.96,,5.19,,4.9,,5.95,,5.75,
Matrix,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,,AMPHIPOD,
Sample Size,,4.84,,4.81,,4.12,,4.31,,3.67,,4.74,,4.42,,4.72,,4.48,,4.39,,4.53,,4.30,,4.72,,4.30,,4.35,,3.77,,5.21,,4.41,,4.46,,4.77,
