,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client ID,,PAL-201,,PAL-203,,PAL-204,,PAL-205,,PAL-207,,PAL-212,,PAL-212-REP,,PAL-216,,PAL-217,,PAL-218,,PAL-219,,PAL-220,,PAL-221,,PAL-225,,PAL-226,,PAL-227,,PAL-233,,PAL-234,,PAL-235,,PAL-239,
Size Unit-Basis,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,,G_DRY,
Units,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,,NG/G_DRY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene,,11.429,,6.819,,15.545,,12.522,,12.536,,11.467,,10.752,,9.775,,10.073,,10.236,,9.543,,9.48,,11.604,,8.44,,10.712,,13.567,,3.594,B,9.483,,7.814,,2.595,B
C1-Naphthalenes,,3.186,,1.872,,3.029,,2.351,,4.215,,1.901,,1.65,,1.622,,1.538,,2.002,,1.96,,1.765,,2.011,,1.716,,1.678,,2.155,,1.091,,2.151,,1.682,,0.754,J
C2-Naphthalenes,,1.996,,1.523,,2.599,U,1.435,,4.58,,1.649,,1.051,J,0.86,J,2.39,U,1.748,,1.297,,1.187,J,0.713,J,1.306,,0.926,J,1.18,J,0.831,J,1.294,,1.15,J,0.826,J
C3-Naphthalenes,,1.181,,1.186,,2.599,U,2.484,U,3.531,,1.552,,2.422,U,0.514,J,2.39,U,0.736,J,1.067,J,0.825,J,2.268,U,2.49,U,2.461,U,2.84,U,0.97,J,1.306,,0.534,J,0.652,J
C4-Naphthalenes,,2.212,U,2.226,U,2.599,U,2.484,U,2.917,U,2.259,U,2.422,U,2.268,U,2.39,U,2.439,U,2.363,U,2.49,U,2.268,U,2.49,U,2.461,U,2.84,U,2.055,U,2.428,U,2.4,U,2.244,U
Biphenyl,,0.92,U,0.925,U,1.08,U,1.033,U,0.441,J,0.282,J,1.007,U,0.943,U,0.993,U,0.286,J,0.982,U,0.222,J,0.943,U,1.035,U,1.023,U,1.181,U,0.261,J,0.305,J,0.249,J,0.251,J
Acenaphthylene,,0.771,U,0.776,U,0.906,U,0.866,U,1.017,U,0.111,J,0.845,U,0.791,U,0.833,U,0.85,U,0.824,U,0.121,J,0.791,U,0.523,J,0.32,J,0.275,J,0.716,U,0.199,J,0.837,U,0.783,U
Acenaphthene,,0.673,J,0.347,J,0.622,J,0.512,J,0.659,J,0.364,J,0.411,J,0.353,J,0.376,J,0.431,J,0.353,J,0.378,J,0.432,J,0.341,J,0.336,J,0.408,J,0.199,J,0.351,J,0.313,J,0.8,U
Dibenzofuran,,0.718,J,0.858,J,0.272,J,0.349,J,0.425,J,0.917,J,0.748,J,0.551,J,1.827,U,1.069,J,0.631,J,0.601,J,0.238,J,0.605,J,1.001,J,0.802,J,0.225,J,0.388,J,0.995,J,1.716,U
Fluorene,,0.671,J,0.681,J,0.527,J,0.361,J,0.958,J,0.816,J,0.64,J,0.549,J,0.28,J,0.884,J,0.699,J,0.629,J,0.338,J,0.858,J,0.846,J,0.876,J,0.314,J,0.524,J,0.712,J,0.349,J
C1-Fluorenes,,0.637,J,0.497,J,0.566,J,0.495,J,0.776,J,0.477,J,0.471,J,0.458,J,0.443,J,0.517,J,0.541,J,0.532,J,0.537,J,0.488,J,0.44,J,0.592,J,0.502,J,0.559,J,0.399,J,2.262,U
C2-Fluorenes,,2.229,U,2.243,U,2.619,U,2.503,U,2.94,U,2.276,U,2.441,U,2.286,U,2.408,U,2.457,U,2.382,U,2.509,U,2.286,U,2.509,U,2.48,U,2.862,U,2.071,U,2.446,U,2.419,U,2.262,U
C3-Fluorenes,,2.229,U,2.243,U,2.619,U,2.503,U,2.94,U,2.276,U,2.441,U,2.286,U,2.408,U,2.457,U,2.382,U,2.509,U,2.286,U,2.509,U,2.48,U,2.862,U,2.071,U,2.446,U,2.419,U,2.262,U
Anthracene,,0.538,U,0.542,U,0.632,U,0.604,U,0.71,U,0.55,U,0.589,U,0.552,U,0.581,U,0.593,U,0.575,U,0.606,U,0.552,U,0.606,U,0.599,U,0.691,U,0.5,U,0.591,U,0.584,U,0.546,U
Phenanthrene,,1.257,,1.309,,1.021,J,0.987,J,2.05,,1.635,,1.021,J,1.079,J,0.702,J,1.609,,1.223,,1.351,,0.873,J,1.776,,1.491,,1.759,,1.105,B,1.487,,1.137,J,1.202,
C1-Phenanthrenes/Anthracenes,,1.941,U,1.953,U,2.28,U,2.179,U,2.56,U,1.982,U,2.125,U,1.99,U,2.097,U,2.14,U,2.074,U,2.185,U,1.99,U,2.185,U,2.159,U,2.492,U,1.803,U,2.13,U,2.106,U,1.969,U
C2-Phenanthrenes/Anthracenes,,1.318,,1.554,,2.28,U,2.179,U,1.773,,1.065,J,2.125,U,1.99,U,2.097,U,1.12,J,1.022,J,0.986,J,1.99,U,0.625,J,2.159,U,2.492,U,1.567,,0.913,J,2.106,U,1.223,
C3-Phenanthrenes/Anthracenes,,1.262,,1.528,,2.28,U,1.026,J,1.693,,1.264,,1.042,J,1.026,J,0.878,J,1.303,,1.393,,1.145,J,0.819,J,1.109,J,2.159,U,1.118,J,1.378,,1.16,J,2.106,U,1.242,
C4-Phenanthrenes/Anthracenes,,1.135,,0.927,J,2.28,U,2.179,U,1.317,J,0.817,J,0.671,J,0.836,J,2.097,U,0.836,J,1.231,,0.837,J,1.99,U,2.185,U,2.159,U,2.492,U,1.037,,0.703,J,2.106,U,0.767,J
Retene,,1.306,,0.894,J,0.812,J,0.563,J,0.915,J,0.58,J,0.384,J,0.573,J,1.08,U,0.524,J,0.888,J,0.55,J,1.026,U,0.28,J,1.113,U,0.44,J,1.822,,0.834,J,0.304,J,0.66,J
Dibenzothiophene,,0.217,J,0.951,U,1.11,U,1.061,U,1.246,U,0.965,U,1.035,U,0.969,U,1.021,U,1.042,U,1.01,U,1.064,U,0.969,U,1.064,U,1.051,U,1.213,U,0.878,U,1.037,U,1.026,U,0.959,U
C1-Dibenzothiophenes,,0.945,U,0.951,U,1.11,U,1.061,U,1.246,U,0.965,U,1.035,U,0.969,U,1.021,U,1.042,U,1.01,U,1.064,U,0.969,U,1.064,U,1.051,U,1.213,U,0.878,U,1.037,U,1.026,U,0.959,U
C2-Dibenzothiophenes,,0.945,U,0.951,U,1.11,U,1.061,U,1.246,U,0.965,U,1.035,U,0.969,U,1.021,U,1.042,U,1.01,U,1.064,U,0.969,U,1.064,U,1.051,U,1.213,U,0.878,U,1.037,U,1.026,U,0.959,U
C3-Dibenzothiophenes,,0.945,U,0.951,U,1.11,U,1.061,U,1.246,U,0.965,U,1.035,U,0.969,U,1.021,U,1.042,U,1.01,U,1.064,U,0.969,U,1.064,U,1.051,U,1.213,U,0.878,U,1.037,U,1.026,U,0.959,U
C4-Dibenzothiophenes,,0.945,U,0.951,U,1.11,U,1.061,U,1.246,U,0.965,U,1.035,U,0.969,U,1.021,U,1.042,U,1.01,U,1.064,U,0.969,U,1.064,U,1.051,U,1.213,U,0.878,U,1.037,U,1.026,U,0.959,U
Fluoranthene,,0.234,J,0.345,J,0.821,U,0.785,U,0.205,J,0.24,J,0.766,U,0.206,J,0.755,U,0.237,J,0.209,J,0.205,J,0.717,U,0.202,J,0.778,U,0.898,U,0.162,J,0.144,J,0.759,U,0.164,J
Pyrene,,0.337,J,0.454,J,0.737,U,0.704,U,0.827,U,0.378,J,0.687,U,0.194,J,0.678,U,0.324,J,0.314,J,0.306,J,0.233,J,0.706,U,0.698,U,0.246,J,0.583,U,0.222,J,0.681,U,0.253,J
C1-Fluoranthenes/Pyrenes,,0.627,U,0.567,J,0.737,U,0.704,U,0.827,U,0.64,U,0.687,U,0.643,U,0.678,U,0.691,U,0.67,U,0.706,U,0.643,U,0.706,U,0.698,U,0.805,U,0.646,J,0.688,U,0.681,U,0.636,U
C2-Fluoranthenes/Pyrenes,,0.627,U,0.631,U,0.737,U,0.704,U,0.827,U,0.64,U,0.687,U,0.643,U,0.678,U,0.691,U,0.67,U,0.706,U,0.643,U,0.706,U,0.698,U,0.805,U,0.583,U,0.688,U,0.681,U,0.636,U
C3-Fluoranthenes/Pyrenes,,0.627,U,0.631,U,0.737,U,0.704,U,0.827,U,0.64,U,0.687,U,0.643,U,0.678,U,0.691,U,0.67,U,0.706,U,0.643,U,0.706,U,0.698,U,0.805,U,0.583,U,0.688,U,0.681,U,0.636,U
Benzo(a)anthracene,,0.211,J,0.24,J,0.207,J,0.153,J,0.223,J,0.135,J,0.11,J,0.117,J,0.101,J,0.139,J,0.12,J,0.175,J,0.195,J,0.151,J,0.094,J,0.092,J,0.155,J,0.123,J,0.106,J,0.097,J
Chrysene,,0.888,J,1.143,,0.62,J,0.632,J,0.966,J,0.799,J,0.744,J,0.757,J,0.548,J,0.869,J,0.847,J,0.71,J,0.438,J,0.907,J,0.565,J,0.619,J,0.782,J,0.691,J,0.534,J,0.64,J
C1-Chrysenes,,0.996,J,0.969,J,0.677,J,0.604,J,1.056,J,0.746,J,0.653,J,0.701,J,0.415,J,0.537,J,1.067,J,0.746,J,0.474,J,0.69,J,0.449,J,0.683,J,0.639,J,0.708,J,0.519,J,0.543,J
C2-Chrysenes,,0.975,J,1.583,,0.528,U,0.504,U,1.568,,1.457,,0.787,J,1.114,,0.485,U,0.495,U,1.882,,1.152,J,0.586,J,0.506,U,0.5,U,0.577,U,0.417,U,0.493,U,0.487,U,0.456,U
C3-Chrysenes,,0.449,U,0.452,U,0.528,U,0.504,U,0.592,U,0.459,U,0.492,U,0.461,U,0.485,U,0.495,U,0.48,U,0.506,U,0.461,U,0.506,U,0.5,U,0.577,U,0.417,U,0.493,U,0.487,U,0.456,U
C4-Chrysenes,,0.449,U,0.452,U,0.528,U,0.504,U,0.592,U,0.459,U,0.492,U,0.461,U,0.485,U,0.495,U,0.48,U,0.506,U,0.461,U,0.506,U,0.5,U,0.577,U,0.417,U,0.493,U,0.487,U,0.456,U
Benzo(b)fluoranthene,,0.534,U,0.537,U,0.627,U,0.6,U,0.704,U,0.545,U,0.585,U,0.548,U,0.577,U,0.589,U,0.57,U,0.601,U,0.548,U,0.601,U,0.594,U,0.685,U,0.496,U,0.586,U,0.579,U,0.542,U
Benzo(k)fluoranthene,,0.492,U,0.495,U,0.577,U,0.552,U,0.648,U,0.502,U,0.538,U,0.504,U,0.531,U,0.542,U,0.525,U,0.553,U,0.504,U,0.553,U,0.547,U,0.631,U,0.457,U,0.539,U,0.533,U,0.499,U
Benzo(e)pyrene,,0.234,J,0.275,J,0.558,U,0.533,U,0.374,J,0.255,J,0.52,U,0.17,J,0.513,U,0.523,U,0.172,J,0.167,J,0.487,U,0.326,J,0.11,J,0.609,U,0.178,J,0.521,U,0.515,U,0.482,U
Benzo(a)pyrene,,0.347,U,0.349,U,0.408,U,0.39,U,0.458,U,0.354,U,0.38,U,0.356,U,0.375,U,0.383,U,0.371,U,0.391,U,0.356,U,0.391,U,0.386,U,0.446,U,0.322,U,0.381,U,0.377,U,0.352,U
Perylene,,1.324,,1.143,,0.533,U,0.509,U,1.784,,0.509,J,0.497,U,0.436,J,0.49,U,1.05,J,0.831,J,0.741,J,0.465,U,0.435,J,0.504,U,0.582,U,1.531,,0.417,J,0.492,U,0.807,J
"Indeno(1,2,3-cd)pyrene",,0.401,U,0.403,U,0.471,U,0.45,U,0.529,U,0.409,U,0.439,U,0.411,U,0.433,U,0.442,U,0.428,U,0.451,U,0.411,U,0.451,U,0.446,U,0.515,U,0.372,U,0.44,U,0.435,U,0.407,U
"Dibenz(a,h)anthracene",,0.206,U,0.208,U,0.242,U,0.232,U,0.272,U,0.211,U,0.226,U,0.212,U,0.223,U,0.228,U,0.22,U,0.232,U,0.212,U,0.232,U,0.23,U,0.265,U,0.192,U,0.226,U,0.224,U,0.209,U
"Benzo(g,h,i)perylene",,0.308,U,0.31,U,0.361,U,0.345,U,0.406,U,0.314,U,0.337,U,0.315,U,0.332,U,0.339,U,0.329,U,0.346,U,0.315,U,0.346,U,0.342,U,0.395,U,0.286,U,0.338,U,0.334,U,0.312,U
Total PAH,,30.879,,25.82,,23.086,,21.427,,41.13,,28.836,,20.751,,21.318,,15.354,,25.933,,26.402,,24.261,,19.491,,20.498,,18.968,,24.372,,17.167,,23.128,,16.144,,12.365,
"14a(H),17a(H)-20R-Cholestane",,0.65,J,1.09,,0.544,J,0.808,J,0.591,J,1.181,,0.76,J,0.704,J,0.247,J,0.953,J,0.56,J,0.629,J,0.677,J,0.557,J,0.776,J,0.411,J,0.324,J,0.513,J,0.866,J,1.548,
"13b(H),17a(H)-20S-Diacholestane ",,0.394,J,0.56,J,0.286,J,0.376,U,0.246,J,0.57,J,0.342,J,0.315,J,0.127,J,0.525,J,0.28,J,0.316,J,0.338,J,0.189,J,0.279,J,0.267,J,0.185,J,0.303,J,0.474,J,0.72,J
"13b(H),17a(H)-20R-Diacholestane",,0.335,U,0.288,J,0.393,U,0.376,U,0.202,J,0.277,J,0.204,J,0.175,J,0.362,U,0.256,J,0.166,J,0.179,J,0.153,J,0.132,J,0.175,J,0.43,U,0.118,J,0.368,U,0.22,J,0.525,J
"13b(H),17a(H)-20S-Methyldiacholestane",,0.218,J,0.306,J,0.393,U,0.376,U,0.442,U,0.343,J,0.216,J,0.221,J,0.362,U,0.302,J,0.143,J,0.209,J,0.159,J,0.147,J,0.182,J,0.43,U,0.105,J,0.323,J,0.319,J,0.33,J
"14a(H),17a(H)-20S-Cholestane",,0.751,J,1.048,J,0.351,J,0.376,U,0.382,J,1.043,J,0.517,J,0.605,J,0.158,J,0.911,J,0.434,J,0.531,J,0.54,J,0.328,J,0.473,J,0.397,J,0.27,J,0.604,J,0.985,J,0.743,J
"14b(H),17b(H)-20R-Cholestane",,0.345,J,0.611,J,0.228,J,0.547,J,0.442,U,0.717,J,0.218,J,0.378,J,0.362,U,0.495,J,0.225,J,0.269,J,0.237,J,0.161,J,0.286,J,0.208,J,0.114,J,0.196,J,0.345,J,0.979,J
"14b(H),17b(H)-20S-Cholestane",,0.399,J,0.616,J,0.273,J,0.433,J,0.442,U,0.719,J,0.235,J,0.331,J,0.362,U,0.462,J,0.207,J,0.284,J,0.232,J,0.147,J,0.283,J,0.21,J,0.093,J,0.263,J,0.375,J,0.62,J
"14a(H),17a(H)-20S-methylcholestane",,0.335,U,0.228,J,0.393,U,0.376,U,0.442,U,0.358,J,0.206,J,0.163,J,0.362,U,0.258,J,0.116,J,0.377,U,0.343,U,0.377,U,0.178,J,0.43,U,0.311,U,0.368,U,0.363,U,0.376,J
"14b(H),17b(H)-20R-Methylcholestane",,0.319,J,0.489,J,0.393,U,0.376,U,0.442,U,0.539,J,0.173,J,0.243,J,0.362,U,0.4,J,0.187,J,0.22,J,0.185,J,0.11,J,0.296,J,0.43,U,0.311,U,0.138,J,0.262,J,0.393,J
"14b(H),17b(H)-20S-Methylcholestane",,0.329,J,0.44,J,0.393,U,0.376,U,0.442,U,0.561,J,0.17,J,0.269,J,0.362,U,0.436,J,0.152,J,0.24,J,0.224,J,0.094,J,0.293,J,0.43,U,0.311,U,0.209,J,0.2,J,0.438,J
"14a(H),17a(H)-20R-methylcholestane ",,0.278,J,0.459,J,0.393,U,0.376,U,0.175,J,0.629,J,0.336,J,0.371,J,0.362,U,0.469,J,0.323,J,0.247,J,0.26,J,0.187,J,0.464,J,0.14,J,0.311,U,0.187,J,0.415,J,0.472,J
"14a(H),17a(H)-20S-Ethylcholestane",,0.24,J,0.381,J,0.393,U,0.376,U,0.442,U,0.514,J,0.21,J,0.243,J,0.362,U,0.319,J,0.174,J,0.201,J,0.174,J,0.123,J,0.171,J,0.43,U,0.311,U,0.368,U,0.217,J,0.309,J
"14b(H),17b(H)-20R-Ethylcholestane",,0.435,J,0.698,J,0.401,J,0.515,J,0.442,U,0.976,J,0.31,J,0.493,J,0.362,U,0.664,J,0.331,J,0.375,J,0.366,J,0.321,J,0.451,J,0.24,J,0.13,J,0.32,J,0.486,J,0.857,J
"14b(H),17b(H)-20S-Ethylcholestane",,0.406,J,0.672,J,0.362,J,0.46,J,0.442,U,0.831,J,0.353,J,0.417,J,0.362,U,0.641,J,0.316,J,0.339,J,0.311,J,0.259,J,0.42,J,0.203,J,0.162,J,0.306,J,0.57,J,0.768,J
"14a(H),17a(H)-20R-Ethylcholestane",,0.568,J,0.872,J,0.408,J,0.478,J,0.416,J,1.021,J,0.492,J,0.602,J,0.362,U,0.664,J,0.494,J,0.435,J,0.366,J,0.418,J,0.713,J,0.325,J,0.214,J,0.328,J,0.735,J,0.904,J
C23 Tricyclic Terpane,,0.438,J,0.834,J,0.266,J,0.447,J,0.254,J,0.741,J,0.37,J,0.435,J,0.187,J,0.543,J,0.359,J,0.405,J,0.347,J,0.192,J,0.41,J,0.312,J,0.242,J,0.368,J,0.551,J,0.76,J
C24 Tricyclic Terpane ,,0.196,J,0.483,J,1.357,U,0.231,J,1.524,U,0.415,J,0.192,J,0.188,J,0.146,J,0.331,J,0.166,J,0.173,J,0.171,J,0.155,J,0.187,J,0.172,J,1.073,U,0.166,J,0.292,J,0.383,J
C25 Tricyclic Terpane,,0.274,J,0.413,J,1.357,U,1.297,U,1.524,U,0.399,J,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,0.344,J,0.465,J
C24 Tetracyclic Terpane,,0.216,J,0.483,J,1.357,U,1.297,U,1.524,U,0.51,J,0.184,J,0.2,J,1.248,U,0.329,J,0.127,J,0.237,J,0.237,J,1.3,U,1.285,U,0.169,J,1.073,U,0.346,J,0.241,J,0.408,J
C26 Tricyclic Terpane-22S,,0.272,J,0.269,J,1.357,U,1.297,U,1.524,U,0.128,J,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,0.175,J
C26 Tricyclic Terpane-22R,,1.155,U,0.177,J,1.357,U,1.297,U,1.524,U,0.233,J,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,0.144,J
C28 Tricyclic Terpane-22S,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
C28 Tricyclic Terpane-22R,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,0.578,J
C29 Tricyclic Terpane-22S,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,2.326,J
C29 Tricyclic Terpane-22R,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.739,J
"Ts-18a(H),21b(H)-22,29,30-Trisnorhopane",,0.374,J,1.042,J,1.357,U,1.297,U,1.524,U,0.782,J,0.263,J,0.43,J,1.248,U,0.549,J,1.234,U,0.269,J,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,0.388,J,1.172,U
"Tm-17a(H),21b(H)-22,29,30-Trisnorhopane",,1.67,J,1.176,J,1.357,U,0.546,J,1.524,U,1.234,J,0.406,J,0.42,J,1.248,U,0.667,J,1.234,U,0.475,J,0.461,J,1.3,U,0.918,J,0.304,J,0.298,J,0.519,J,0.636,J,7.32,
"17a(H),21b(H)-28,30-Bisnorhopane",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"17a(H),21b(H)-25-Norhopane",,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
30-Norhopane,,1.801,J,3.185,J,1.25,J,2.036,J,1.524,U,3.433,,1.081,J,1.819,J,1.248,U,2.076,J,0.979,J,1.552,J,1.312,J,0.971,J,1.738,J,1.017,J,0.65,J,1.333,J,2.206,J,3.612,
"18a(H),21b(H)-30-Norneohopane (C29Ts)",,1.155,U,0.496,J,1.357,U,1.297,U,1.524,U,0.572,J,1.265,U,1.185,U,1.248,U,0.505,J,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,0.37,J,0.853,J
17a(H)-Diahopane,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.079,J
30-Normoretane,,1.155,U,0.56,J,1.357,U,1.297,U,1.524,U,0.374,J,0.458,J,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,0.913,J,0.821,J
18a(H) & 18b(H)-Oleananes,,1.155,U,1.163,U,1.357,U,1.297,U,1.524,U,1.18,U,1.265,U,1.185,U,1.248,U,1.274,U,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.172,U
"17a(H),21b(H)-hopane",,1.911,J,3.262,,1.393,J,1.847,J,1.524,U,3.507,,1.367,J,1.727,J,1.248,U,2.62,J,1.382,J,1.733,J,1.431,J,1.321,J,1.672,J,1.06,J,0.76,J,1.562,J,2.304,J,3.297,
"17b(H),21a(H)-hopane (moretane)",,1.915,J,1.399,J,1.357,U,1.724,J,1.524,U,0.848,J,0.47,J,0.574,J,1.248,U,0.711,J,0.551,J,0.604,J,0.69,J,0.758,J,1.285,U,1.483,U,0.782,J,0.642,J,1.379,J,1.315,J
30-Homohopane-22S,,0.904,J,1.759,J,1.357,U,1.055,J,1.524,U,1.837,J,0.596,J,0.862,J,1.248,U,1.13,J,0.568,J,0.956,J,0.636,J,0.522,J,0.838,J,1.483,U,1.073,U,0.778,J,1.196,J,1.518,J
30-Homohopane-22R,,0.798,J,1.403,J,1.357,U,0.846,J,1.524,U,1.384,J,0.483,J,0.616,J,1.248,U,0.901,J,0.517,J,0.88,J,0.535,J,0.58,J,0.782,J,1.483,U,1.073,U,0.422,J,0.932,J,1.246,J
"30,31-Bishomohopane-22S",,1.155,U,0.912,J,1.357,U,1.297,U,1.524,U,0.886,J,1.265,U,1.185,U,1.248,U,0.774,J,1.234,U,1.3,U,1.185,U,1.3,U,1.285,U,1.483,U,1.073,U,1.268,U,1.254,U,1.004,J
