,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CD307PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,10/17/14,,,,,,,
Extraction Date,,10/17/14,,,,,,,
Analysis Date,,11/15/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,81.36, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.73,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,,,,,,
,,,,,,,,,
n-Nonane,,0.026,U,,,,,,
n-Decane,,0.081,U,,,,,,
n-Undecane,,0.032,U,,,,,,
n-Dodecane,,0.027,U,,,,,,
n-Tridecane,,0.019,U,,,,,,
Isoprenoid RRT 1380,,0.019,U,,,,,,
n-Tetradecane,,0.027,U,,,,,,
Isoprenoid RRT 1470,,0.027,U,,,,,,
n-Pentadecane,,0.051,U,,,,,,
n-Hexadecane,,0.027,U,,,,,,
Norpristane (1650),,0.027,U,,,,,,
n-Heptadecane,,0.043,U,,,,,,
Pristane,,0.086,U,,,,,,
n-Octadecane,,0.021,U,,,,,,
Phytane,,0.022,U,,,,,,
n-Nonadecane,,0.024,U,,,,,,
n-Eicosane,,0.028,U,,,,,,
n-Heneicosane,,0.026,U,,,,,,
n-Docosane,,0.033,U,,,,,,
n-Tricosane,,0.023,U,,,,,,
n-Tetracosane,,0.023,U,,,,,,
n-Pentacosane,,0.015,U,,,,,,
n-Hexacosane,,0.014,U,,,,,,
n-Heptacosane,,0.014,J,,,,,,
n-Octacosane,,0.011,J,,,,,,
n-Nonacosane,,0.008,J,,,,,,
n-Triacontane,,0.006,J,,,,,,
n-Hentriacontane,,0.007,J,,,,,,
n-Dotriacontane,,0.006,J,,,,,,
n-Tritriacontane,,0.005,J,,,,,,
n-Tetratriacontane,,0.005,J,,,,,,
n-Pentatriacontane,,0.003,J,,,,,,
n-Hexatriacontane,,0.004,J,,,,,,
n-Heptatriacontane,,0.036,U,,,,,,
n-Octatriacontane,,0.04,U,,,,,,
n-Nonatriacontane,,0.047,U,,,,,,
n-Tetracontane,,0.054,U,,,,,,
Sum SHC (C9-C40),,0.069,,,,,,,
SHC Total (C9-C40),,241.555,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,77,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
