"Chain of Custody
",,,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,,,
"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,"Ship From: 
Battelle 
141 Longwater Dr.
Norwell, MA 02061",,,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,,station,Analyses (Record No. of containers / Preservative),,,,,,,,,,top,bottom
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Core interval,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C,,
3-Aug-2014,18:00,QAH-401,,sediment,0-2,143-W6,1,X,,,,,,,,,0,2
3-Aug-2014,18:00,QAH-402,,sediment,2-4,143-W6,1,X,,,,,,,,,2,4
3-Aug-2014,18:00,QAH-403,,sediment,4-6,143-W6,1,X,,,,,,,,,4,6
3-Aug-2014,18:00,QAH-404,,sediment,6-8,143-W6,1,X,,,,,,,,,6,8
3-Aug-2014,18:00,QAH-405,,sediment,8-10,143-W6,1,X,,,,,,,,,8,10
3-Aug-2014,18:00,QAH-406,,sediment,10-12,143-W6,1,X,,,,,,,,,10,12
3-Aug-2014,18:00,QAH-407,,sediment,12-14,143-W6,1,X,,,,,,,,,12,14
3-Aug-2014,18:00,QAH-408,,sediment,14-16,143-W6,1,X,,,,,,,,,14,16
3-Aug-2014,18:00,QAH-409,,sediment,16-18,143-W6,1,X,,,,,,,,,16,18
3-Aug-2014,18:00,QAH-410,,sediment,18-20,143-W6,1,X,,,,,,,,,18,20
3-Aug-2014,23:40,QAH-411,,sediment,0-2,143-W5,1,X,,,,,,,,,,
3-Aug-2014,23:40,QAH-412,,sediment,2-4,143-W5,1,X,,,,,,,,,,
3-Aug-2014,23:40,QAH-413,,sediment,4-6,143-W5,1,X,,,,,,,,,,
