"Chain of Custody
",,,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,,station,Analyses (Record No. of containers / Preservative),,,,,,,,,,top,bottom
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Core interval,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C,,
8/6/2014,14:23,PAL-437-1,,sediment,0-2,1.2,1,X,,,,,,,,,0,2
8/6/2014,14:23,PAL-437-2,,sediment,2-4,1.2,1,X,,,,,,,,,2,4
8/6/2014,14:23,PAL-437-3,,sediment,4-6,1.2,1,X,,,,,,,,,4,6
8/6/2014,14:23,PAL-437-4,,sediment,6-8,1.2,1,X,,,,,,,,,6,8
8/6/2014,14:23,PAL-437-5,,sediment,8-10,1.2,1,X,,,,,,,,,8,10
8/6/2014,14:23,PAL-437-6,,sediment,10-12,1.2,1,X,,,,,,,,,10,12
8/6/2014,14:23,PAL-437-7,,sediment,12-14,1.2,1,X,,,,,,,,,12,14
8/6/2014,14:23,PAL-437-8,,sediment,14-16,1.2,1,X,,,,,,,,,14,16
8/6/2014,14:23,PAL-437-9,,sediment,16-18,1.2,1,X,,,,,,,,,16,18
8/6/2014,14:23,PAL-437-10,,sediment,18-20,1.2,1,X,,,,,,,,,18,20
8/6/2014,14:23,PAL-437-11,,sediment,20-22,1.2,1,X,,,,,,,,,20,22
8/6/2014,14:23,PAL-437-12,,sediment,22-24,1.2,1,X,,,,,,,,,22,24
8/6/2014,14:23,PAL-437-13,,sediment,24-26,1.2,1,X,,,,,,,,,24,26
8/6/2014,14:23,PAL-437-14,,sediment,26-28,1.2,1,X,,,,,,,,,26,28
8/6/2014,14:23,PAL-437-15,,sediment,28-30,1.2,1,X,,,,,,,,,28,30
8/6/2014,14:23,PAL-437-16,,sediment,30-32,1.2,1,X,,,,,,,,,30,32
8/6/2014,14:23,PAL-437-17,,sediment,32-34,1.2,1,X,,,,,,,,,32,34
8/6/2014,14:23,PAL-437-18,,sediment,34-36,1.2,1,X,,,,,,,,,34,36
8/6/2014,14:23,PAL-437-19,,sediment,36-38,1.2,1,X,,,,,,,,,36,38
8/6/2014,14:23,PAL-437-20,,sediment,38-40,1.2,1,X,,,,,,,,,38,40
8/6/2014,14:23,PAL-437-21,,sediment,40-42,1.2,1,X,,,,,,,,,40,42
8/6/2014,14:23,PAL-437-22,,sediment,42-44,1.2,1,X,,,,,,,,,42,44
8/6/2014,14:23,PAL-437-23,,sediment,44-46,1.2,1,X,,,,,,,,,44,46
8/6/2014,14:23,PAL-437-24,,sediment,46-48,1.2,1,X,,,,,,,,,46,48
8/6/2014,14:23,PAL-437-25,,sediment,48-51,1.2,1,X,,,,,,,,,48,51
8/6/2014,14:23,PAL-437-26,,sediment,51-54,1.2,1,X,,,,,,,,,51,54
8/6/2014,14:23,PAL-437-27,,sediment,54-57,1.2,1,X,,,,,,,,,54,57
8/6/2014,14:23,PAL-437-28,,sediment,57-60,1.2,1,X,,,,,,,,,57,60
8/6/2014,14:23,PAL-437-29,,sediment,60-63,1.2,1,X,,,,,,,,,60,63
8/6/2014,14:23,PAL-437-30,,sediment,63-66,1.2,1,X,,,,,,,,,63,66
8/6/2014,14:23,PAL-437-31,,sediment,66-69,1.2,1,X,,,,,,,,,66,69
8/6/2014,14:23,PAL-437-32,,sediment,69-72,1.2,1,X,,,,,,,,,69,72
8/6/2014,14:23,PAL-437-33,,sediment,72-75,1.2,1,X,,,,,,,,,72,75
8/6/2014,14:23,PAL-437-34,,sediment,75-78,1.2,1,X,,,,,,,,,75,78
8/6/2014,14:23,PAL-437-35,,sediment,78-81,1.2,1,X,,,,,,,,,78,81
8/6/2014,14:23,PAL-437-36,,sediment,81-84,1.2,1,X,,,,,,,,,81,84
