,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Laboratory Control Sample,,,,,,,
,,,,,,,,,
Battelle ID,,CG923LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,08/31/15,,,,,,,
Extraction Date,,08/31/15,,,,,,,
Analysis Date,,09/12/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,39.28,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,18.26,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
n-Nonane,,0.480,,0.69,70,,,,
n-Decane,,0.601,,0.69,88,,,,
n-Undecane,,0.578,,0.69,84,,,,
n-Dodecane,,0.592,,0.69,86,,,,
n-Tridecane,,0.592,,0.69,86,,,,
Isoprenoid RRT 1380,,0.007,U,,,,,,
n-Tetradecane,,0.622,,0.69,91,,,,
Isoprenoid RRT 1470,,0.005,U,,,,,,
n-Pentadecane,,0.617,,0.69,90,,,,
n-Hexadecane,,0.622,,0.69,91,,,,
Norpristane (1650),,0.012,U,,,,,,
n-Heptadecane,,0.630,,0.69,92,,,,
Pristane,,0.611,,0.69,89,,,,
n-Octadecane,,0.685,,0.69,100,,,,
Phytane,,0.660,,0.69,96,,,,
n-Nonadecane,,0.637,,0.69,93,,,,
n-Eicosane,,0.638,,0.69,93,,,,
n-Heneicosane,,0.644,,0.69,94,,,,
n-Docosane,,0.646,,0.69,94,,,,
n-Tricosane,,0.638,,0.69,93,,,,
n-Tetracosane,,0.682,,0.69,100,,,,
n-Pentacosane,,0.644,,0.69,94,,,,
n-Hexacosane,,0.642,,0.69,94,,,,
n-Heptacosane,,0.641,,0.69,93,,,,
n-Octacosane,,0.642,,0.69,94,,,,
n-Nonacosane,,0.693,,0.69,101,,,,
n-Triacontane,,0.654,,0.69,95,,,,
n-Hentriacontane,,0.660,,0.69,96,,,,
n-Dotriacontane,,0.654,,0.69,95,,,,
n-Tritriacontane,,0.626,,0.69,91,,,,
n-Tetratriacontane,,0.645,,0.69,94,,,,
n-Pentatriacontane,,0.605,,0.65,93,,,,
n-Hexatriacontane,,0.624,,0.69,91,,,,
n-Heptatriacontane,,0.657,,0.69,96,,,,
n-Octatriacontane,,0.624,,0.69,91,,,,
n-Nonatriacontane,,0.617,,0.69,90,,,,
n-Tetracontane,,0.606,,0.69,88,,,,
Sum SHC (C9-C40),,21.409,,,,,,,
SHC Total (C9-C40),,0.635,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,87,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
