,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,150416-01: Tilapia,,,,,150416-01: Tilapia,,,,
,,,,,,,,,,,
Battelle ID,,CG986LCS-P,,,,,CG914LCS-P,,,,
Sample Type,,LCS,,,,,LCS,,,,
Collection Date,,08/27/15,,,,,8/27/2015,,,,
Extraction Date,,08/27/15,,,,,8/27/2015,,,,
Analysis Date,,09/04/15,,,,,9/4/2015,,,,
Analytical Instrument,,MS,,,,,MS,,,,
% Moisture,,79.56,,,,,79.56,,,,
% Lipid,,0.79,,,,,0.79,,,,
Matrix,,TISSUE,,,,,TISSUE,,,,
Sample Size,,4.10,,,,,4.09,,,,
Size Unit-Basis,,G_DRY,,,,,G_DRY,,,,
Units,,NG/G_DRY,,Target,% Recovery,Qualifier,NG/G_DRY,,Target,% Recovery,Qualifier
,,,,,,,,,,,
Naphthalene,,240.874,,244.59,98,,246.605,,245.18,101,
C1-Naphthalenes,,2.611,U,,,,2.618,U,,,
C2-Naphthalenes,,2.611,U,,,,2.618,U,,,
C3-Naphthalenes,,2.611,U,,,,2.618,U,,,
C4-Naphthalenes,,2.611,U,,,,2.618,U,,,
Biphenyl,,221.208,,244.54,90,,231.419,,245.13,94,
Acenaphthylene,,231.520,,244.68,95,,240.103,,245.28,98,
Acenaphthene,,238.448,,244.56,98,,248.745,,245.16,101,
Dibenzofuran,,223.636,,244.51,91,,229.625,,245.11,94,
Fluorene,,237.261,,244.76,97,,245.755,,245.35,100,
C1-Fluorenes,,2.631,U,,,,2.638,U,,,
C2-Fluorenes,,2.631,U,,,,2.638,U,,,
C3-Fluorenes,,2.631,U,,,,2.638,U,,,
Anthracene,,238.221,,244.51,97,,247.926,,245.11,101,
Phenanthrene,,238.964,,244.44,98,,248.131,,245.04,101,
C1-Phenanthrenes/Anthracenes,,2.291,U,,,,2.297,U,,,
C2-Phenanthrenes/Anthracenes,,2.291,U,,,,2.297,U,,,
C3-Phenanthrenes/Anthracenes,,2.291,U,,,,2.297,U,,,
C4-Phenanthrenes/Anthracenes,,2.291,U,,,,2.297,U,,,
Retene,,1.181,U,,,,1.183,U,,,
Dibenzothiophene,,214.762,,244.71,88,,224.631,,245.31,92,
C1-Dibenzothiophenes,,1.116,U,,,,1.118,U,,,
C2-Dibenzothiophenes,,1.116,U,,,,1.118,U,,,
C3-Dibenzothiophenes,,1.116,U,,,,1.118,U,,,
C4-Dibenzothiophenes,,1.116,U,,,,1.118,U,,,
Fluoranthene,,261.111,,244.68,107,,272.921,,245.28,111,
Pyrene,,251.726,,244.56,103,,263.170,,245.16,107,
C1-Fluoranthenes/Pyrenes,,0.740,U,,,,0.742,U,,,
C2-Fluoranthenes/Pyrenes,,0.740,U,,,,0.742,U,,,
C3-Fluoranthenes/Pyrenes,,0.740,U,,,,0.742,U,,,
Benzo(a)anthracene,,259.017,,244.63,106,,275.195,,245.23,112,
Chrysene,,244.563,,244.44,100,,269.885,,245.04,110,
C1-Chrysenes,,0.530,U,,,,0.532,U,,,
C2-Chrysenes,,0.530,U,,,,0.532,U,,,
