,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131023-02: NIST SRM 1941b,,,,,,,
,,,,,,,,,
Battelle ID,,CG924SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/31/15,,,,,,,
Extraction Date,,08/31/15,,,,,,,
Analysis Date,,09/12/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,2.4,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,1.65,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,UG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
n-Nonane,,0.118,J,,,,,,
n-Decane,,0.382,J,,,,,,
n-Undecane,,0.084,J,,,,,,
n-Dodecane,,0.080,J,,,,,,
n-Tridecane,,0.070,J,,,,,,
Isoprenoid RRT 1380,,0.024,J,,,,,,
n-Tetradecane,,0.120,J,,,,,,
Isoprenoid RRT 1470,,0.081,J,,,,,,
n-Pentadecane,,0.170,J,,,,,,
n-Hexadecane,,0.108,J,,,,,,
Norpristane (1650),,0.045,J,,,,,,
n-Heptadecane,,0.229,J,,,,,,
Pristane,,0.051,J,,,,,,
n-Octadecane,,0.095,J,,,,,,
Phytane,,0.051,J,,,,,,
n-Nonadecane,,0.103,J,,,,,,
n-Eicosane,,0.087,J,,,,,,
n-Heneicosane,,0.106,J,,,,,,
n-Docosane,,0.116,J,,,,,,
n-Tricosane,,0.204,J,,,,,,
n-Tetracosane,,0.095,J,,,,,,
n-Pentacosane,,0.240,J,,,,,,
n-Hexacosane,,0.113,J,,,,,,
n-Heptacosane,,0.358,J,,,,,,
n-Octacosane,,0.159,J,,,,,,
n-Nonacosane,,0.441,J,,,,,,
n-Triacontane,,0.089,J,,,,,,
n-Hentriacontane,,0.442,J,,,,,,
n-Dotriacontane,,0.051,J,,,,,,
n-Tritriacontane,,0.221,J,,,,,,
n-Tetratriacontane,,0.043,J,,,,,,
n-Pentatriacontane,,0.048,J,,,,,,
n-Hexatriacontane,,0.037,J,,,,,,
n-Heptatriacontane,,0.015,J,,,,,,
n-Octatriacontane,,0.025,J,,,,,,
n-Nonatriacontane,,0.020,J,,,,,,
n-Tetracontane,,0.015,J,,,,,,
Sum SHC (C9-C40),,4.736,,,,,,,
SHC Total (C9-C40),,64.190,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,79,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
