,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD812CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,11/04/14,,,,,,,
Extraction Date,,11/04/14,,,,,,,
Analysis Date,,11/11/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
Naphthalene,,939.24,,,,,,,
C1-Naphthalenes,,2309.605,,,,,,,
C2-Naphthalenes,,2849.97,,,,,,,
C3-Naphthalenes,,1917.974,,,,,,,
C4-Naphthalenes,,809.597,,,,,,,
Biphenyl,,363.315,,,,,,,
Acenaphthylene,,11.936,,,,,,,
Acenaphthene,,15.393,,,,,,,
Dibenzofuran,,65.027,,,,,,,
Fluorene,,172.932,,,,,,,
C1-Fluorenes,,288.698,,,,,,,
C2-Fluorenes,,361.143,,,,,,,
C3-Fluorenes,,267.423,,,,,,,
Anthracene,,2.665,U,,,,,,
Phenanthrene,,356.127,,,,,,,
C1-Phenanthrenes/Anthracenes,,703.665,,,,,,,
C2-Phenanthrenes/Anthracenes,,741.071,,,,,,,
C3-Phenanthrenes/Anthracenes,,472.661,,,,,,,
C4-Phenanthrenes/Anthracenes,,178.179,,,,,,,
Retene,,2.6,U,,,,,,
Dibenzothiophene,,84.557,,,,,,,
C1-Dibenzothiophenes,,180.426,,,,,,,
C2-Dibenzothiophenes,,197.275,,,,,,,
C3-Dibenzothiophenes,,123.733,,,,,,,
C4-Dibenzothiophenes,,56.566,,,,,,,
Fluoranthene,,4.977,,,,,,,
Pyrene,,15.811,,,,,,,
C1-Fluoranthenes/Pyrenes,,92.691,,,,,,,
C2-Fluoranthenes/Pyrenes,,120.699,,,,,,,
C3-Fluoranthenes/Pyrenes,,137.675,,,,,,,
Benzo(a)anthracene,,2.396,J,,,,,,
Chrysene,,46.115,,,,,,,
C1-Chrysenes,,84.846,,,,,,,
C2-Chrysenes,,114.252,,,,,,,
C3-Chrysenes,,98.193,,,,,,,
C4-Chrysenes,,73.942,,,,,,,
Benzo(b)fluoranthene,,4.432,,,,,,,
Benzo(k)fluoranthene,,5.21,U,,,,,,
Benzo(e)pyrene,,12.251,,,,,,,
Benzo(a)pyrene,,2.602,U,,,,,,
Perylene,,2.608,U,,,,,,
"Indeno(1,2,3-cd)pyrene",,2.621,U,,,,,,
"Dibenz(a,h)anthracene",,2.605,U,,,,,,
"Benzo(g,h,i)perylene",,1.406,J,,,,,,
Total PAH,,14276.199,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,71.784,,,,,,,
"13b(H),17a(H)-20S-Diacholestane ",,56.028,,,,,,,
"13b(H),17a(H)-20R-Diacholestane",,32.294,,,,,,,
"13b(H),17a(H)-20S-Methyldiacholestane",,21.779,,,,,,,
