"Chain of Custody
",,,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,,station,Analyses (Record No. of containers / Preservative),,,,,,,,,,top,bottom
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,Core interval,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C,,
8/1/2014,17:57,PAL-408-01,,sediment,0-2,HEX-1,1,X,,,,,,,,,0,2
8/1/2014,17:57,PAL-408-02,,sediment,2-4,HEX-1,1,X,,,,,,,,,2,4
8/1/2014,17:57,PAL-408-03,,sediment,4-6,HEX-1,1,X,,,,,,,,,4,6
8/1/2014,17:57,PAL-408-04,,sediment,6-8,HEX-1,1,X,,,,,,,,,6,8
8/1/2014,17:57,PAL-408-05,,sediment,8-10,HEX-1,1,X,,,,,,,,,8,10
8/1/2014,17:57,PAL-408-06,,sediment,10-12,HEX-1,1,X,,,,,,,,,10,12
8/1/2014,17:57,PAL-408-07,,sediment,12-14,HEX-1,1,X,,,,,,,,,12,14
8/1/2014,17:57,PAL-408-08,,sediment,14-16,HEX-1,1,X,,,,,,,,,14,16
8/1/2014,17:57,PAL-408-09,,sediment,16-18,HEX-1,1,X,,,,,,,,,16,18
8/1/2014,17:57,PAL-408-10,,sediment,18-20,HEX-1,1,X,,,,,,,,,18,20
8/1/2014,17:57,PAL-408-11,,sediment,20-22,HEX-1,1,X,,,,,,,,,20,22
8/2/2014,21:15,PAL-418-1,,sediment,0-2,22,1,X,,,,,,,,,0,2
8/2/2014,21:15,PAL-418-2,,sediment,2-4,22,1,X,,,,,,,,,2,4
8/2/2014,21:15,PAL-418-3,,sediment,4-6,22,1,X,,,,,,,,,4,6
8/2/2014,21:15,PAL-418-4,,sediment,6-8,22,1,X,,,,,,,,,6,8
8/2/2014,21:15,PAL-418-5,,sediment,8-10,22,1,X,,,,,,,,,8,10
8/2/2014,21:15,PAL-418-6,,sediment,10-12,22,1,X,,,,,,,,,10,12
8/2/2014,21:15,PAL-418-7,,sediment,12-14,22,1,X,,,,,,,,,12,14
8/2/2014,21:15,PAL-418-8,,sediment,14-16,22,1,X,,,,,,,,,14,16
8/2/2014,21:15,PAL-418-9,,sediment,16-18,22,1,X,,,,,,,,,16,18
8/2/2014,21:15,PAL-418-10,,sediment,18-20,22,1,X,,,,,,,,,18,20
8/2/2014,21:15,PAL-418-11,,sediment,20-22,22,1,X,,,,,,,,,20,22
8/2/2014,21:15,PAL-418-12,,sediment,22-24,22,1,X,,,,,,,,,22,24
8/4/2014,0:42,PAL-423-01,,sediment,0-2,1C,1,X,,,,,,,,,0,2
8/4/2014,0:42,PAL-423-02,,sediment,2-4,1C,1,X,,,,,,,,,2,4
8/4/2014,0:42,PAL-423-03,,sediment,4-6,1C,1,X,,,,,,,,,4,6
8/4/2014,0:42,PAL-423-04,,sediment,6-8,1C,1,X,,,,,,,,,6,8
8/4/2014,0:42,PAL-423-05,,sediment,8-10,1C,1,X,,,,,,,,,8,10
8/4/2014,0:42,PAL-423-06,,sediment,10-12,1C,1,X,,,,,,,,,10,12
8/4/2014,0:42,PAL-423-07,,sediment,12-14,1C,1,X,,,,,,,,,12,14
8/4/2014,0:42,PAL-423-08,,sediment,14-16,1C,1,X,,,,,,,,,14,16
8/4/2014,0:42,PAL-423-09,,sediment,16-18,1C,1,X,,,,,,,,,16,18
8/4/2014,0:42,PAL-423-10,,sediment,18-20,1C,1,X,,,,,,,,,18,20
8/4/2014,0:42,PAL-423-11,,sediment,20-22,1C,1,X,,,,,,,,,20,22
8/4/2014,0:42,PAL-423-12,,sediment,22-24,1C,1,X,,,,,,,,,22,24
8/4/2014,0:42,PAL-423-13,,sediment,24-26,1C,1,X,,,,,,,,,24,26
8/4/2014,0:42,PAL-423-14,,sediment,26-28,1C,1,X,,,,,,,,,26,28
8/4/2014,0:42,PAL-423-15,,sediment,28-30,1C,1,X,,,,,,,,,28,30
8/4/2014,0:42,PAL-423-16,,sediment,30-32,1C,1,X,,,,,,,,,30,32
8/4/2014,0:42,PAL-423-17,,sediment,32-34,1C,1,X,,,,,,,,,32,34
8/4/2014,0:42,PAL-423-18,,sediment,34-36,1C,1,X,,,,,,,,,34,36
8/4/2014,0:42,PAL-423-19,,sediment,36-38,1C,1,X,,,,,,,,,36,38
8/4/2014,0:42,PAL-423-20,,sediment,38-40,1C,1,X,,,,,,,,,38,40
8/4/2014,0:42,PAL-423-21,,sediment,40-42,1C,1,X,,,,,,,,,40,42
8/4/2014,0:42,PAL-423-22,,sediment,42-44,1C,1,X,,,,,,,,,42,44
8/4/2014,0:42,PAL-423-23,,sediment,44-46,1C,1,X,,,,,,,,,44,46
8/5/2014,6:48,PAL-429-1,,sediment,0-2,11A,1,X,,,,,,,,,0,2
8/5/2014,6:48,PAL-429-2,,sediment,2-4,11A,1,X,,,,,,,,,2,4
8/5/2014,6:48,PAL-429-3,,sediment,4-6,11A,1,X,,,,,,,,,4,6
8/5/2014,6:48,PAL-429-4,,sediment,6-8,11A,1,X,,,,,,,,,6,8
8/5/2014,6:48,PAL-429-5,,sediment,8-10,11A,1,X,,,,,,,,,8,10
8/5/2014,6:48,PAL-429-6,,sediment,10-12,11A,1,X,,,,,,,,,10,12
8/5/2014,6:48,PAL-429-7,,sediment,12-14,11A,1,X,,,,,,,,,12,14
8/5/2014,6:48,PAL-429-8,,sediment,14-16,11A,1,X,,,,,,,,,14,16
8/5/2014,6:48,PAL-429-9,,sediment,16-18,11A,1,X,,,,,,,,,16,18
8/5/2014,6:48,PAL-429-10,,sediment,18-20,11A,1,X,,,,,,,,,18,20
8/5/2014,6:48,PAL-429-11,,sediment,20-22,11A,1,X,,,,,,,,,20,22
8/5/2014,6:48,PAL-429-12,,sediment,22-24,11A,1,X,,,,,,,,,22,24
8/5/2014,6:48,PAL-429-13,,sediment,24-26,11A,1,X,,,,,,,,,24,26
8/5/2014,6:48,PAL-429-14,,sediment,26-28,11A,1,X,,,,,,,,,26,28
8/5/2014,6:48,PAL-429-15,,sediment,28-30,11A,1,X,,,,,,,,,28,30
8/5/2014,6:48,PAL-429-16,,sediment,30-32,11A,1,X,,,,,,,,,30,32
8/5/2014,6:48,PAL-429-17,,sediment,32-34,11A,1,X,,,,,,,,,32,34
8/5/2014,6:48,PAL-429-18,,sediment,34-36,11A,1,X,,,,,,,,,34,36
8/5/2014,6:48,PAL-429-19,,sediment,36-38,11A,1,X,,,,,,,,,36,38
8/5/2014,6:48,PAL-429-20,,sediment,38-40,11A,1,X,,,,,,,,,38,40
8/5/2014,6:48,PAL-429-21,,sediment,40-42,11A,1,X,,,,,,,,,40,42
