,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CD304PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,10/08/14,,,,,,,
Extraction Date,,10/08/14,,,,,,,
Analysis Date,,10/16/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,77.68, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,4.47,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,,,,,,
,,,,,,,,,
n-Nonane,,0.022,U,,,,,,
n-Decane,,0.068,U,,,,,,
n-Undecane,,0.027,U,,,,,,
n-Dodecane,,0.023,U,,,,,,
n-Tridecane,,0.016,U,,,,,,
Isoprenoid RRT 1380,,0.016,U,,,,,,
n-Tetradecane,,0.022,U,,,,,,
Isoprenoid RRT 1470,,0.022,U,,,,,,
n-Pentadecane,,0.042,U,,,,,,
n-Hexadecane,,0.023,U,,,,,,
Norpristane (1650),,0.023,U,,,,,,
n-Heptadecane,,0.036,U,,,,,,
Pristane,,0.072,U,,,,,,
n-Octadecane,,0.018,U,,,,,,
Phytane,,0.019,U,,,,,,
n-Nonadecane,,0.02,U,,,,,,
n-Eicosane,,0.003,J,,,,,,
n-Heneicosane,,0.004,J,,,,,,
n-Docosane,,0.006,J,,,,,,
n-Tricosane,,0.019,U,,,,,,
n-Tetracosane,,0.005,J,,,,,,
n-Pentacosane,,0.006,J,,,,,,
n-Hexacosane,,0.006,J,,,,,,
n-Heptacosane,,0.006,J,,,,,,
n-Octacosane,,0.005,J,,,,,,
n-Nonacosane,,0.006,J,,,,,,
n-Triacontane,,0.004,J,,,,,,
n-Hentriacontane,,0.006,J,,,,,,
n-Dotriacontane,,0.001,J,,,,,,
n-Tritriacontane,,0.001,J,,,,,,
n-Tetratriacontane,,0.001,J,,,,,,
n-Pentatriacontane,,0.001,J,,,,,,
n-Hexatriacontane,,0.023,U,,,,,,
n-Heptatriacontane,,0.03,U,,,,,,
n-Octatriacontane,,0.033,U,,,,,,
n-Nonatriacontane,,0.04,U,,,,,,
n-Tetracontane,,0.045,U,,,,,,
Sum SHC (C9-C40),,0.061,,,,,,,
SHC Total (C9-C40),,201.566,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,120,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
