,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,PAL-204,,PAL-204,,,,,
,,,,,,,,,
Battelle ID,,M5883-P,,M5883DUP-P,,,,,
Sample Type,,SA,,QADU,,,,,
Collection Date,,07/31/14,,7/31/2014,,,,,
Extraction Date,,10/08/14,,10/8/2014,,,,,
Analysis Date,,10/17/14,,10/17/2014,,,,,
Analytical Instrument,,FID,,FID,,,,,
% Moisture,,79.4,,79.56,,,,,
% Lipid,,4.46,,4.49,,,,,
Matrix,,AMPHIPOD,,AMPHIPOD,,,,,
Sample Size,,4.12,,4.11,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,RPD,Qualifier,,
,,,,,,,,,
n-Nonane,,0.009,J,0.009,J,NA,,,
n-Decane,,0.036,J,0.031,J,NA,,,
n-Undecane,,0.011,J,0.009,J,NA,,,
n-Dodecane,,0.01,J,0.006,J,NA,,,
n-Tridecane,,0.008,J,0.007,J,NA,,,
Isoprenoid RRT 1380,,0.009,J,0.007,J,NA,,,
n-Tetradecane,,0.02,J,0.018,J,NA,,,
Isoprenoid RRT 1470,,0.063,J,0.057,J,NA,,,
n-Pentadecane,,0.705,,0.662,,6.3,,,
n-Hexadecane,,0.067,J,0.065,J,NA,,,
Norpristane (1650),,0.005,J,0.004,J,NA,,,
n-Heptadecane,,3.943,,2.948,,28.9,,,
Pristane,,72.825,D,114.128,D,44.2,N,,
n-Octadecane,,0.123,J,0.117,J,NA,,,
Phytane,,0.013,J,0.009,J,NA,,,
n-Nonadecane,,0.123,J,0.111,J,NA,,,
n-Eicosane,,0.02,J,0.019,J,NA,,,
n-Heneicosane,,0.067,J,0.065,J,NA,,,
n-Docosane,,0.063,J,0.061,J,NA,,,
n-Tricosane,,0.253,,0.238,,6.1,,,
n-Tetracosane,,0.16,,0.152,,5.1,,,
n-Pentacosane,,0.371,,0.339,,9.0,,,
n-Hexacosane,,0.14,,0.135,,3.6,,,
n-Heptacosane,,0.404,,0.381,,5.9,,,
n-Octacosane,,0.115,J,0.106,J,NA,,,
n-Nonacosane,,0.277,,0.257,,7.5,,,
n-Triacontane,,0.09,J,0.08,J,NA,,,
n-Hentriacontane,,0.215,,0.194,,10.3,,,
n-Dotriacontane,,0.074,J,0.054,J,NA,,,
n-Tritriacontane,,0.105,J,0.097,J,NA,,,
n-Tetratriacontane,,0.025,J,0.023,J,NA,,,
n-Pentatriacontane,,0.04,J,0.037,J,NA,,,
n-Hexatriacontane,,0.012,J,0.012,J,NA,,,
n-Heptatriacontane,,0.006,J,0.006,J,NA,,,
n-Octatriacontane,,0.013,J,0.011,J,NA,,,
n-Nonatriacontane,,0.017,JME,0.006,J,NA,,,
n-Tetracontane,,0.017,J,0.012,J,NA,,,
Sum SHC (C9-C40),,80.454,,120.473,,39.8,N,,
SHC Total (C9-C40),,151.142,,147.202,,2.6,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,52,,85,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
