,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,Procedural Blank,,,,,,,
,,,,,,,,,
Battelle ID,,CG919PB-P,,,,,,,
Sample Type,,PB,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,46.22, ,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,16.14,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,,,,,,
,,,,,,,,,
n-Nonane,,0.008,U,,,,,,
n-Decane,,0.006,U,,,,,,
n-Undecane,,0.006,U,,,,,,
n-Dodecane,,0.007,U,,,,,,
n-Tridecane,,0.008,U,,,,,,
Isoprenoid RRT 1380,,0.008,U,,,,,,
n-Tetradecane,,0.006,U,,,,,,
Isoprenoid RRT 1470,,0.006,U,,,,,,
n-Pentadecane,,0.006,U,,,,,,
n-Hexadecane,,0.013,U,,,,,,
Norpristane (1650),,0.013,U,,,,,,
n-Heptadecane,,0.006,U,,,,,,
Pristane,,0.026,U,,,,,,
n-Octadecane,,0.008,U,,,,,,
Phytane,,0.010,U,,,,,,
n-Nonadecane,,0.005,U,,,,,,
n-Eicosane,,0.010,U,,,,,,
n-Heneicosane,,0.003,U,,,,,,
n-Docosane,,0.001,J,,,,,,
n-Tricosane,,0.002,J,,,,,,
n-Tetracosane,,0.001,J,,,,,,
n-Pentacosane,,0.005,J,,,,,,
n-Hexacosane,,0.001,J,,,,,,
n-Heptacosane,,0.009,U,,,,,,
n-Octacosane,,0.010,U,,,,,,
n-Nonacosane,,0.006,U,,,,,,
n-Triacontane,,0.007,U,,,,,,
n-Hentriacontane,,0.004,U,,,,,,
n-Dotriacontane,,0.006,U,,,,,,
n-Tritriacontane,,0.003,U,,,,,,
n-Tetratriacontane,,0.005,U,,,,,,
n-Pentatriacontane,,0.005,U,,,,,,
n-Hexatriacontane,,0.005,U,,,,,,
n-Heptatriacontane,,0.009,U,,,,,,
n-Octatriacontane,,0.006,U,,,,,,
n-Nonatriacontane,,0.010,U,,,,,,
n-Tetracontane,,0.010,U,,,,,,
Sum SHC (C9-C40),,0.010,,,,,,,
SHC Total (C9-C40),,0.719,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,87,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
