"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,PAH S/T,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
7/31/2014,10:55,PAL-201,,Amphipod,6D,1,X,,,,,,,,
7/31/2014,15:56,PAL-203,,Amphipod,7,1,X,,,,,,,,
7/31/2014,21:30,PAL-204,,Amphipod,8,2,X,,,,,,,,
7/31/2014,21:39,PAL-204-REP,,Amphipod,8,2,X,,,,,,,,
8/1/2014,2:15,PAL-205,,Amphipod,10,1,X,,,,,,,,
8/1/2014,12:59,PAL-207,,Amphipod,5(5),1,X,,,,,,,,
8/2/2014,2:17,PAL-212,,Amphipod,T-3,1,X,,,,,,,,
8/2/2014,2:27,PAL-212-REP,,Amphipod,T-3,1,X,,,,,,,,
8/2/2014,11:08,PAL-216,,Amphipod,20,1,X,,,,,,,,
8/2/2014,16:30,PAL-217,,Amphipod,21,1,X,,,,,,,,
8/2/2014,21:51,PAL-218,,Amphipod,22,1,X,,,,,,,,
8/3/2014,2:51,PAL-219,,Amphipod,24,1,X,,,,,,,,
8/3/2014,2:43,PAL-219-REP,,Amphipod,24,1,X,,,,,,,,
8/3/2014,6:44,PAL-220,,Amphipod,23,1,X,,,,,,,,
8/3/2014,10:42,PAL-221,,Amphipod,25,1,X,,,,,,,,
8/4/2014,17:33,PAL-225,,Amphipod,16,1,x,,,,,,,,
8/4/2014,21:00,PAL-226,,Amphipod,15,1,x,,,,,,,,
8/5/2014,0:59,PAL-227,,Amphipod,12,1,x,,,,,,,,
8/6/2014,2:16,PAL-233,,Amphipod,7C,1,x,,,,,,,,
8/6/2014,5:43,PAL-234,,Amphipod,5,1,X,,,,,,,,
8/6/2014,10:33,PAL-235,,Amphipod,6,1,X,,,,,,,,
8/6/2014,21:48,PAL-239,,Amphipod,1.05,1,X,,,,,,,,
8/7/2014,11:31,PAL-240,,Amphipod,5B,1,X,,,,,,,,
8/7/2014,14:15,PAL-241,,Amphipod,N03,1,X,,,,,,,,
