,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IC44: North Slope Crude,,,,,,,
,,,,,,,,,
Battelle ID,,CD945NSC-P,,,,,,,
Sample Type,,NSC,,,,,,,
Collection Date,,11/19/14,,,,,,,
Extraction Date,,11/19/14,,,,,,,
Analysis Date,,11/19/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.05,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,4183.53,,4597.33,9.0,,,,
n-Decane,,4430.693,,4593.10,3.5,,,,
n-Undecane,,4351.313,,4593.71,5.3,,,,
n-Dodecane,,4106.006,,4479.95,8.3,,,,
n-Tridecane,,3873.473,,4406.04,12.1,,,,
Isoprenoid RRT 1380,,916.681,,910.08,0.7,,,,
n-Tetradecane,,3573.975,,3876.02,7.8,,,,
Isoprenoid RRT 1470,,1255.06,,1459.21,14.0,,,,
n-Pentadecane,,3799.857,,3966.33,4.2,,,,
n-Hexadecane,,3294.289,,3647.07,9.7,,,,
Norpristane (1650),,1072.575,,1176.36,8.8,,,,
n-Heptadecane,,2968.441,,3233.24,8.2,,,,
Pristane,,2237.015,,2219.78,0.8,,,,
n-Octadecane,,2809.445,,2958.53,5.0,,,,
Phytane,,1358.75,,1412.15,3.8,,,,
n-Nonadecane,,2468.341,,2547.86,3.1,,,,
n-Eicosane,,2555.039,,2556.19,0.0,,,,
n-Heneicosane,,2210.074,,2345.96,5.8,,,,
n-Docosane,,2163.519,,2203.73,1.8,,,,
n-Tricosane,,1948.597,,2022.90,3.7,,,,
n-Tetracosane,,1844.23,,1913.32,3.6,,,,
n-Pentacosane,,1722.085,,1679.52,2.5,,,,
n-Hexacosane,,1556.344,,1563.99,0.5,,,,
n-Heptacosane,,1162.644,,1170.32,0.7,,,,
n-Octacosane,,875.148,,975.81,10.3,,,,
n-Nonacosane,,733.642,,770.97,4.8,,,,
n-Triacontane,,649.86,,670.41,3.1,,,,
n-Hentriacontane,,649.739,,639.83,1.5,,,,
n-Dotriacontane,,385.513,,431.96,10.8,,,,
n-Tritriacontane,,425.282,,453.91,6.3,,,,
n-Tetratriacontane,,298.743,J,356.39,16.2,,,,
n-Pentatriacontane,,324.521,,371.72,12.7,,,,
n-Hexatriacontane,,219.484,J,231.42,5.2,,,,
n-Heptatriacontane,,213.011,J,214.71,0.8,,,,
n-Octatriacontane,,196.372,J,210.57,6.7,,,,
n-Nonatriacontane,,157.85,J,168.91,6.5,,,,
n-Tetracontane,,175.397,J,178.74,1.9,,,,
Sum SHC (C9-C40),,67166.538,,,,,,,
SHC Total (C9-C40),,538491.4,,566423.77,4.9,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,96,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
