lable,lat,long,station,Matrix,Field ID
6D-sediment,70.74833333,150.4717833,6D,sediment,PAL-101
6D-Clam,70.75125,150.4842,6D,Clam,PAL-301
6D-Arctic Cod,70.75125,150.4842,6D,Arctic Cod,PAL-501
6D-Amphipod,70.74901667,150.4506333,6D,Amphipod,PAL-201
4-sediment,70.66943333,150.1487167,4,sediment,PAL-102
7-sediment,70.84855,150.06355,7,sediment,PAL-103
7-Clam,70.84895,150.0702833,7,Clam,PAL-303
7-Amphipod,70.84076667,150.0806833,7,Amphipod,PAL-203
8-sediment,70.75601667,149.4507833,8,sediment,PAL-104
8-sediment,70.75165,149.44185,8,sediment,PAL-104b
8-Amphipod,70.75775,149.4542667,8,Amphipod,PAL-204
8-Amphipod,70.75956667,149.4511167,8,Amphipod,PAL-204-REP
10-sediment,70.70956667,148.7722167,10,sediment,PAL-105
10-Amphipod,70.71391667,148.7675833,10,Amphipod,PAL-205
5E-sediment,70.63645,149.2707,5E,sediment,PAL-106
5(5)-sediment,70.43731667,147.3427833,5(5),sediment,PAL-107
5(5)-Amphipod,70.43773333,147.3435333,5(5),Amphipod,PAL-207
5(5)-Arctic Cod,70.43773333,147.3435333,5(5),Arctic Cod,PAL-507
HEX-1-sediment,70.42195,146.18109,HEX-1,sediment,PAL-148
HEX-1-sediment,70.42181667,146.1797667,HEX-1,sediment,PAL-408
L250-5-sediment,70.36101667,146.1118333,L250-5,sediment,PAL-108
L250-5-sediment,70.36106667,146.10975,L250-5,sediment,PAL-108-REP
L250-5-Arctic Cod,70.36106667,146.10975,L250-5,Arctic Cod,PAL-508
HEX-17-sediment,70.31423333,146.0818167,HEX-17,sediment,PAL-109
HEX-12-sediment,70.35933333,145.9056,HEX-12,sediment,PAL-110
HH1-5-sediment,70.36,146.0222667,HH1-5,sediment,PAL-111
S-XA-sediment,70.38385,145.978,S-XA,sediment,PAL-142
T-3-sediment,70.44825,145.8311667,T-3,sediment,PAL-112
T-3-Clam (Nuculara radiada),70.44765,145.8276833,T-3,Clam (Nuculara radiada),PAL-312
T-3-Amphipod,70.44895,145.8357833,T-3,Amphipod,PAL-212
T-3-Amphipod,70.45033333,145.8333333,T-3,Amphipod,PAL-212-REP
T-XA-sediment,70.45523333,145.8004833,T-XA,sediment,PAL-113
M-4-sediment,70.53333333,145.6965333,M-4,sediment,PAL-114
18-sediment,70.33096667,145.3254833,18,sediment,PAL-115
20-Amphipod,70.3904,144.4849333,20,Amphipod,PAL-216
20-sediment,70.3503,144.4707667,20,sediment,PAL-116
20-Clam,70.35068333,144.4334167,20,Clam,PAL-316
20-Arctic Cod,70.35068333,144.4334167,20,Arctic Cod,PAL-516
20-Whelk (Neptunia Heros),70.35068333,144.4334167,20,Whelk (Neptunia Heros),PAL-516
21-sediment,70.27713333,143.8958667,21,sediment,PAL-117
21-Amphipod,70.28358333,143.9049167,21,Amphipod,PAL-217
22-sediment,70.18825,142.9257333,22,sediment,PAL-118
22-Clam,70.1905,142.9134167,22,Clam,PAL-318
22-sediment,70.184,142.8939667,22,sediment,PAL-418
22-Amphipod,70.1861,142.9155167,22,Amphipod,PAL-218
24-sediment,70.26193333,141.7395167,24,sediment,PAL-119
24-Amphipod,70.2573,141.7757,24,Amphipod,PAL-219-REP
24-Amphipod,70.25595,141.7709667,24,Amphipod,PAL-219
23-sediment,70.0052,141.9740833,23,sediment,PAL-120
23-Clam,70.01191667,141.9781667,23,Clam,PAL-320
23-Amphipod,70.00276667,141.9618167,23,Amphipod,PAL-220
25-sediment,69.85085,141.7132667,25,sediment,PAL-121
25-Arctic Cod,69.85638333,141.6985,25,Arctic Cod,PAL-521
25-Clam,69.85305,141.7104333,25,Clam,PAL-321
25-Amphipod,69.85786667,141.7140167,25,Amphipod,PAL-221
1B-sediment,70.06513333,144.7746833,1B,sediment,PAL-122
1C-sediment,70.15735,144.8039667,1C,sediment,PAL-123
1C-sediment,70.15535,144.8012833,1C,sediment,PAL-423
2C-sediment,70.15776667,145.32075,2C,sediment,PAL-124
16-sediment,70.73436667,145.9169333,16,sediment,PAL-125
16-Clam (Astarte crenata),70.73938333,145.9198333,16,Clam (Astarte crenata),PAL-325
16-Amphipod,70.7338,145.9106,16,Amphipod,PAL-225
15-sediment,70.64616667,146.6690833,15,sediment,PAL-126
15-Arctic Cod,70.64611667,146.6747667,15,Arctic Cod,PAL-526
15-Amphipod,70.64421667,146.6576833,15,Amphipod,PAL-226
12-sediment,70.67248333,147.5964167,12,sediment,PAL-127
12-Arctic Cod,70.6669,147.59645,12,Arctic Cod,PAL-527
12-Astarte/Macoma mix,70.651,147.578,12,Astarte/Macoma mix,PAL-327
12-Amphipod,70.67251667,147.5935333,12,Amphipod,PAL-227
11-sediment,70.83423333,148.1378,11,sediment,PAL-128
11A-sediment,71.11815,148.1072167,11A,sediment,PAL-129
11A-sediment,71.11815,148.10525,11A,sediment,PAL-429
9A-sediment,71.20658333,149.0394,9A,sediment,PAL-130
9A-sediment,71.20465,149.0307333,9A,sediment,PAL-430
9-sediment,70.96356667,148.9999,9,sediment,PAL-131
9-sediment,70.96281667,149.00185,9,sediment,PAL-131-REP
9-Arctic Cod,70.96281667,149.00185,9,Arctic Cod,PAL-531
6F-sediment,70.67275,151.1971167,6F,sediment,PAL-132
7C-sediment,70.91483333,152.00035,7C,sediment,PAL-133
7C-Arctic Cod,70.91483333,152.00035,7C,Arctic Cod,PAL-533
7C-Amphipod,70.91468333,151.9922833,7C,Amphipod,PAL-233
5-sediment,70.95243333,151.35325,5,sediment,PAL-134
5-Whelk (Neptunia Heros),70.95243333,151.35325,5,Whelk (Neptunia Heros),PAL-534
5-Amphipod,70.95443333,151.36425,5,Amphipod,PAL-234
6-sediment,71.28226667,151.56365,6,sediment,PAL-135
6-sediment,71.28206667,151.56615,6,sediment,PAL-135B
6-Arctic Cod,71.28206667,151.56615,6,Arctic Cod,PAL-535
6-Amphipod,71.279,151.5639667,6,Amphipod,PAL-235
6.1-sediment,71.40825,151.5667333,6.1,sediment,PAL-136
6.1-sediment,71.40895,151.5639833,6.1,sediment,PAL-436
1.2-sediment,71.4903,152.09725,1.2,sediment,PAL-137
1.2-sediment,71.4909,152.0963833,1.2,sediment,PAL-437
1-sediment,71.32111667,152.0924167,1,sediment,PAL-138
1-Crab (Hyas coarcticus),71.32111667,152.0924167,1,Crab (Hyas coarcticus),PAL-538B
1-Arctic Cod,71.32111667,152.0924167,1,Arctic Cod,PAL-538
