BATTELLE MARINE SCIENCE LABORATORIES,,,,,,,,,,,,,,,,,,,
1529 West Sequim Bay Road,,,,,,,,,,,,,,,,,,,
"Sequim, Washington  98382-9099",,,,,,,,,,,,,,,,,,,
360/681-3604,,,,,ANIMIDA,,,,,,,,,,,,,,
,,,,,MERCURY SPECIATION IN TISSUE,,,,,,,,,,,,,,
,,,,,(Samples Received 9/24/14),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Date,Percent ,,Methyl Hg,Methyl Hg,,Methyl Hg,,,,,,,,,
MSL Code,Sample ID,,BCO ID, Collected,Dry Weight,,Batch ID,(µg/g wet),,(µg/g dry),,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3471-1,PAL-535A,crab,M5853,08/06/14,19.9,,111814MEA,0.0431,,0.217,,,,,,,,,
3471-2,PAL-538B,crab,M5855,08/06/14,13.9,,111814MEA,0.0221,,0.159,,,,,,,,,
3471-3,PAL-531,arctic cod,M5864,08/05/14,19.2,,111814MEA,0.00797,,0.0415,,,,,,,,,
3471-4,PAL-533,arctic cod,M5865,08/06/14,17.7,,111814MEA,0.00287,,0.0162,,,,,,,,,
3471-5,PAL-534A,arctic cod,M5866,08/06/14,18.0,,111814MEA,0.00894,,0.0497,,,,,,,,,
3471-6,PAL-535 ,arctic cod,M5867,08/06/14,17.8,,111814MEA,0.00366,,0.0206,,,,,,,,,
3471-7,PAL-538 ,arctic cod,M5868,08/06/14,17.9,,111814MEA,0.00457,,0.0255,,,,,,,,,
3471-8,PAL-303,clam,M5871,07/31/14,20.3,,111814MEA,0.00389,,0.0192,,,,,,,,,
3471-9,PAL-316,clam,M5872,08/02/14,21.1,,111814MEA,0.00540,,0.0256,,,,,,,,,
3471-10,PAL-318,clam,M5875,08/02/14,20.5,,111814MEA,0.00609,,0.0297,,,,,,,,,
3471-11,PAL-320,clam,M5876,08/03/14,18.8,,111814MEA,0.00563,,0.0299,,,,,,,,,
3471-12 r1,PAL-321,clam,M5877,08/03/14,21.4,,111814MEA,0.00534,,0.0249,,,,,,,,,
3471-12 r2,PAL-321,clam,M5877,08/03/14,21.4,,111814MEA,0.00590,,0.0276,,,,,,,,,
3471-13,PAL-201,amphipod,M5881,07/31/14,26.2,,111814MEA,0.0220,,0.0838,,,,,,,,,
3471-14,PAL-203,amphipod,M5882,07/31/14,25.9,,111814MEA,0.0122,,0.0472,,,,,,,,,
3471-15,PAL-207,amphipod,M5886,08/01/14,20.7,,111814MEA,0.0178,,0.0856,,,,,,,,,
3471-16,PAL-212,amphipod,M5887,08/02/14,26.3,,111814MEA,0.0285,,0.109,,,,,,,,,
3471-17,PAL-216,amphipod,M5889,08/02/14,25.9,,111814MEA,0.0118,,0.0456,,,,,,,,,
3471-18,PAL-221,amphipod,M5895,08/03/14,25.7,,111814MEA,0.0374,,0.145,,,,,,,,,
3471-19,PAL-235,amphipod,M5901,08/06/14,23.2,,111814MEA,0.0329,,0.142,,,,,,,,,
3471-20,PAL-240,amphipod,M5903,08/07/14,26.2,,111814MEA,0.0247,,0.0945,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METHOD DETECTION LIMIT ,,,,,21.3,,,0.000309,,0.00145,,,,,,,,,
METHOD REPORTING LIMIT ,,,,,21.3,,,0.00100,,0.00500,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
METHOD BLANKS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Blank  r1,,,,,21.3,,111814MEA,0.000309,U,0.00145,U,,,,,,,,
Blank  r2,,,,,21.3,,111814MEA,0.000309,U,0.00145,U,,,,,,,,
Blank  r3,,,,,21.3,,111814MEA,0.000309,U,0.00145,U,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STANDARD REFERENCE MATERIALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DORM-3 r1,,,,,,,111814MEA,,,0.316,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,certified value,,,,,,,,,0.355,,,,,,,,,
