,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,131023-02: NIST SRM 1941b,,,,,,,
,,,,,,,,,
Battelle ID,,CG921SRM-P,,,,,,,
Sample Type,,SRM,,,,,,,
Collection Date,,08/25/15,,,,,,,
Extraction Date,,08/25/15,,,,,,,
Analysis Date,,09/03/15,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,2.4,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,SEDIMENT,,,,,,,
Sample Size,,1.65,,,,,,,
Size Unit-Basis,,G_DRY,,Certified,,Passing,,Actual,
Units,,UG/G_DRY,,Value,+/-,%Difference,,%Difference,Qualifier
,,,,,,,,,
n-Nonane,,69.885,J,,,,,,
n-Decane,,369.487,J,,,,,,
n-Undecane,,104.373,J,,,,,,
n-Dodecane,,84.750,J,,,,,,
n-Tridecane,,55.143,J,,,,,,
Isoprenoid RRT 1380,,26.398,J,,,,,,
n-Tetradecane,,114.053,J,,,,,,
Isoprenoid RRT 1470,,49.221,J,,,,,,
n-Pentadecane,,162.780,J,,,,,,
n-Hexadecane,,120.795,J,,,,,,
Norpristane (1650),,34.244,J,,,,,,
n-Heptadecane,,216.385,J,,,,,,
Pristane,,60.489,J,,,,,,
n-Octadecane,,82.827,J,,,,,,
Phytane,,40.876,J,,,,,,
n-Nonadecane,,89.625,J,,,,,,
n-Eicosane,,72.253,J,,,,,,
n-Heneicosane,,109.581,J,,,,,,
n-Docosane,,89.616,J,,,,,,
n-Tricosane,,189.522,J,,,,,,
n-Tetracosane,,96.612,J,,,,,,
n-Pentacosane,,261.605,J,,,,,,
n-Hexacosane,,117.438,J,,,,,,
n-Heptacosane,,367.817,J,,,,,,
n-Octacosane,,140.190,J,,,,,,
n-Nonacosane,,456.398,J,,,,,,
n-Triacontane,,82.945,J,,,,,,
n-Hentriacontane,,468.424,J,,,,,,
n-Dotriacontane,,57.538,J,,,,,,
n-Tritriacontane,,237.805,J,,,,,,
n-Tetratriacontane,,36.597,J,,,,,,
n-Pentatriacontane,,55.636,J,,,,,,
n-Hexatriacontane,,32.015,J,,,,,,
n-Heptatriacontane,,15.373,J,,,,,,
n-Octatriacontane,,22.353,J,,,,,,
n-Nonatriacontane,,18.408,J,,,,,,
n-Tetracontane,,9.403,J,,,,,,
Sum SHC (C9-C40),,4618.860,,,,,,,
SHC Total (C9-C40),,70158.291,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,88,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
