"Chain of Custody
",,,,,,"Project Manager: Greg Durell
Phone: 781-681-5517 
",,,,,,,,,
"Ship to: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Ship From: 
Battelle Duxbury
397 Washington St
Duxbury, Ma 02332",,,"Site Contact: John Hardin
Mobile: 619.574.4827 
",,,,,,,,,
Date,Time,Field ID,Lab ID(s),Matrix,station,Analyses (Record No. of containers / Preservative),,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,eDNA,0° C,Bioaccumulation,4° C,Lead,4° C,Lead Porewater,4° C,AVS/SEM,4° C
7/31/2014,9:28,PAL-101a,,sediment,6D,1,X,,,,,,,,
7/31/2014,14:18,PAL-103a,,sediment,7,1,X,,,,,,,,
7/31/2014,18:55,PAL-104a,,sediment,8,1,X,,,,,,,,
7/31/2014,18:55,PAL-104b,,sediment,8,3,X,,,,,,,,
8/1/2014,0:56,PAL-105a,,sediment,10,3,X,,,,,,,,
8/1/2014,12:32,PAL-107a,,sediment,5(5),3,X,,,,,,,,
8/1/2014,19:10,PAL-108a,,sediment,L250-5,3,X,,,,,,,,
8/2/2014,1:23,PAL-112a,,sediment,T-3,3,X,,,,,,,,
8/2/2014,11:49,PAL-116a,,sediment,20,3,X,,,,,,,,
8/2/2014,15:13,PAL-117a,,sediment,21,3,X,,,,,,,,
8/2/2014,19:05,PAL-118a,,sediment,22,3,X,,,,,,,,
8/3/2014,1:52,PAL-119a,,sediment,24,3,X,,,,,,,,
8/3/2014,5:37,PAL-120a,,sediment,23,3,X,,,,,,,,
8/3/2014,9:21,PAL-121a,,sediment,25,3,X,,,,,,,,
8/4/2014,0:17,PAL-123a,,sediment,1C,3,x,,,,,,,,
8/4/2014,16:20,PAL-125a,,sediment,16,3,x,,,,,,,,
8/4/2014,19:58,PAL-126a,,sediment,15,3,x,,,,,,,,
8/4/2014,23:41,PAL-127a,,sediment,12,3,x,,,,,,,,
8/5/2014,3:23,PAL-128a,,sediment,11,3,x,,,,,,,,
8/5/2014,13:19,PAL-131A,,sediment,9,3,x,,,,,,,,
8/6/2014,9:27,PAL-135A,,sediment,6,3,X,,,,,,,,
8/6/2014,9:45,PAL-135B,,sediment,6,2,X,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,59,TOTAL SAMPLES,,,,,,,,
