,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,140624-01: Tilapia,,,,,,,
,,,,,,,,,
Battelle ID,,CD308LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,10/17/14,,,,,,,
Extraction Date,,10/17/14,,,,,,,
Analysis Date,,11/05/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,81.91,,,,,,,
% Lipid,,2.03,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.67,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
n-Nonane,,0.853,,1.37,62,N,,,
n-Decane,,1.211,,1.37,89,,,,
n-Undecane,,1.313,,1.37,96,,,,
n-Dodecane,,1.301,,1.37,95,,,,
n-Tridecane,,1.328,,1.37,97,,,,
Isoprenoid RRT 1380,,0.02,U,,,,,,
n-Tetradecane,,1.372,,1.37,101,,,,
Isoprenoid RRT 1470,,0.028,U,,,,,,
n-Pentadecane,,1.455,,1.36,107,,,,
n-Hexadecane,,1.438,,1.37,105,,,,
Norpristane (1650),,0.028,U,,,,,,
n-Heptadecane,,1.611,,1.36,118,,,,
Pristane,,1.449,,1.37,106,,,,
n-Octadecane,,1.458,,1.37,107,,,,
Phytane,,1.491,,1.37,109,,,,
n-Nonadecane,,1.459,,1.36,107,,,,
n-Eicosane,,1.474,,1.36,108,,,,
n-Heneicosane,,1.497,,1.36,110,,,,
n-Docosane,,1.489,,1.37,109,,,,
n-Tricosane,,1.484,,1.36,109,,,,
n-Tetracosane,,1.493,,1.36,109,,,,
n-Pentacosane,,1.5,,1.37,110,,,,
n-Hexacosane,,1.488,,1.37,109,,,,
n-Heptacosane,,1.522,,1.36,112,,,,
n-Octacosane,,1.472,,1.36,108,,,,
n-Nonacosane,,1.533,,1.36,112,,,,
n-Triacontane,,1.503,,1.36,110,,,,
n-Hentriacontane,,1.549,,1.37,113,,,,
n-Dotriacontane,,1.54,,1.37,113,,,,
n-Tritriacontane,,1.429,,1.36,105,,,,
n-Tetratriacontane,,1.472,,1.37,108,,,,
n-Pentatriacontane,,1.413,,1.30,109,,,,
n-Hexatriacontane,,1.494,,1.37,109,,,,
n-Heptatriacontane,,1.55,,1.36,114,,,,
n-Octatriacontane,,1.547,,1.37,113,,,,
n-Nonatriacontane,,1.586,,1.37,116,,,,
n-Tetracontane,,1.647,,1.36,121,,,,
Sum SHC (C9-C40),,49.421,,,,,,,
SHC Total (C9-C40),,251.887,U,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,80,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
