,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,IE89: North Star reference oil,,,,,,,
,,,,,,,,,
Battelle ID,,CD814CO-P,,,,,,,
Sample Type,,CO,,,,,,,
Collection Date,,11/04/14,,,,,,,
Extraction Date,,11/04/14,,,,,,,
Analysis Date,,11/05/14,,,,,,,
Analytical Instrument,,FID,,,,,,,
% Moisture,,NA,,,,,,,
% Lipid,,NA,,,,,,,
Matrix,,OIL,,,,,,,
Sample Size,,5.00,,,,,,,
Size Unit-Basis,,MG_OIL,,,,,,,
Units,,MG/KG_OIL,,Target,% Difference,Qualifier,,,
,,,,,,,,,
n-Nonane,,11146.822,,,,,,,
n-Decane,,11285.964,,,,,,,
n-Undecane,,10494.929,,,,,,,
n-Dodecane,,9225.66,,,,,,,
n-Tridecane,,8515.497,,,,,,,
Isoprenoid RRT 1380,,1887.98,,,,,,,
n-Tetradecane,,7664.271,,,,,,,
Isoprenoid RRT 1470,,2859.646,,,,,,,
n-Pentadecane,,7825.35,,,,,,,
n-Hexadecane,,6615.052,,,,,,,
Norpristane (1650),,2204.257,,,,,,,
n-Heptadecane,,5545.478,,,,,,,
Pristane,,3847.057,,,,,,,
n-Octadecane,,4847.682,,,,,,,
Phytane,,2171.766,,,,,,,
n-Nonadecane,,4176.308,,,,,,,
n-Eicosane,,3711.282,,,,,,,
n-Heneicosane,,3210.534,,,,,,,
n-Docosane,,2877.262,,,,,,,
n-Tricosane,,2510.446,,,,,,,
n-Tetracosane,,2195.376,,,,,,,
n-Pentacosane,,2204.639,,,,,,,
n-Hexacosane,,1760.323,,,,,,,
n-Heptacosane,,1566.597,,,,,,,
n-Octacosane,,1129.68,,,,,,,
n-Nonacosane,,1102.291,,,,,,,
n-Triacontane,,943.687,,,,,,,
n-Hentriacontane,,884.629,,,,,,,
n-Dotriacontane,,575.853,,,,,,,
n-Tritriacontane,,493.838,,,,,,,
n-Tetratriacontane,,362.244,,,,,,,
n-Pentatriacontane,,338.738,,,,,,,
n-Hexatriacontane,,205.64,J,,,,,,
n-Heptatriacontane,,212.082,J,,,,,,
n-Octatriacontane,,182.869,J,,,,,,
n-Nonatriacontane,,109.37,J,,,,,,
n-Tetracontane,,83.177,J,,,,,,
Sum SHC (C9-C40),,126974.276,,,,,,,
SHC Total (C9-C40),,483895.348,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,
,,,,,,,,,
n-Tetracosane-d50,,85,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
