,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Client ID,,140624-01: Tilapia,,,,,,,
,,,,,,,,,
Battelle ID,,CD305LCS-P,,,,,,,
Sample Type,,LCS,,,,,,,
Collection Date,,10/08/14,,,,,,,
Extraction Date,,10/08/14,,,,,,,
Analysis Date,,11/13/14,,,,,,,
Analytical Instrument,,MS,,,,,,,
% Moisture,,81.91,,,,,,,
% Lipid,,2.08,,,,,,,
Matrix,,TISSUE,,,,,,,
Sample Size,,3.65,,,,,,,
Size Unit-Basis,,G_DRY,,,,,,,
Units,,NG/G_DRY,,Target,% Recovery,Qualifier,,,
,,,,,,,,,
Naphthalene,,372.255,,274.74,135,N,,,
C1-Naphthalenes,,2.933,U,,,,,,
C2-Naphthalenes,,2.933,U,,,,,,
C3-Naphthalenes,,2.933,U,,,,,,
C4-Naphthalenes,,2.933,U,,,,,,
Biphenyl,,359.839,,274.68,131,N,,,
Acenaphthylene,,365.534,,274.85,133,N,,,
Acenaphthene,,370.366,,274.71,135,N,,,
Dibenzofuran,,361.486,,274.66,132,N,,,
Fluorene,,365.419,,274.93,133,N,,,
C1-Fluorenes,,2.956,U,,,,,,
C2-Fluorenes,,2.956,U,,,,,,
C3-Fluorenes,,2.956,U,,,,,,
Anthracene,,392.576,,274.66,143,N,,,
Phenanthrene,,383.313,,274.58,140,N,,,
C1-Phenanthrenes/Anthracenes,,2.574,U,,,,,,
C2-Phenanthrenes/Anthracenes,,2.574,U,,,,,,
C3-Phenanthrenes/Anthracenes,,2.574,U,,,,,,
C4-Phenanthrenes/Anthracenes,,2.574,U,,,,,,
Retene,,1.326,U,,,,,,
Dibenzothiophene,,342.399,,274.88,125,,,,
C1-Dibenzothiophenes,,1.253,U,,,,,,
C2-Dibenzothiophenes,,1.253,U,,,,,,
C3-Dibenzothiophenes,,1.253,U,,,,,,
C4-Dibenzothiophenes,,1.253,U,,,,,,
Fluoranthene,,411.863,,274.85,150,N,,,
Pyrene,,403.909,,274.71,147,N,,,
C1-Fluoranthenes/Pyrenes,,0.832,U,,,,,,
C2-Fluoranthenes/Pyrenes,,0.832,U,,,,,,
C3-Fluoranthenes/Pyrenes,,0.832,U,,,,,,
Benzo(a)anthracene,,365.511,,274.79,133,N,,,
Chrysene,,344.773,,274.58,126,,,,
C1-Chrysenes,,0.596,U,,,,,,
C2-Chrysenes,,0.596,U,,,,,,
C3-Chrysenes,,0.596,U,,,,,,
C4-Chrysenes,,0.596,U,,,,,,
Benzo(b)fluoranthene,,451.132,,275.07,164,N,,,
Benzo(k)fluoranthene,,391.482,,274.68,143,N,,,
Benzo(e)pyrene,,356.27,,274.90,130,,,,
Benzo(a)pyrene,,359.825,,274.38,131,N,,,
Perylene,,372.28,,274.82,135,N,,,
"Indeno(1,2,3-cd)pyrene",,362.987,,274.71,132,N,,,
"Dibenz(a,h)anthracene",,403.376,,274.49,147,N,,,
"Benzo(g,h,i)perylene",,394.421,,274.88,143,N,,,
Total PAH,,7931.016,,,,,,,
"14a(H),17a(H)-20R-Cholestane",,0.444,U,,,,,,
