,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Client ID,,QAH-122,,QAH-122,,,,,QAH-122,,,,,,
,,,,,,,,,,,,,,,
Battelle ID,,L4800-P,,L4800MS-P,,,,,L4800MSD-P,,,,,,
Sample Type,,SA,,MS,,,,,MSD,,,,,,
Collection Date,,08/06/15,,8/6/2015,,,,,8/6/2015,,,,,,
Extraction Date,,08/31/15,,9/2/2015,,,,,8/31/2015,,,,,,
Analysis Date,,09/13/15,,9/13/2015,,,,,9/13/2015,,,,,,
Analytical Instrument,,FID,,FID,,,,,FID,,,,,,
% Moisture,,29.13,,31.53,,,,,28.52,,,,,,
% Lipid,,NA,,NA,,,,,NA,,,,,,
Matrix,,SEDIMENT,,SEDIMENT,,,,,SEDIMENT,,,,,,
Sample Size,,21.30,,10.28,,,,,10.67,,,,,,
Size Unit-Basis,,G_DRY,,G_DRY,,,,,G_DRY,,,,,,
Units,,UG/G_DRY,,UG/G_DRY,,Target,% Recovery,Qualifier,UG/G_DRY,,Target,% Recovery,Qualifier,RPD (%),Qualifier
,,,,,,,,,,,,,,,
n-Nonane,,0.012,J,0.857,,1.22,69,N,0.753,,1.17,63,N,9.1,
n-Decane,,0.040,J,1.102,,1.22,87,,1.008,,1.18,82,,5.9,
n-Undecane,,0.024,J,1.057,,1.22,85,,0.987,,1.17,82,,3.6,
n-Dodecane,,0.030,J,1.085,,1.22,86,,1.023,,1.18,84,,2.4,
n-Tridecane,,0.031,J,1.098,,1.22,88,,1.033,,1.17,85,,3.5,
Isoprenoid RRT 1380,,0.010,J,0.012,U,,,,0.012,U,,,,,
n-Tetradecane,,0.037,J,1.157,,1.22,92,,1.096,,1.17,90,,2.2,
Isoprenoid RRT 1470,,0.022,J,0.009,U,,,,0.009,U,,,,,
n-Pentadecane,,0.044,J,1.172,,1.22,93,,1.103,,1.17,90,,3.3,
n-Hexadecane,,0.041,J,1.170,,1.22,93,,1.114,,1.17,91,,2.2,
Norpristane (1650),,0.015,J,0.021,U,,,,0.020,U,,,,,
n-Heptadecane,,0.045,J,1.201,,1.22,95,,1.142,,1.17,93,,2.1,
Pristane,,0.052,,1.175,,1.22,92,,1.105,,1.17,90,,2.2,
n-Octadecane,,0.042,J,1.297,,1.22,103,,1.241,,1.17,102,,1.0,
Phytane,,0.021,J,1.225,,1.22,99,,1.170,,1.18,98,,1.0,
n-Nonadecane,,0.044,J,1.207,,1.22,96,,1.154,,1.17,95,,1.0,
n-Eicosane,,0.041,J,1.205,,1.22,96,,1.150,,1.17,95,,1.0,
n-Heneicosane,,0.049,,1.226,,1.22,97,,1.166,,1.17,95,,2.1,
n-Docosane,,0.047,,1.228,,1.22,97,,1.171,,1.17,96,,1.0,
n-Tricosane,,0.071,,1.239,,1.22,96,,1.175,,1.17,94,,2.1,
n-Tetracosane,,0.041,J,1.284,,1.22,102,,1.226,,1.17,101,,1.0,
n-Pentacosane,,0.071,,1.252,,1.22,97,,1.186,,1.17,95,,2.1,
n-Hexacosane,,0.033,J,1.206,,1.22,96,,1.145,,1.17,95,,1.0,
n-Heptacosane,,0.085,,1.259,,1.22,96,,1.193,,1.17,94,,2.1,
n-Octacosane,,0.024,J,1.194,,1.22,96,,1.135,,1.17,95,,1.0,
n-Nonacosane,,0.081,,1.349,,1.22,104,,1.279,,1.17,102,,1.9,
n-Triacontane,,0.014,J,1.208,,1.22,98,,1.141,,1.17,96,,2.1,
n-Hentriacontane,,0.066,,1.274,,1.22,99,,1.193,,1.17,96,,3.1,
n-Dotriacontane,,0.012,J,1.210,,1.22,98,,1.117,,1.18,94,,4.2,
n-Tritriacontane,,0.029,J,1.186,,1.22,95,,1.076,,1.17,89,,6.5,
n-Tetratriacontane,,0.004,J,1.197,,1.22,98,,1.066,,1.18,90,,8.5,
n-Pentatriacontane,,0.005,J,1.130,,1.16,97,,0.988,,1.12,88,,9.7,
n-Hexatriacontane,,0.003,J,1.171,,1.22,96,,1.007,,1.18,85,,12.2,
n-Heptatriacontane,,0.002,J,1.247,,1.22,102,,1.056,,1.17,90,,12.5,
n-Octatriacontane,,0.001,J,1.204,,1.22,99,,1.004,,1.17,85,,15.2,
n-Nonatriacontane,,0.001,J,1.221,,1.22,100,,1.003,,1.17,85,,16.2,
n-Tetracontane,,0.001,J,1.235,,1.22,101,,0.997,,1.17,85,,17.2,
Sum SHC (C9-C40),,1.191,,40.528,,,,,37.403,,,,,,
SHC Total (C9-C40),,1.927,,1.128,U,,,,1.087,U,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
n-Tetracosane-d50,,82,,84,,,,,82,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
