,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Client ID,,150416-01: Tilapia,,,,,150416-01: Tilapia,,,,
,,,,,,,,,,,
Battelle ID,,CG914LCS-P,,,,,CG986LCS-P,,,,
Sample Type,,LCS,,,,,LCS,,,,
Collection Date,,08/27/15,,,,,8/27/2015,,,,
Extraction Date,,08/27/15,,,,,8/27/2015,,,,
Analysis Date,,09/05/15,,,,,9/5/2015,,,,
Analytical Instrument,,FID,,,,,FID,,,,
% Moisture,,79.56,,,,,79.56,,,,
% Lipid,,0.79,,,,,0.79,,,,
Matrix,,TISSUE,,,,,TISSUE,,,,
Sample Size,,4.09,,,,,4.1,,,,
Size Unit-Basis,,G_DRY,,,,,G_DRY,,,,
Units,,UG/G_DRY,,Target,% Recovery,Qualifier,UG/G_DRY,,Target,% Recovery,Qualifier
,,,,,,,,,,,
n-Nonane,,0.740,,1.23,60,N,0.659,,1.22,54,N
n-Decane,,0.983,,1.23,80,,0.932,,1.22,76,
n-Undecane,,1.001,,1.23,82,,0.906,,1.22,74,
n-Dodecane,,1.016,,1.23,83,,0.935,,1.22,76,
n-Tridecane,,1.038,,1.23,85,,0.947,,1.22,77,
Isoprenoid RRT 1380,,0.018,U,,,,0.018,U,,,
n-Tetradecane,,1.090,,1.22,89,,1.006,,1.22,82,
Isoprenoid RRT 1470,,0.025,U,,,,0.118,J,,,
n-Pentadecane,,1.193,,1.22,97,,1.185,,1.22,97,
n-Hexadecane,,1.106,,1.23,90,,1.119,,1.22,92,
Norpristane (1650),,0.025,U,,,,0.025,U,,,
n-Heptadecane,,1.159,,1.22,95,,1.091,,1.22,89,
Pristane,,1.040,,1.23,85,,0.984,,1.22,80,
n-Octadecane,,1.232,,1.23,101,,1.348,,1.22,110,
Phytane,,1.168,,1.23,95,,1.197,,1.22,98,
n-Nonadecane,,1.140,,1.22,93,,1.099,,1.22,90,
n-Eicosane,,1.137,,1.22,93,,1.084,,1.22,89,
n-Heneicosane,,1.159,,1.22,95,,1.106,,1.22,91,
n-Docosane,,1.181,,1.23,96,,1.134,,1.22,93,
n-Tricosane,,1.185,,1.22,97,,1.138,,1.22,93,
n-Tetracosane,,1.298,,1.22,106,,1.250,,1.22,102,
n-Pentacosane,,1.257,,1.23,103,,1.284,,1.22,105,
n-Hexacosane,,1.260,,1.23,103,,1.217,,1.22,100,
n-Heptacosane,,1.274,,1.22,104,,1.240,,1.22,102,
n-Octacosane,,1.276,,1.22,104,,1.265,,1.22,104,
n-Nonacosane,,1.336,,1.22,109,,1.426,,1.22,117,
n-Triacontane,,1.236,,1.22,101,,1.187,,1.22,97,
n-Hentriacontane,,1.211,,1.23,99,,1.169,,1.22,96,
n-Dotriacontane,,1.202,,1.23,98,,1.150,,1.22,94,
n-Tritriacontane,,1.141,,1.22,93,,1.155,,1.22,95,
n-Tetratriacontane,,1.172,,1.23,96,,1.123,,1.22,92,
n-Pentatriacontane,,1.103,,1.17,95,,1.059,,1.16,91,
n-Hexatriacontane,,1.115,,1.23,91,,1.077,,1.22,88,
n-Heptatriacontane,,1.232,,1.22,101,,1.192,,1.22,98,
n-Octatriacontane,,1.217,,1.23,99,,1.184,,1.22,97,
n-Nonatriacontane,,1.268,,1.23,103,,1.243,,1.22,102,
n-Tetracontane,,1.336,,1.22,109,,1.322,,1.22,108,
Sum SHC (C9-C40),,39.502,,,,,38.531,,,,
SHC Total (C9-C40),,226.021,U,,,,225.470,U,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Surrogate Recoveries (%),,,,,,,,,,,
,,,,,,,,,,,
n-Tetracosane-d50,,90,,,,,92,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
