2015 Tissue MDLs,,
,,
Units,,MDL(ng/g)
,,
Carbazole,,0.078
cis-Decalin,,0.084
trans-Decalin,,0.102
Benzo(b)thiophene,,0.105
"1,4-Dichlorobenzene",,0.156
Naphthalene,,0.213
2-Chloronaphthalene,,0.069
2-Methylnaphthalene,,0.183
1-Methylnaphthalene,,0.108
"2,6-dimethylnaphthalene",,0.117
"2,3,5-trimethylnaphthalene",,0.105
Biphenyl,,0.108
Acenaphthylene,,0.117
Acenaphthene,,0.117
Dibenzofuran,,0.108
Fluorene,,0.105
Anthracene,,0.117
Phenanthrene,,0.171
1-Methylphenanthrene,,0.096
2-Methylphenanthrene,,0.09
Dibenzothiophene,,0.102
Fluoranthene,,0.147
Pyrene,,0.222
Benzo(a)anthracene,,0.141
Chrysene,,0.09
Benzo(b)fluoranthene,,0.117
Benzo(k)fluoranthene,,0.096
Benzo(e)pyrene,,0.102
Benzo(a)pyrene,,0.231
Perylene,,0.273
"Indeno(1,2,3-cd)pyrene",,0.105
"Dibenz(a,h)anthracene",,0.093
"Benzo(g,h,i)perylene",,0.117
Isophorone,,0.123
