Percent Dry Weight Calculations,,,,,,,
,,,,,,,
,,,,,,,
Project:  ,ANIMIDA Tissues,,,,Date:,10/15/2014,
Central File #:  ,3471,,,,Balance:,5 ,
Analyst:  ,Lasorsa,,,,Matrix:,Tissue,
,,,,,,,
,,,,,,,
Battelle Sample ID,Tare Weight (g),Tare+Wet Weight (g),Tare+Dry Weight (g),Wet Weight (g),Dry Weight (g),% Dry Weight,% Wet Weight
,,,,,,,
3471-1,15.801,18.881,16.413,3.080,0.612,19.87,80.1
3471-2,15.803,18.591,16.191,2.788,0.388,13.92,86.1
3471-3,15.542,20.913,16.573,5.371,1.031,19.20,80.8
3471-4,15.540,19.935,16.319,4.395,0.779,17.72,82.3
3471-5,15.800,20.258,16.602,4.458,0.802,17.99,82.0
3471-6,15.797,20.342,16.605,4.545,0.808,17.78,82.2
3471-7,15.800,22.791,17.052,6.991,1.252,17.91,82.1
3471-8,15.546,17.888,16.021,2.342,0.475,20.28,79.7
3471-9,15.807,20.430,16.783,4.623,0.976,21.11,78.9
3471-10,15.806,24.975,17.689,9.169,1.883,20.54,79.5
3471-11,15.800,21.697,16.910,5.897,1.110,18.82,81.2
3471-12,15.542,22.042,16.933,6.500,1.391,21.40,78.6
3471-13,15.540,20.501,16.841,4.961,1.301,26.22,73.8
3471-14,15.806,21.282,17.224,5.476,1.418,25.89,74.1
3471-15,15.809,21.344,16.957,5.535,1.148,20.74,79.3
3471-16,15.806,20.915,17.148,5.109,1.342,26.27,73.7
3471-17,15.802,20.950,17.133,5.148,1.331,25.85,74.1
3471-18,15.808,21.203,17.196,5.395,1.388,25.73,74.3
3471-19,15.801,20.953,16.994,5.152,1.193,23.16,76.8
3471-20,15.539,20.939,16.953,5.400,1.414,26.19,73.8
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
